,C1QB (713)
ACH-000004,-0.055359498555543576
ACH-000005,0.2945251068943785
ACH-000007,-0.029897949837127243
ACH-000009,-0.1435768698107722
ACH-000011,0.10573498145268076
ACH-000012,-0.14509208842557633
ACH-000013,-0.16169898430271148
ACH-000014,-0.0968226121222882
ACH-000015,0.009138459514585959
ACH-000017,0.013916620947721042
ACH-000018,-0.032967115576248734
ACH-000019,0.05439885379863281
ACH-000021,-0.00038963561974471404
ACH-000022,0.034540630447090166
ACH-000025,-0.2264385828505978
ACH-000028,-0.0037881742465251094
ACH-000030,0.012018194613304379
ACH-000035,-0.19966924413551088
ACH-000036,0.06846517516960743
ACH-000037,-0.04793435212358965
ACH-000039,-0.09298120288251116
ACH-000040,-0.1983467496015308
ACH-000041,-0.037445560494026565
ACH-000042,0.0009667416844687504
ACH-000045,-0.07777881339914954
ACH-000047,-0.15748868685622194
ACH-000052,0.03496939565969767
ACH-000053,-0.050696172395928926
ACH-000054,0.01447271415801679
ACH-000055,-0.1221792612862906
ACH-000060,0.02380647014647141
ACH-000067,-0.14037317802570146
ACH-000070,-0.022604816924803445
ACH-000075,-0.06552936697589219
ACH-000078,-0.009591408414360876
ACH-000082,-0.03761045410372287
ACH-000085,-0.21009710898589604
ACH-000086,-0.16149132547731626
ACH-000087,-0.1511909617912233
ACH-000092,-0.1082745768174739
ACH-000095,0.04388389916921552
ACH-000097,-0.014513894772137841
ACH-000098,-0.03340854563122491
ACH-000099,-0.1179707679013512
ACH-000108,-0.05046135689887556
ACH-000113,-0.1542324025136996
ACH-000116,0.039962639492590914
ACH-000118,-0.05804993942408373
ACH-000120,-0.029613202524197788
ACH-000123,0.010364629149877187
ACH-000127,0.02087727502340105
ACH-000128,-0.12609622088648345
ACH-000132,0.06390593116527958
ACH-000133,-0.06402620827765343
ACH-000137,-0.08693327234277415
ACH-000138,-0.07023078304911819
ACH-000142,-0.1373078504730764
ACH-000143,0.011175469790535237
ACH-000146,-0.005130434042628515
ACH-000148,-0.09941902482441088
ACH-000150,-0.1667546152327665
ACH-000152,-0.1896388498399146
ACH-000153,-0.23498367886948898
ACH-000159,-0.061130326233284765
ACH-000160,-0.07174957385879698
ACH-000163,0.0007139730629000646
ACH-000167,-0.011540705719726952
ACH-000168,-0.060817850355871124
ACH-000169,-0.07475544385578436
ACH-000178,-0.06860333077568194
ACH-000183,0.07076594681741967
ACH-000188,-0.22187008141435047
ACH-000189,-0.09075486033734377
ACH-000190,0.06951221362082588
ACH-000198,-0.012062475958716734
ACH-000203,-0.22599250103526325
ACH-000204,-0.24811684536159176
ACH-000206,-0.02284724938482329
ACH-000207,0.08597504326958642
ACH-000208,-0.020238716204153517
ACH-000210,-0.09476310990881844
ACH-000211,0.017107002200855526
ACH-000215,-0.01949565372107627
ACH-000221,-0.033371613058300456
ACH-000222,-0.12348598150034693
ACH-000223,0.04145673421767869
ACH-000226,0.035933587346699436
ACH-000227,0.12847946337189314
ACH-000228,0.13655032082987048
ACH-000231,-0.0650541996227479
ACH-000232,0.018139078876505052
ACH-000233,-0.023761059200305117
ACH-000234,0.021524241379486414
ACH-000235,-0.014787953605506075
ACH-000237,-0.11147572753346127
ACH-000238,-0.19973948680430545
ACH-000242,0.08106463968526667
ACH-000243,-0.127035525491945
ACH-000244,-0.08442127809687469
ACH-000246,-0.061837341691764976
ACH-000248,-0.19839570914842689
ACH-000250,0.05153568730376252
ACH-000251,-0.004084692167064781
ACH-000252,-0.05333718484422485
ACH-000253,-0.03752655160621065
ACH-000255,-0.012337064653695756
ACH-000256,-0.2911797921829692
ACH-000257,-0.2698485954401272
ACH-000258,-0.1044454500731568
ACH-000259,-0.055902347126162544
ACH-000260,0.07490022640844839
ACH-000261,-0.0030054187987613315
ACH-000262,0.025501138820192767
ACH-000263,-0.04979710447945244
ACH-000264,-0.053229376729664685
ACH-000265,0.05333700659093789
ACH-000266,0.03813827318462245
ACH-000272,0.03864229038043798
ACH-000274,-0.08361899791126419
ACH-000277,0.0700145858905411
ACH-000278,0.05422958413876187
ACH-000279,-0.16515736355649713
ACH-000280,-0.04110359149846679
ACH-000281,-0.19892650200170933
ACH-000288,-0.14496058377828094
ACH-000291,0.009449884681592285
ACH-000293,-0.1619808167170791
ACH-000294,0.14620075994069318
ACH-000295,0.07776203632177699
ACH-000296,-0.1446033393262626
ACH-000302,0.022764176067305675
ACH-000304,0.01417854478334521
ACH-000307,-0.050654169634576834
ACH-000308,-0.01330157762473518
ACH-000310,0.10168424830038626
ACH-000311,-0.15538535112018162
ACH-000312,-0.12318316731201905
ACH-000315,-0.0069168962738053175
ACH-000316,-0.053672583142467915
ACH-000317,-0.07469186579213741
ACH-000318,-0.01761111281055853
ACH-000319,-0.062369862371887165
ACH-000320,-0.13638076852433256
ACH-000322,-0.04741385484174665
ACH-000323,-0.21337860720851906
ACH-000324,-0.09960073238175986
ACH-000329,-0.12218539558319545
ACH-000330,-0.08985590996703273
ACH-000331,-0.024159854904794505
ACH-000332,0.017013360136260237
ACH-000334,0.017830980694754438
ACH-000335,-0.12646068611189296
ACH-000336,0.16080104588442326
ACH-000337,0.04197092027138804
ACH-000338,-0.00952287163005377
ACH-000339,0.03508137252679668
ACH-000341,-0.12065259075801665
ACH-000348,0.03359538401090923
ACH-000350,0.04070067912525302
ACH-000352,-0.2115937637513272
ACH-000356,0.05294869090971364
ACH-000361,-0.0946397984990876
ACH-000362,-0.009947874423780598
ACH-000363,0.05619645778122975
ACH-000364,-0.0612890890908253
ACH-000365,-0.0005976833679656097
ACH-000366,-0.08759144500940642
ACH-000368,-0.1457739054155862
ACH-000374,0.007791895956777347
ACH-000375,-0.0914325105332145
ACH-000376,-0.2044402593855398
ACH-000381,-0.07054875921611732
ACH-000383,-0.00990023834819848
ACH-000387,0.01990437805833273
ACH-000389,0.02872498272150705
ACH-000390,-0.017622331109382428
ACH-000393,-0.018583190574108958
ACH-000395,-0.3564371516466295
ACH-000396,-0.3008473046068535
ACH-000397,0.03284333771924531
ACH-000401,-0.03939901021534471
ACH-000402,-0.1905256747112232
ACH-000403,-0.09317389100612528
ACH-000404,0.23424720267031815
ACH-000406,-0.07655165393261472
ACH-000407,-0.09224835967636208
ACH-000408,-0.06744895679154632
ACH-000410,-0.06160393576905857
ACH-000411,0.11433197087388755
ACH-000414,0.006499789634864302
ACH-000415,-0.14218760857488166
ACH-000416,-0.05320149034808129
ACH-000420,0.048167358584833085
ACH-000421,-0.009690036615324707
ACH-000424,0.14355777809460651
ACH-000425,-0.010620462834282848
ACH-000426,-0.09865309906468908
ACH-000427,-0.07576077832699345
ACH-000433,-0.07620025410546759
ACH-000435,0.15703635875733515
ACH-000436,-0.12656443250308888
