,SUGT1 (10910)
ACH-000004,-0.6029649613334828
ACH-000005,-0.5166775672230229
ACH-000007,-0.5859374792161285
ACH-000009,-0.13294464738251371
ACH-000011,-0.5624542088880183
ACH-000012,-0.5624613351174957
ACH-000013,-0.6230895272092328
ACH-000014,-0.5499150326064901
ACH-000015,-0.7776815749501184
ACH-000017,-0.4511953762914406
ACH-000018,-0.539309612484974
ACH-000019,-0.17166548227226736
ACH-000021,-0.3993771801458766
ACH-000022,-0.2635327058575884
ACH-000025,-0.6870647567067002
ACH-000028,-0.5550575141150513
ACH-000030,-0.4593657226458091
ACH-000035,-0.3906380353703844
ACH-000036,-0.6866402947353505
ACH-000037,-0.7487427549878123
ACH-000039,-0.6741967216608783
ACH-000040,-0.8903804922756271
ACH-000041,-0.3798983757125114
ACH-000042,-0.714108305569652
ACH-000045,-0.4274400869093919
ACH-000047,-0.796144493239185
ACH-000052,-0.8441151967385081
ACH-000053,-0.08966076103173964
ACH-000054,-0.5119936072272918
ACH-000055,-0.4239687641291592
ACH-000060,-0.7313669915724054
ACH-000067,-0.6723220644952279
ACH-000070,-0.314715642212401
ACH-000075,-0.6161096587369983
ACH-000078,-0.6221593486788781
ACH-000082,-0.2944618230012015
ACH-000085,-0.9382852630755312
ACH-000086,-0.6538130592723539
ACH-000087,-0.6526397639892754
ACH-000092,-0.9930923633048804
ACH-000095,-0.5056861929175087
ACH-000097,-0.5838158097522403
ACH-000098,-0.4677922912037927
ACH-000099,-0.3992358950692361
ACH-000108,-0.3102992521612831
ACH-000113,-0.28256826095038834
ACH-000116,-0.6296975627032698
ACH-000118,-0.5497979926214766
ACH-000120,-0.5247348288090197
ACH-000123,-0.5795836966850056
ACH-000127,-0.4669902250208444
ACH-000128,-0.4018293605339535
ACH-000132,-0.4224588007522621
ACH-000133,-0.8182024564161829
ACH-000137,-0.6691150293076419
ACH-000138,-0.7832206414100159
ACH-000142,-0.6042169325449154
ACH-000143,-0.21561321485898888
ACH-000146,-0.539252315717146
ACH-000148,-0.6815199562914421
ACH-000150,-0.6365025000167848
ACH-000152,-0.4780794384977057
ACH-000153,-0.8887677185840294
