,TUBB (203068)
ACH-000004,-1.6808298285536152
ACH-000005,-1.5866624722951566
ACH-000007,-0.6256103862826192
ACH-000009,-1.248114278048355
ACH-000011,-1.116022566987397
ACH-000012,-1.29255100950111
ACH-000013,-0.6256615689749189
ACH-000014,-1.4848104871716747
ACH-000015,-1.4787906901600865
ACH-000017,-1.3843100577371257
ACH-000018,-1.0478512054570248
ACH-000019,-0.8189040761078392
ACH-000021,-1.366126700071915
ACH-000022,-1.227828872137809
ACH-000025,-1.3758653154690397
ACH-000028,-1.3656289613040469
ACH-000030,-1.4385882247688075
ACH-000035,-1.4276349892853086
ACH-000036,-1.276132099716638
ACH-000037,-1.5501857358180755
ACH-000039,-1.5789342148054903
ACH-000040,-1.3567986612915892
ACH-000041,-1.3815636460592469
ACH-000042,-1.0841203095053762
ACH-000045,-1.0987329987000451
ACH-000047,-1.4299284836600048
ACH-000052,-1.2784499239836458
ACH-000053,-1.2393398666475344
ACH-000054,-1.255900557255506
ACH-000055,-1.2090422683882336
ACH-000060,-1.1889617437616231
ACH-000067,-1.4152946527616146
ACH-000070,-1.2088349855506098
ACH-000075,-1.187473449872699
ACH-000078,-1.3423408543192277
ACH-000082,-1.2099665609110517
ACH-000085,-1.3373046625667837
ACH-000086,-1.253711516970942
ACH-000087,-1.3260058064245233
ACH-000092,-1.24037704087544
ACH-000095,-1.2914109316581193
ACH-000097,-0.9505397253665836
ACH-000098,-1.1872507146944036
ACH-000099,-1.0444639888171479
ACH-000108,-1.4116922106589225
ACH-000113,-1.1660282347558344
ACH-000116,-1.2264436404089798
ACH-000118,-1.0437010882704019
ACH-000120,-1.114432617393669
ACH-000123,-1.329443643274947
ACH-000127,-1.2177079706029321
ACH-000128,-1.0550326989943724
ACH-000132,-1.1913046460933203
ACH-000133,-1.3906660768593022
ACH-000137,-1.4493794377678857
ACH-000138,-1.3455005487472251
ACH-000142,-1.2928355631620616
ACH-000143,-1.0384240337935104
ACH-000146,-1.1519033554965885
ACH-000148,-1.3460313004299935
ACH-000150,-1.2851319268726418
ACH-000152,-1.2241577948276499
ACH-000153,-1.017112620293479
ACH-000159,-1.2919889183827773
ACH-000160,-1.3737114032708535
ACH-000163,-1.3842351177005
ACH-000167,-1.9281440687287248
ACH-000168,-1.374713491707925
ACH-000169,-1.2617825152763182
ACH-000178,-1.0779859738785516
ACH-000183,-1.1399774183061009
ACH-000188,-1.2809650326589486
ACH-000189,-1.201546455124984
ACH-000190,-1.1622932093525975
ACH-000198,-1.2198335507030886
ACH-000203,-1.2136362510163845
ACH-000204,-1.421890924586989
ACH-000206,-1.0951193146068146
ACH-000207,-1.538372369709438
ACH-000208,-1.125339374395526
ACH-000210,-1.3219629585927368
ACH-000211,-1.2580918030641686
ACH-000215,-1.320127298385228
ACH-000221,-1.386862679912456
ACH-000222,-1.3465800126137777
ACH-000223,-1.2578780305830286
ACH-000226,-1.0681201661061592
ACH-000227,-0.9540676066725226
ACH-000228,-1.5762841242602863
ACH-000231,-1.0260239175938834
ACH-000232,-1.3054227683914366
ACH-000233,-1.2693154554744708
ACH-000234,-1.5196173147718488
ACH-000235,-1.1552687030801951
ACH-000237,-1.4362276288476905
ACH-000238,-1.495766404673169
ACH-000242,-1.166412174994076
ACH-000243,-1.2418947857504654
ACH-000244,-0.9733287971112448
ACH-000246,-1.194944558614644
ACH-000248,-1.3003590476933429
ACH-000250,-1.27503588986324
ACH-000251,-1.066664527071071
ACH-000252,-0.9216062648399788
ACH-000253,-0.6157401843791731
ACH-000255,-1.2164803972047302
ACH-000256,-1.3576051498342947
ACH-000257,-1.3130457992316242
ACH-000258,-0.5270054024070424
ACH-000259,-1.4209215801653128
ACH-000260,-1.293881065336954
ACH-000261,-1.1678585711841487
ACH-000262,-1.4208729593269462
ACH-000263,-1.2118724086733328
ACH-000264,-1.1612793439777949
ACH-000265,-1.3130530176721027
ACH-000266,-1.3525488203505156
ACH-000272,-1.0973837872738337
ACH-000274,-0.7782518659880774
ACH-000277,-0.7977367773276919
ACH-000278,-1.0544752205450028
ACH-000279,-1.5865922273976905
ACH-000280,-1.5889941114749129
ACH-000281,-1.4712351751249684
ACH-000288,-1.4626266746018317
ACH-000291,-0.9077694637051648
ACH-000293,-1.3834053854809434
ACH-000294,-1.5526782525047695
ACH-000295,-1.3527449063107142
ACH-000296,-1.4575487416702253
ACH-000302,-1.1630587851363052
ACH-000304,-1.0014064171416976
ACH-000307,-1.2859966334023123
ACH-000308,-1.056418329725302
ACH-000310,-1.1384291748946125
ACH-000311,-1.2978404217122823
ACH-000312,-1.249932959991738
ACH-000315,-0.9211729844044406
ACH-000316,-1.5377994833125457
ACH-000317,-1.3792609459530858
ACH-000318,-1.271871036295288
ACH-000319,-1.2291379844196504
ACH-000320,-1.4399423511728897
ACH-000322,-1.5351352867305537
ACH-000323,-1.233469882132253
ACH-000324,-1.4393292135128244
ACH-000329,-1.4105516855046545
ACH-000330,-1.2744372690717356
ACH-000331,-1.2102107586408386
ACH-000332,-0.6505910736844861
ACH-000334,-1.2512867485772028
ACH-000335,-1.2649509248504245
ACH-000336,-1.071255859427947
ACH-000337,-0.9157755558685552
ACH-000338,-0.8941860570921093
ACH-000339,-1.1449178155189128
ACH-000341,-1.1716531387629467
ACH-000348,-1.3721172538390884
ACH-000350,-1.1526429089173702
ACH-000352,-1.4014408937941016
ACH-000356,-0.7053230311715243
ACH-000361,-1.2103761767600167
ACH-000362,-1.1367632826116665
ACH-000363,-1.199672399870466
ACH-000364,-1.2037853401653666
ACH-000365,-1.358330582298736
ACH-000366,-1.2945146606223714
ACH-000368,-1.5760184672207178
ACH-000374,-1.50827643982693
ACH-000375,-1.0985451512373332
ACH-000376,-1.000908811251447
ACH-000381,-0.7139990992375486
ACH-000383,-1.4785053862168311
ACH-000387,-1.3711341977361804
ACH-000389,-1.4006241868254508
ACH-000390,-1.2183336949983412
ACH-000393,-1.6032013679791473
ACH-000395,-1.1370076737719748
ACH-000396,-1.3543932283912017
ACH-000397,-1.2074039274055743
ACH-000401,-1.389449945536823
ACH-000402,-1.2225396439341814
ACH-000403,-0.8169476991565525
ACH-000404,-1.3335694215339091
ACH-000406,-1.553542497034197
ACH-000407,-1.4344066726980145
ACH-000408,-1.5020628103253078
ACH-000410,-1.1740380855979538
ACH-000411,-1.3203643379928869
ACH-000414,-1.4238560639900362
ACH-000415,-1.299956782457363
ACH-000416,-1.1728427403999402
ACH-000420,-1.1723144868782078
ACH-000421,-0.9270597707921816
ACH-000424,-1.1801343594989937
ACH-000425,-0.8608179997502894
ACH-000426,-1.5840943035306818
ACH-000427,-0.8484209514517259
ACH-000433,-0.97916258918312
ACH-000435,-0.5453523857138491
ACH-000436,-1.4700580086633293
ACH-000444,-1.2720920705963306
ACH-000445,-1.2929253978282051
ACH-000448,-1.0783594351873922
ACH-000450,-1.1667508825795792
ACH-000452,-0.8825090419565602
ACH-000454,-1.5509256615601017
ACH-000458,-1.1609653124167325
ACH-000459,-1.158748781701881
ACH-000460,-1.2079367880082974
ACH-000461,-0.991922143869038
ACH-000463,-1.182990983327402
ACH-000464,-1.3726815024263352
ACH-000466,-1.430856539601666
ACH-000467,-0.8726462742776229
ACH-000468,-1.2241841415448662
ACH-000469,-1.479698568929749
ACH-000470,-1.3048467101715389
ACH-000471,-1.4195765413888344
ACH-000472,-1.3906147347016478
ACH-000473,-1.4333884889483124
ACH-000475,-1.3670300534711408
ACH-000476,-1.3238221696340182
ACH-000477,-1.6249591950854407
ACH-000479,-1.748806814307282
ACH-000480,-0.5960336161798683
ACH-000481,-1.3968389569725137
ACH-000483,-0.6578902627597634
ACH-000484,-1.3487158496686285
ACH-000485,-0.6956631188395023
ACH-000486,-1.0875924062513946
ACH-000487,-1.3932829516632976
ACH-000488,-1.0971126191946867
ACH-000490,-1.1695041808627906
ACH-000491,-1.3930265945823344
ACH-000495,-1.4205439887574287
ACH-000496,-1.4149937027763326
ACH-000499,-1.101203502038588
ACH-000500,-1.5498442312608367
ACH-000502,-1.4120168456607818
