,DIS3L (115752)
ACH-000004,-0.17402964086205475
ACH-000005,-0.3404187762325604
ACH-000007,-0.17608917517361936
ACH-000009,-0.384401780154526
ACH-000011,-0.05708841916129266
ACH-000012,-0.34301166916198816
ACH-000013,-0.2008579242161533
ACH-000014,-0.30013812780308924
ACH-000015,-0.15569413777975674
ACH-000017,-0.24027871131208356
ACH-000018,-0.06924818520070793
ACH-000019,-0.2721806286396968
ACH-000021,-0.13456441457429372
ACH-000022,-0.3443544755487987
ACH-000025,-0.24482259900082096
ACH-000028,-0.2831837313473674
ACH-000030,-0.09136595544096307
ACH-000035,-0.2878804561561229
ACH-000036,0.01456131709710649
ACH-000037,-0.2427411446458987
ACH-000039,-0.20106686098096802
ACH-000040,-0.2721090603367392
ACH-000041,-0.2389770467703992
ACH-000042,-0.19669071966415136
ACH-000045,-0.16727676588397694
ACH-000047,-0.032883722551077216
ACH-000052,-0.4878401044740872
ACH-000053,-0.15747893298823498
ACH-000054,-0.1041532343781898
ACH-000055,-0.17421384375654778
ACH-000060,-0.02865330637607795
ACH-000067,-0.16024846547073113
ACH-000070,-0.2445099136221199
ACH-000075,-0.11040559951109208
ACH-000078,-0.07513186755536315
ACH-000082,-0.1900735276996728
ACH-000085,-0.01885411946938893
ACH-000086,-0.3402799630357821
ACH-000087,-0.2865171061228726
ACH-000092,-0.2001919485903832
ACH-000095,-0.1977659162731908
ACH-000097,-0.2318274855695663
ACH-000098,-0.10227383650783962
ACH-000099,-0.11820561209452615
ACH-000108,-0.2494427987254875
ACH-000113,-0.17095940332548565
ACH-000116,-0.2854240626721575
ACH-000118,-0.11386787109863356
ACH-000120,-0.3011081960716879
ACH-000123,-0.15160139860705665
ACH-000127,-0.12884538433574255
ACH-000128,-0.2100396523688916
ACH-000132,-0.2224123133817129
ACH-000133,-0.11905922756759753
ACH-000137,-0.14805090305600335
ACH-000138,-0.1144847103429455
ACH-000142,-0.16786478851660294
ACH-000143,-0.2729769486072336
ACH-000146,-0.13355507453411558
ACH-000148,-0.3025254848849037
ACH-000150,-0.11672627601656214
ACH-000152,-0.1186976698123754
ACH-000153,-0.3033277806252496
ACH-000159,-0.15208467908116274
ACH-000160,-0.193166902962886
ACH-000163,-0.15202652975224396
ACH-000167,-0.29743433170676165
ACH-000168,-0.33955402577184884
ACH-000169,-0.2255259869394376
ACH-000178,-0.07611956073860196
ACH-000183,-0.08431484379856018
ACH-000188,-0.21306732392958866
ACH-000189,0.006919879626758343
ACH-000190,-0.1741742541285802
ACH-000198,-0.17688704722839835
ACH-000203,-0.9222652648435352
ACH-000204,-0.4064268139188699
ACH-000206,-0.12036197926687695
ACH-000207,-0.18239660474602826
ACH-000208,-0.0711405339300197
ACH-000210,-0.195904346398494
ACH-000211,-0.19745137625594925
ACH-000215,-0.268957389698385
ACH-000221,-0.212274385788224
ACH-000222,-0.19930774242656688
ACH-000223,-0.2994911486713669
ACH-000226,-0.19075477820866127
ACH-000227,-0.2492866155544839
ACH-000228,-0.25867700550534223
ACH-000231,-0.28235668667107905
ACH-000232,-0.2933060881002196
ACH-000233,-0.3733734687395892
ACH-000234,-0.2771073478745596
ACH-000235,-0.16944463389297654
ACH-000237,-0.11921977771216676
ACH-000238,-0.3716424489979923
ACH-000242,-0.10762966221815264
ACH-000243,-0.1373498967857842
ACH-000244,-0.10891852432881816
ACH-000246,-0.15191364942458374
ACH-000248,-0.12306652658599722
ACH-000250,-0.13846517444325904
ACH-000251,-0.042319230669984234
ACH-000252,-0.25979348388387696
ACH-000253,-0.16055894922033373
ACH-000255,-0.2919279559046396
ACH-000256,-0.2341131773191755
ACH-000257,-0.1654859520535889
ACH-000258,-0.329850097145385
ACH-000259,-0.2763949045377946
ACH-000260,-0.27620656788807063
ACH-000261,-0.2463069994783101
ACH-000262,-0.22380188767086892
ACH-000263,-0.052835471652817545
ACH-000264,-0.23671401518501506
ACH-000265,-0.4252871259814788
ACH-000266,-0.2074404087726978
ACH-000272,-0.2890046101518965
ACH-000274,-0.18345325118660294
ACH-000277,-0.06286182693847071
ACH-000278,-0.2116331150260121
ACH-000279,-0.2511369616393658
ACH-000280,-0.24061351768096104
ACH-000281,-0.2870954702324626
ACH-000288,-0.17981822063491001
ACH-000291,-0.1975516449743075
ACH-000293,-0.2010663577147642
ACH-000294,-0.18862398927700846
ACH-000295,-0.08449562045959083
ACH-000296,-0.09445321385677097
ACH-000302,-0.18862885800695248
ACH-000304,-0.2273729853272931
ACH-000307,-0.3469892134027949
ACH-000308,-0.1887941951663481
ACH-000310,-0.20892348223551616
ACH-000311,-0.20286785243380973
ACH-000312,-0.1554553727208498
ACH-000315,-0.30884543593359864
