,PIGQ (9091)
ACH-000004,0.1429888717904208
ACH-000005,-0.3217426863950619
ACH-000007,-0.10985258651916456
ACH-000009,0.05427073737330868
ACH-000011,-0.09115264281866303
ACH-000012,-0.09215392479004554
ACH-000013,-0.07088912860777491
ACH-000014,-0.06028350057585385
ACH-000015,-0.2439551970047662
ACH-000017,-0.09894724332400463
ACH-000018,0.057542835347922164
ACH-000019,0.09193832569400028
ACH-000021,-0.02372291940704566
ACH-000022,-0.013266722423451591
ACH-000025,-0.15113372553691728
ACH-000028,0.008033766580957724
ACH-000030,0.032566673526849985
ACH-000035,-0.01130424715449594
ACH-000036,-0.17050966771401374
ACH-000037,-0.02432594257893424
ACH-000039,0.022319994298489892
ACH-000040,-0.20230924547355805
ACH-000041,-0.0964877737478746
ACH-000042,-0.054399231005323866
ACH-000045,0.011099553207106176
ACH-000047,-0.218120768715126
ACH-000052,0.022793834784672302
ACH-000053,-0.15927225412428025
ACH-000054,0.04228836689149019
ACH-000055,0.07826129207178376
ACH-000060,-0.18965887814370866
ACH-000067,-0.13327856668668456
ACH-000070,-0.08299440731185875
ACH-000075,-0.18333369514642806
ACH-000078,-0.1516207206268423
ACH-000082,-0.10107627822987396
ACH-000085,-0.11121362870719344
ACH-000086,-0.03410828928020188
ACH-000087,-0.3052437164896509
ACH-000092,-0.21357487495002767
ACH-000095,-0.14530067348568515
ACH-000097,-0.0019936998549864933
ACH-000098,-0.21708292338337
ACH-000099,-0.13301528066311205
ACH-000108,-0.05640563268626924
ACH-000113,0.02324574090734809
ACH-000116,0.028182140385750364
ACH-000118,-0.14961047174325254
ACH-000120,-0.07555471772229491
ACH-000123,-0.11353474495872293
ACH-000127,-0.004938201079128791
ACH-000128,-0.04319229077284669
ACH-000132,-0.2431491890970333
ACH-000133,-0.13573742022679955
ACH-000137,-0.1260163759659784
ACH-000138,-0.1135163948048039
ACH-000142,-0.2709505926914848
ACH-000143,-0.06920382969641746
ACH-000146,-0.0747920504492179
ACH-000148,-0.09403480515582642
ACH-000150,-0.09564939837148048
ACH-000152,-0.01194681159570478
ACH-000153,0.22363848264517214
ACH-000159,-0.0148800937142861
ACH-000160,0.05412381884909523
ACH-000163,-0.19701511624121
ACH-000167,-0.05945432571500659
ACH-000168,-0.06376923169477731
ACH-000169,-0.15987354876770365
ACH-000178,-0.10404393516772023
ACH-000183,-0.08077205880970435
ACH-000188,-0.05544082823587157
ACH-000189,0.10158362703750756
ACH-000190,0.04049367348969312
ACH-000198,0.032023837004548215
ACH-000203,0.042071556055941664
ACH-000204,-0.2568109145236465
ACH-000206,-0.19057277389337204
ACH-000207,-0.19219721179913088
ACH-000208,-0.33907311214674624
