,RAC3 (5881)
ACH-000004,-0.5755249380944014
ACH-000005,-0.08006883684486818
ACH-000007,-0.09991262909946687
ACH-000009,-0.3832255239934864
ACH-000011,-0.4675009129633811
ACH-000012,-0.5394800474150405
ACH-000013,-0.3111638871966225
ACH-000014,-0.2929854116563603
ACH-000015,-0.4061303321868943
ACH-000017,-0.3477625548791964
ACH-000018,-0.3082765206187644
ACH-000019,-0.22757677847830565
ACH-000021,-0.2878336980755116
ACH-000022,-0.4226747542681925
ACH-000025,-0.4335426550751062
ACH-000028,-0.22683748216631897
ACH-000030,-0.4312698860575935
ACH-000035,-0.34852479768698624
ACH-000036,-0.43287190414724
ACH-000037,-0.4731326484728751
ACH-000039,-0.44416764071315007
ACH-000040,-0.37827742992792734
ACH-000041,-0.606776854312968
ACH-000042,-0.4882891605917059
ACH-000045,-0.4330511551079709
ACH-000047,-0.3594887277913501
ACH-000052,-0.5560961081019219
ACH-000053,-0.32016047123524083
ACH-000054,-0.5646585233044663
ACH-000055,-0.37030656881425983
ACH-000060,-0.3777538040483939
ACH-000067,-0.2856784803016244
ACH-000070,-0.2598523152728641
ACH-000075,-0.1770743350904522
ACH-000078,-0.5124041412826683
ACH-000082,-0.3752371286809303
ACH-000085,-0.39454263123111405
ACH-000086,-0.2907455608641788
ACH-000087,-0.4547893055260757
ACH-000092,-0.27847076226992945
ACH-000095,-0.3313077957461361
ACH-000097,-0.4044445353433727
ACH-000098,-0.361560765248677
ACH-000099,-0.639055790099842
ACH-000108,-0.4316510582034019
ACH-000113,-0.5071941707686141
ACH-000116,-0.3922740249861271
ACH-000118,-0.3117265609180044
ACH-000120,-0.5263938187796039
ACH-000123,-0.3086778240042327
ACH-000127,-0.313166257458623
ACH-000128,-0.35962676176873065
ACH-000132,-0.3804229965910683
ACH-000133,-0.3916821500009203
ACH-000137,-0.2596190343986113
ACH-000138,-0.28391402155140155
ACH-000142,-0.5847936414742083
ACH-000143,-0.3050900638623254
ACH-000146,-0.4642669054608005
ACH-000148,-0.4710409273280086
ACH-000150,-0.4170298260315176
ACH-000152,-0.410183299526274
ACH-000153,-0.5976329484462625
ACH-000159,-0.3990936704302646
ACH-000160,-0.3576198257069877
ACH-000163,-0.3211434072482485
ACH-000167,-0.4067421032363108
ACH-000168,-0.48415357853412705
ACH-000169,-0.4857408562788211
ACH-000178,-0.34407920848683554
ACH-000183,-0.307466149254907
ACH-000188,-0.3940807045067908
ACH-000189,-0.5574603061304484
ACH-000190,-0.4276598201062888
ACH-000198,-0.4975305479570886
ACH-000203,-0.14901036793997285
ACH-000204,-0.051741489557763816
ACH-000206,-0.4092557772936798
ACH-000207,-0.33737164710099393
ACH-000208,-0.5024123972404541
ACH-000210,-0.5300834408743081
ACH-000211,-0.3671558458976623
ACH-000215,-0.3656623991839239
ACH-000221,-0.4217924548381007
ACH-000222,-0.29121013004402124
ACH-000223,-0.4206606216786009
ACH-000226,-0.3419338368891797
ACH-000227,-0.2766611232959173
ACH-000228,-0.2487089094657001
ACH-000231,-0.4943389793854575
ACH-000232,-0.365028817985944
ACH-000233,-0.34188309962002345
ACH-000234,-0.4602996437637165
ACH-000235,-0.4638213818626283
ACH-000237,-0.3428830113484394
ACH-000238,-0.4713419268403817
ACH-000242,-0.3085386021129281
ACH-000243,-0.5010644906057472
ACH-000244,-0.3528525546409849
ACH-000246,-0.5067785262012191
ACH-000248,-0.6377083601025184
ACH-000250,-0.4655215779942373
ACH-000251,-0.5518660809769503
ACH-000252,-0.3250012129801845
ACH-000253,-0.4903568066589725
ACH-000255,-0.4557974972091355
ACH-000256,-0.24750728871572714
ACH-000257,-0.44204889903877176
ACH-000258,-0.4886748713786059
ACH-000259,-0.4648974563035202
ACH-000260,-0.5510904942630961
ACH-000261,-0.5410090445817497
ACH-000262,-0.2715621727023883
ACH-000263,-0.2681168835403024
ACH-000264,-0.3980552911934068
ACH-000265,-0.30434275571595026
ACH-000266,-0.5408387676157411
ACH-000272,-0.4082804091096061
ACH-000274,-0.4460207127607651
ACH-000277,-0.42073286218090206
ACH-000278,-0.3734826862988082
ACH-000279,-0.3087248331920084
ACH-000280,-0.44628616354518014
ACH-000281,-0.6569006321514577
ACH-000288,-0.5536816472817909
ACH-000291,-0.4548873364634937
ACH-000293,-0.5072400348347564
ACH-000294,-0.42462282843117616
ACH-000295,-0.7591569513764965
ACH-000296,-0.4601626953912098
ACH-000302,-0.4355803364487079
ACH-000304,-0.3769434730299168
ACH-000307,-0.27054442356059
ACH-000308,-0.3714061234691303
ACH-000310,-0.6078802251971981
ACH-000311,-0.3257474774399423
ACH-000312,-0.5838669299820075
ACH-000315,-0.3961361702864258
ACH-000316,-0.4583597126010564
ACH-000317,-0.3837413845723807
ACH-000318,-0.2192270173289613
ACH-000319,-0.2780597616556474
ACH-000320,-0.18343003775028868
ACH-000322,-0.4336821500717946
ACH-000323,-0.35069887747607564
ACH-000324,-0.3604856465146793
ACH-000329,-0.5972391817591203
ACH-000330,-0.3655876682517391
ACH-000331,-0.21529775734355736
ACH-000332,-0.3713165734378603
ACH-000334,-0.21836833118006152
ACH-000335,-0.09161240141387453
ACH-000336,-0.1504141477944423
ACH-000337,-0.4378627593679277
ACH-000338,-0.5408495169422264
ACH-000339,-0.4328555052283425
ACH-000341,-0.4770848791573836
ACH-000348,-0.4838571284500585
ACH-000350,-0.5753574270843514
ACH-000352,-0.3763799499202109
ACH-000356,-0.28797293197267504
ACH-000361,-0.4784725493452365
ACH-000362,-0.5068681351683921
ACH-000363,-0.34631868723730114
ACH-000364,-0.3267051436922113
ACH-000365,-0.4722845246282672
ACH-000366,-0.42861312386110334
ACH-000368,-0.4750380478685861
ACH-000374,-0.5620091059704536
ACH-000375,-0.3545843794825769
ACH-000376,-0.3570114658701449
ACH-000381,-0.3181710230378848
ACH-000383,-0.36610958849472347
ACH-000387,-0.4080573369619408
ACH-000389,-0.3763271311165051
ACH-000390,-0.3829447692498654
ACH-000393,-0.4093664098606996
ACH-000395,-0.4770386325153362
ACH-000396,-0.258403643046709
ACH-000397,-0.33429056388799644
ACH-000401,-0.4215209605754528
ACH-000402,-0.4418975483929
ACH-000403,-0.39400861299063705
ACH-000404,-0.2704516441354583
ACH-000406,-0.4617481633487954
ACH-000407,-0.4306365908444599
ACH-000408,-0.2880986471172334
ACH-000410,-0.28476330585120657
ACH-000411,-0.26565096038841995
ACH-000414,-0.3422296990908515
ACH-000415,-0.35201144230908155
ACH-000416,-0.3919663176188098
ACH-000420,-0.5873784820283255
ACH-000421,-0.5577283631030553
ACH-000424,-0.6200775810634187
ACH-000425,-0.4169805220042603
ACH-000426,-0.4970796982664545
ACH-000427,-0.4462618650708556
ACH-000433,-0.26971622446568144
ACH-000435,-0.2138694766387326
ACH-000436,-0.4658179495135076
ACH-000444,-0.3332874608829157
ACH-000445,-0.23999408626550398
ACH-000448,-0.2864292265641217
ACH-000450,-0.24554953358115825
ACH-000452,-0.4503792889590026
ACH-000454,-0.3232746181778548
ACH-000458,-0.6221341682481556
ACH-000459,-0.4550303142075655
ACH-000460,-0.5298170579785398
ACH-000461,-0.3933327499955624
ACH-000463,-0.3940363460685663
ACH-000464,-0.31785309253212873
ACH-000466,-0.3757633084396678
ACH-000467,-0.37517550520900295
ACH-000468,-0.3531553544765842
ACH-000469,-0.39328277184787547
ACH-000470,-0.4900686617767407
