,PCNP (57092)
ACH-000004,-0.23878787851031866
ACH-000005,-0.33153918830867785
ACH-000007,-0.2597755221769339
ACH-000009,-0.32813855966798433
ACH-000011,-0.17436188718391285
ACH-000012,-0.1819829510144237
ACH-000013,-0.12471681918646887
ACH-000014,-0.3971501363006368
ACH-000015,-0.2499566816164553
ACH-000017,-0.11555028716285673
ACH-000018,-0.3485223994706961
ACH-000019,-0.0691788144935372
ACH-000021,-0.4201854737757789
ACH-000022,-0.07192749230184746
ACH-000025,-0.3640596209294808
ACH-000028,-0.31954996971754435
ACH-000030,-0.1160534452283857
ACH-000035,-0.28187865458698136
ACH-000036,-0.2811324068320268
ACH-000037,-0.3337751791059792
ACH-000039,-0.17356383595062702
ACH-000040,-0.30335981381989546
ACH-000041,-0.3641204579504678
ACH-000042,-0.1962258596052932
ACH-000045,-0.3476873536108701
ACH-000047,-0.14665447400391926
ACH-000052,-0.2567894850052583
ACH-000053,-0.03907012317082552
ACH-000054,-0.1605966589659024
ACH-000055,-0.2657368359910087
ACH-000060,-0.27709786769709266
ACH-000067,-0.3356674883422129
ACH-000070,-0.26742048454039963
ACH-000075,-0.3720285203187668
ACH-000078,-0.1358967871488878
ACH-000082,-0.2203834925062298
ACH-000085,-0.25351684743035685
ACH-000086,-0.36688916598512816
ACH-000087,-0.20848902280466
ACH-000092,-0.3278484017006008
ACH-000095,-0.2884402732587449
ACH-000097,-0.2053523552887735
ACH-000098,-0.11111293855847164
ACH-000099,-0.2391325398148789
ACH-000108,-0.17822941975990148
ACH-000113,-0.3034032612658569
ACH-000116,-0.18767515472625199
ACH-000118,-0.2171091696171767
ACH-000120,-0.3361247649750197
ACH-000123,-0.3370193940848561
ACH-000127,-0.15226916511286925
ACH-000128,-0.33967747213212984
ACH-000132,-0.07843490743288531
ACH-000133,-0.2516181014405061
ACH-000137,-0.27964771434147656
ACH-000138,-0.16252160257830187
ACH-000142,-0.2697935178873819
ACH-000143,-0.2790989761401936
ACH-000146,-0.18410040989140591
ACH-000148,-0.12438283699351953
ACH-000150,-0.02688342074934788
ACH-000152,-0.3503011460490417
ACH-000153,-0.3309259395623225
ACH-000159,-0.2683300052365312
ACH-000160,-0.2104838047966899
ACH-000163,-0.15799670292223453
ACH-000167,0.06459162781410012
ACH-000168,-0.20182572080986366
ACH-000169,-0.2450270698662819
ACH-000178,-0.23071681642099265
ACH-000183,-0.2926681551476976
ACH-000188,-0.16710674238528642
ACH-000189,-0.2727654938171895
ACH-000190,-0.25689806269493537
ACH-000198,-0.35741442807813795
ACH-000203,-0.4786059156344151
ACH-000204,-0.3335576837804166
ACH-000206,-0.14992200875904926
ACH-000207,-0.17815175498583494
ACH-000208,-0.24488933330055715
ACH-000210,-0.3759697846971925
ACH-000211,-0.3735443014201345
