,ST7L (54879)
ACH-000004,-0.2362324660243057
ACH-000005,-0.11217018948846047
ACH-000007,-0.15452900648234666
ACH-000009,-0.10646093616658313
ACH-000011,-0.08392201089011561
ACH-000012,-0.13054248924826456
ACH-000013,-0.09355229522196444
ACH-000014,-0.0664614914801402
ACH-000015,-0.1402709243630013
ACH-000017,-0.015717138624154168
ACH-000018,-0.21091413829456332
ACH-000019,-0.3607941397501665
ACH-000021,-0.16882231187680632
ACH-000022,-0.1140669853579049
ACH-000025,-0.2780471000471909
ACH-000028,-0.21936183586229888
ACH-000030,-0.12247412415468678
ACH-000035,-0.24684255423699905
ACH-000036,-0.1899457289744213
ACH-000037,-0.07284498723008223
ACH-000039,-0.0690263454214677
ACH-000040,-0.1928968237368228
ACH-000041,-0.18388252001939556
ACH-000042,-0.11248309362424427
ACH-000045,-0.03178123261808423
ACH-000047,-0.08139416300335031
ACH-000052,-0.30219627449364805
ACH-000053,-0.047066081316804426
ACH-000054,-0.15685715549789214
ACH-000055,-0.1990110658344414
ACH-000060,-0.20434879994540853
ACH-000067,-0.21567236641513127
ACH-000070,-0.24355301095257165
ACH-000075,-0.4683736947628618
ACH-000078,-0.21245462642243565
ACH-000082,-0.12871221886445716
ACH-000085,-0.12168070432080855
ACH-000086,-0.18586783398764992
ACH-000087,-0.29421271215080746
ACH-000092,-0.31466516638149605
ACH-000095,-0.2350937100869784
ACH-000097,-0.10036120428469188
ACH-000098,-0.17657073748139204
ACH-000099,-0.17800506905438312
ACH-000108,-0.12871918255537995
ACH-000113,-0.0969020104530909
ACH-000116,-0.12185097306924544
ACH-000118,-0.0453993910381764
ACH-000120,0.04320805689961946
ACH-000123,-0.0453062617307913
ACH-000127,-0.10566247919093112
ACH-000128,-0.15684276853892504
ACH-000132,-0.2712799784697022
ACH-000133,-0.14729326497712775
ACH-000137,-0.21040124395314053
ACH-000138,-0.04183886842559752
ACH-000142,-0.1010758917100855
ACH-000143,-0.172223465430306
ACH-000146,-0.1493503382498127
ACH-000148,-0.22231172316606654
ACH-000150,-0.18435868540920813
ACH-000152,-0.3081187221354019
ACH-000153,0.17498871899003351
ACH-000159,-0.16547106428913996
ACH-000160,-0.02418328112422013
ACH-000163,-0.10888843176650097
ACH-000167,-0.18776861282942053
ACH-000168,-0.19218885690279347
ACH-000169,-0.11905032072453305
ACH-000178,-0.24064050312656265
ACH-000183,0.01970730357857194
ACH-000188,-0.2745605539083538
ACH-000189,-0.14548216254228746
ACH-000190,-0.054399596707228534
ACH-000198,-0.09897892357887944
ACH-000203,-0.4923928356993119
ACH-000204,-0.3455641529410688
ACH-000206,-0.1575611439453012
ACH-000207,-0.1893900800176801
ACH-000208,0.07094758260043417
ACH-000210,-0.0598965076587076
ACH-000211,-0.19486164515742468
ACH-000215,-0.19273225293299492
ACH-000221,-0.2758224652251067
ACH-000222,-0.020242228814777587
ACH-000223,-0.4286502328966908
ACH-000226,-0.062490005838967876
ACH-000227,-0.22267464288820876
ACH-000228,-0.25546685439967504
ACH-000231,-0.040059505056993384
ACH-000232,-0.1701475486996655
ACH-000233,-0.11159796338227733
ACH-000234,-0.02207921099507207
ACH-000235,-0.0574642981578603
ACH-000237,-0.188768948363922
ACH-000238,-0.2707463281313606
ACH-000242,0.3922704941558045
ACH-000243,-0.06315287119957462
ACH-000244,-0.1391828466266604
ACH-000246,-0.09578556924611854
ACH-000248,-0.1882912332954269
ACH-000250,-0.0669424738649685
ACH-000251,-0.09358173687008124
ACH-000252,-0.2994595301505737
ACH-000253,-0.15403300262905795
ACH-000255,-0.17099503074042086
ACH-000256,-0.27147935040704313
ACH-000257,-0.30012791890254703
ACH-000258,0.011308060517071044
ACH-000259,-0.08508786535659764
ACH-000260,-0.030594887814389533
ACH-000261,-0.1355546322812897
ACH-000262,-0.16042001216788607
ACH-000263,-0.2859578426555949
ACH-000264,-0.2107465442304028
ACH-000265,-0.13384897516031813
ACH-000266,-0.13571185620345716
ACH-000272,-0.25432890150912585
ACH-000274,-0.240331920666598
ACH-000277,-0.1807854533797384
ACH-000278,-0.25633545780765843
ACH-000279,-0.2112881874630605
ACH-000280,-0.13107009095639466
ACH-000281,0.043966965734162505
ACH-000288,-0.15491546594896946
ACH-000291,-0.13964150050943475
ACH-000293,0.0029879182255857337
ACH-000294,-0.14433943560292448
ACH-000295,-0.2600055741939465
ACH-000296,-0.3679463626157008
ACH-000302,-0.2259745420429262
ACH-000304,-0.1815175307405804
ACH-000307,-0.16645714670003256
ACH-000308,-0.09396123371797163
ACH-000310,-0.374150904875798
ACH-000311,-0.010635108722626014
ACH-000312,-0.16811120043283598
ACH-000315,0.02294732696950095
ACH-000316,0.023279817759834204
ACH-000317,-0.21923000493321887
ACH-000318,-0.14755660935324627
ACH-000319,-0.15737553704145024
ACH-000320,-0.2846395312966258
ACH-000322,-0.08296230866822356
ACH-000323,-0.23360461164358184
ACH-000324,-0.18474503313499094
ACH-000329,-0.2434315702579014
ACH-000330,-0.17006229009789275
ACH-000331,-0.12744369540548794
ACH-000332,-0.1427515937050301
ACH-000334,-0.15277530876336146
ACH-000335,-0.1009254251711827
ACH-000336,0.056713638689301175
ACH-000337,-0.042603576043353936
ACH-000338,0.3172343965423089
ACH-000339,-0.1455193972152159
ACH-000341,-0.10833715065396088
ACH-000348,-0.07093532865742029
ACH-000350,-0.1282750163428614
ACH-000352,-0.17790068353352026
ACH-000356,0.09049616022268067
ACH-000361,-0.20105337004009716
ACH-000362,-0.13902873469764526
ACH-000363,-0.16286771352891613
ACH-000364,-0.07513390044497481
ACH-000365,-0.10210443947471537
ACH-000366,-0.22102250170380455
ACH-000368,-0.12608998515661146
ACH-000374,-0.2592063812677134
ACH-000375,-0.14686102920009594
ACH-000376,-0.22553763613023065
ACH-000381,-0.1778038781359359
