,KRBOX1 (100506243)
ACH-000004,-0.1535147504163544
ACH-000005,0.1395794000920475
ACH-000007,-0.15738528184842934
ACH-000009,-0.17547802395517975
ACH-000011,-0.03652045626430698
ACH-000012,-0.15332752420291967
ACH-000013,-0.08903967911411706
ACH-000014,-0.4392759195897807
ACH-000015,-0.14544091753628352
ACH-000017,-0.10359535822629967
ACH-000018,-0.1182182416250469
ACH-000019,-0.0764149315729088
ACH-000021,-0.2093968035834316
ACH-000022,-0.09108096175500137
ACH-000025,-0.2574417341153427
ACH-000028,-0.07399291834841201
ACH-000030,-0.11809014286507866
ACH-000035,-0.07666390455302254
ACH-000036,-0.1965514905886518
ACH-000037,-0.023336537485986
ACH-000039,-0.1231169181449401
ACH-000040,-0.04774400768892231
ACH-000041,0.03473813499909443
ACH-000042,-0.20845224856140052
ACH-000045,-0.18064483386709784
ACH-000047,-0.0800933629195579
ACH-000052,-0.028279627685968662
ACH-000053,-0.09961364550666127
ACH-000054,-0.19974405084529293
ACH-000055,-0.07555046996867344
ACH-000060,-0.17806970735102085
ACH-000067,-0.2997793254382841
ACH-000070,-0.04078034278003658
ACH-000075,-0.14184657200005368
ACH-000078,-0.1906625818423001
ACH-000082,-0.020779542671425708
ACH-000085,-0.18105761727820985
ACH-000086,-0.1320904991652298
ACH-000087,-0.12607881819706024
ACH-000092,-0.10837843694692767
ACH-000095,0.016380952017971948
ACH-000097,-0.06646491112524673
ACH-000098,-0.2952853412362704
ACH-000099,-0.18283495683292345
ACH-000108,-0.08179724392928593
ACH-000113,-0.12129378547213833
ACH-000116,-0.1376874451497955
ACH-000118,-0.12417649093751774
ACH-000120,-0.15415277854702167
ACH-000123,-0.20492605285955512
ACH-000127,-0.12769256471306814
ACH-000128,-0.09429690503993622
ACH-000132,0.01950290781020493
ACH-000133,-0.10750537669287206
ACH-000137,-0.10399514995147974
ACH-000138,-0.1864223938545588
ACH-000142,-0.08451658282703157
ACH-000143,-0.02856287286961724
ACH-000146,-0.12119611966989245
ACH-000148,-0.03466692951484197
ACH-000150,-0.1448784568780602
ACH-000152,-0.1443479127638895
ACH-000153,0.014886911860686403
