,MYBBP1A (10514)
ACH-000004,-0.6402921767353985
ACH-000005,-1.0986547444529104
ACH-000007,-0.5330604030988688
ACH-000009,-0.6999408325323381
ACH-000011,-0.6622008938194989
ACH-000012,-0.5084584310250505
ACH-000013,-0.7587281515099354
ACH-000014,-0.4581102760381369
ACH-000015,-0.9016167293588164
ACH-000017,-0.6429992961585892
ACH-000018,-0.5991846461526152
ACH-000019,-0.4746670952736258
ACH-000021,-0.6414215563231882
ACH-000022,-0.6629523058779249
ACH-000025,-0.5533838531706847
ACH-000028,-0.4525886849090384
ACH-000030,-0.5538822197481986
ACH-000035,-0.7386621650674167
ACH-000036,-0.4516098455431448
ACH-000037,-0.9558360105117868
ACH-000039,-0.3778136163118699
ACH-000040,-0.6154471717221768
ACH-000041,-0.9279113305280462
ACH-000042,-0.911812289765624
ACH-000045,-0.6553027435681769
ACH-000047,-0.6694780477948954
ACH-000052,-0.469457391499344
ACH-000053,-0.7600072174937865
ACH-000054,-0.5825566368105486
ACH-000055,-0.8259538938895539
ACH-000060,-0.7918866060059839
ACH-000067,-0.6538927826736305
ACH-000070,-0.3082323601855008
ACH-000075,-0.6572532284583773
ACH-000078,-0.7036687823874587
ACH-000082,-0.5693064322056878
ACH-000085,-0.973550759396326
ACH-000086,-0.43946274953902303
ACH-000087,-0.547926895733355
ACH-000092,-0.5099864816086965
ACH-000095,-0.6026691839156265
ACH-000097,-0.7160358635701516
ACH-000098,-0.7962798796833035
ACH-000099,-0.653351458887052
ACH-000108,-0.6115241838011702
ACH-000113,-0.464826230904129
ACH-000116,-0.8798849789099209
ACH-000118,-0.7818413842416518
ACH-000120,-0.7895195449152599
ACH-000123,-0.6457228342828348
ACH-000127,-0.5832581012345905
ACH-000128,-0.5496069845068107
ACH-000132,-0.4708546848140833
ACH-000133,-0.4631736078333693
ACH-000137,-0.6194680679956382
ACH-000138,-0.7143220867406952
ACH-000142,-0.8452978941441687
ACH-000143,-0.8331128762756937
ACH-000146,-0.6191069990244684
ACH-000148,-0.6194896254813851
ACH-000150,-0.5757032381932292
ACH-000152,-0.7161464140629961
ACH-000153,-0.8303117745948638
ACH-000159,-0.6879931860414822
ACH-000160,-0.6506332530682293
ACH-000163,-0.5964847082345034
ACH-000167,-1.477773262363526
ACH-000168,-0.8168129675830872
ACH-000169,-0.575640226953775
ACH-000178,-0.6522336958200327
ACH-000183,-0.5691193984292618
ACH-000188,-0.8104149541509709
ACH-000189,-0.5449170477172169
ACH-000190,-0.9004296658012859
ACH-000198,-0.5524440675727816
ACH-000203,-0.5453330454013382
ACH-000204,-0.36050134792426985
ACH-000206,-0.7093984105016793
ACH-000207,-0.5053948648406184
ACH-000208,-0.33818478363716964
ACH-000210,-0.2508052610542223
ACH-000211,-0.6165171506838962
ACH-000215,-0.3706646257849399
ACH-000221,-0.9076949410065126
ACH-000222,-0.7639865750684014
ACH-000223,-0.666050912742189
ACH-000226,-0.7398885895817827
ACH-000227,-0.3372766824588516
ACH-000228,-0.7307391583867565
ACH-000231,-0.8564246445134391
ACH-000232,-0.6844095015908714
ACH-000233,-0.5399821185201678
ACH-000234,-0.8284945007642488
ACH-000235,-0.6226216981511803
ACH-000237,-0.5825554531271633
ACH-000238,-0.9330381563640447
ACH-000242,-0.12799936701233292
ACH-000243,-0.8185568521957028
ACH-000244,-0.5264000018563652
ACH-000246,-0.6593634577289496
ACH-000248,-0.8585013905830261
ACH-000250,-0.7657093621056527
ACH-000251,-1.1693250254824077
ACH-000252,-0.8449563812668992
ACH-000253,-0.7919155693199628
ACH-000255,-0.7593800886025628
ACH-000256,-0.7894543848228189
ACH-000257,-0.2401900689513084
ACH-000258,-0.646848517923486
ACH-000259,-0.6155043525712214
ACH-000260,-0.9138056292700396
ACH-000261,-0.5204537697509223
ACH-000262,-0.8991559215833146
ACH-000263,-0.1640919303221185
ACH-000264,-0.3481971604709065
ACH-000265,-0.6363267711343008
ACH-000266,-0.7396216409854346
ACH-000272,-0.5304697175960847
ACH-000274,-0.6949717132597115
ACH-000277,-0.7750004037348037
ACH-000278,-0.7074361992431556
ACH-000279,-0.5893652722000804
ACH-000280,-0.8371728832740429
ACH-000281,-0.8216324527633531
ACH-000288,-0.4412824161824381
ACH-000291,-0.8128459779897272
ACH-000293,-0.6015059485524232
ACH-000294,-1.4693619016135482
ACH-000295,-0.6584284388840423
ACH-000296,-0.383232930242695
ACH-000302,-0.6726813136429814
ACH-000304,-0.5252116892680436
ACH-000307,-0.8307529736693928
ACH-000308,-0.5214199742982256
ACH-000310,-0.4688522946539517
ACH-000311,-0.6025767582449282
ACH-000312,-0.7110276972458419
ACH-000315,-0.4521776145435236
ACH-000316,-0.857339510967436
ACH-000317,-0.4612439307386051
ACH-000318,-1.063441745693082
ACH-000319,-0.6749138547161307
ACH-000320,-0.6801130868798968
ACH-000322,-0.5062784444332233
ACH-000323,-0.7367827272661899
ACH-000324,-0.7821034605348623
ACH-000329,-0.5779284051612745
ACH-000330,-0.7186506610459208
ACH-000331,-0.7079365465181727
ACH-000332,-0.8682388360593345
ACH-000334,-0.7729036413808499
ACH-000335,-0.4363152042143618
ACH-000336,-0.6369033239007486
ACH-000337,-0.7330852991182829
ACH-000338,-0.7521177377278531
ACH-000339,-0.7422749894521723
ACH-000341,-0.3378551801353318
ACH-000348,-0.5638885564947739
ACH-000350,-0.8131665262059411
ACH-000352,-0.9077531751147896
ACH-000356,-0.7154102795330234
ACH-000361,-0.5266800637471483
ACH-000362,-0.7045880531702055
ACH-000363,-0.4880194455994926
ACH-000364,-0.6946399385302272
ACH-000365,-0.4964936955900781
ACH-000366,-0.5927184103338963
ACH-000368,-0.3790538372260049
ACH-000374,-0.3035824299446548
ACH-000375,-0.4219274869669104
ACH-000376,-0.6299867384840031
ACH-000381,-0.6943483426095399
ACH-000383,-0.5342396011900737
ACH-000387,-0.5674643654835019
ACH-000389,-0.7137035347083501
ACH-000390,-0.4672899766074889
ACH-000393,-0.5393793018900302
ACH-000395,-0.5010779303369067
ACH-000396,-0.6176302561961271
ACH-000397,-0.8027908017132571
ACH-000401,-0.7626023273348452
ACH-000402,-0.6470507192148965
ACH-000403,-0.6385053241237897
ACH-000404,-0.8057096671192538
ACH-000406,-0.7238859224122057
ACH-000407,-0.6946809793781549
ACH-000408,-0.9036634931716964
ACH-000410,-0.6351493199556629
ACH-000411,-0.6076446514783065
ACH-000414,-0.5331187669672159
ACH-000415,-0.6467867963390974
ACH-000416,-0.7238662159274022
ACH-000420,-0.671363722984106
ACH-000421,-0.7804773499222859
ACH-000424,-0.7256366925996481
ACH-000425,-0.5745290493542156
ACH-000426,-0.6559879049058748
