,HNRNPR (10236)
ACH-000004,-0.483783468932376
ACH-000005,-0.6610781526540984
ACH-000007,-0.30874719838246456
ACH-000009,-0.5348872974207538
ACH-000011,-0.6067081415300517
ACH-000012,-0.5910693530621257
ACH-000013,-0.3205179329575114
ACH-000014,-0.6426993970184298
ACH-000015,-0.4601414760264242
ACH-000017,-0.6173827991438787
ACH-000018,-0.3836572370106081
ACH-000019,-0.3545859036522183
ACH-000021,-0.5904263352346449
ACH-000022,-0.41862440093760384
ACH-000025,-0.3839681317975237
ACH-000028,-0.14331753434494562
ACH-000030,-0.4538472682153561
ACH-000035,-0.4272405586113661
ACH-000036,-0.13551252811795853
ACH-000037,-0.6005883509514677
ACH-000039,-0.4244700357516581
ACH-000040,-0.6603942160988082
ACH-000041,-0.471510915384615
ACH-000042,-0.45721947740479796
ACH-000045,-0.3781587539360336
ACH-000047,-0.42110920808284574
ACH-000052,-0.3905064426095775
ACH-000053,-0.4027898073862157
ACH-000054,-0.4374617006446408
ACH-000055,-0.676224356906908
ACH-000060,-0.5047931728930491
ACH-000067,-0.40514873642552096
ACH-000070,-0.15444086329368253
ACH-000075,-0.5135755068991995
ACH-000078,-0.5564649612247352
ACH-000082,-0.4071114730103728
ACH-000085,-0.5490266516394725
ACH-000086,-0.3370238822801514
ACH-000087,-0.21800981801383754
ACH-000092,-0.6254189866311992
ACH-000095,-0.4857722704707669
ACH-000097,-0.448102067366134
ACH-000098,-0.4004121494804763
ACH-000099,-0.5667947685333221
ACH-000108,-0.4250066045230817
ACH-000113,-0.5344114300982158
ACH-000116,-0.34377010277906395
ACH-000118,-0.4605022108645641
ACH-000120,-0.5474612581879277
ACH-000123,-0.5278666717880145
ACH-000127,-0.4387179220789133
ACH-000128,-0.4780012823476772
ACH-000132,-0.4434453524316645
ACH-000133,-0.3143430233306633
ACH-000137,-0.20529192932533896
ACH-000138,-0.4017974138468717
ACH-000142,-0.35907422443255466
ACH-000143,-0.4958387137591977
ACH-000146,-0.426756557128552
