,OASL (8638)
ACH-000004,-0.05072078154003536
ACH-000005,0.11711026234347638
ACH-000007,0.004418664143396684
ACH-000009,-0.09408390675203547
ACH-000011,0.019112283069615744
ACH-000012,-0.05220593845294864
ACH-000013,-0.02919415780077121
ACH-000014,0.0994034606285542
ACH-000015,-0.09813588831620093
ACH-000017,-0.1008805188051703
ACH-000018,-0.10187418678702664
ACH-000019,-0.17571457955874314
ACH-000021,-0.21577379128834911
ACH-000022,0.08849698353226687
ACH-000025,0.08088997801254402
ACH-000028,-0.04065994474684784
ACH-000030,0.011520344457694436
ACH-000035,0.04687591832014105
ACH-000036,-0.017948053426634598
ACH-000037,-0.0271713340089115
ACH-000039,-0.22110922876955366
ACH-000040,-0.09329260833953172
ACH-000041,-0.16757830243707564
ACH-000042,-0.10058295031925542
ACH-000045,-0.13996327840924594
ACH-000047,0.0016282174417733455
ACH-000052,-0.02021424946578388
ACH-000053,-0.0411965321833481
ACH-000054,0.05099148979056176
ACH-000055,-0.048213227670397464
ACH-000060,-0.10476416448837704
ACH-000067,-0.16100686257750305
ACH-000070,0.055350232729091606
ACH-000075,0.0736311564987815
ACH-000078,-0.08939234333461105
ACH-000082,-0.016132508281190578
ACH-000085,-0.09828096825664116
ACH-000086,-0.09551005222697943
ACH-000087,-0.02486425719137593
ACH-000092,-0.004987000943887389
ACH-000095,-0.045814758981746126
ACH-000097,-0.049635691089819405
ACH-000098,-0.08060374960871358
ACH-000099,-0.14829294271367552
ACH-000108,-0.06938857473306839
ACH-000113,-0.04455917011632477
ACH-000116,-0.0028734100436668924
ACH-000118,-0.11736414306970153
ACH-000120,-0.18125319502102916
ACH-000123,-0.06988857911035325
ACH-000127,-0.0360932173998254
ACH-000128,-0.04780416648974503
ACH-000132,0.02328802962427376
ACH-000133,-0.1475178733797798
ACH-000137,0.04525214850375911
ACH-000138,-0.016657103030796764
ACH-000142,0.13503726159258753
ACH-000143,-0.02937169530694231
ACH-000146,-0.05114556204149776
ACH-000148,0.021187256159162574
ACH-000150,-0.11250785567563587
ACH-000152,-0.11654875729885565
ACH-000153,-0.12211553687843706
ACH-000159,-0.027333920882172985
ACH-000160,-0.15795444492115698
ACH-000163,-0.15732313022372008
ACH-000167,-0.12602932634152803
ACH-000168,-0.15919809480651104
ACH-000169,-0.11846886014100848
ACH-000178,-0.02771032227820088
ACH-000183,-0.11494882564280062
ACH-000188,-0.08675874646917868
ACH-000189,-0.31620953539452545
ACH-000190,0.07732706290622768
ACH-000198,-0.00022184154029418883
ACH-000203,-0.4033626398943189
ACH-000204,0.024744393556307115
ACH-000206,-0.02119901196817353
ACH-000207,-0.03840702430849526
ACH-000208,-0.07021358832310354
ACH-000210,-0.2402228648576054
ACH-000211,-0.05144961598267278
ACH-000215,-0.05535354518198018
ACH-000221,0.032621146356642504
ACH-000222,-0.0984070894837976
ACH-000223,-0.15889467594527867
ACH-000226,0.019209153049829626
ACH-000227,-0.007805258010503449
ACH-000228,0.021512035305366658
ACH-000231,-0.16552420162572906
ACH-000232,0.007530951525193395
ACH-000233,-0.060364029542848224
ACH-000234,-0.07759499076518049
ACH-000235,-0.053134680788922216
ACH-000237,-0.07204985268536884
ACH-000238,-0.09443113189176468
ACH-000242,-0.2631906264527877
ACH-000243,-0.03150926448310207
ACH-000244,0.020744512525276586
ACH-000246,-0.009952682031466391
ACH-000248,-0.05977214276367573
ACH-000250,-0.1101386474682229
ACH-000251,-0.1395985513286477
ACH-000252,-0.33775742701831385
ACH-000253,-0.07780196250864542
ACH-000255,0.046896846457103715
ACH-000256,0.04711903115490576
ACH-000257,-0.09465401547038783
ACH-000258,-0.2329403574747583
ACH-000259,-0.09112800974650176
ACH-000260,-0.0952030704132135
ACH-000261,-0.034570724654201745
ACH-000262,-0.08285892697923676
ACH-000263,-0.1665170382816748
ACH-000264,0.012662195120520655
ACH-000265,-0.003415104378355209
ACH-000266,-0.109456164014152
ACH-000272,-0.07205510046957657
ACH-000274,-0.024743909429080075
ACH-000277,-0.20646380346576945
ACH-000278,-0.0382389930149124
ACH-000279,-0.0379022228293554
ACH-000280,-0.08305281315930144
ACH-000281,-0.14156246089445115
ACH-000288,-0.08001244593996129
ACH-000291,-0.07018271169066942
ACH-000293,0.12949192353082548
ACH-000294,-0.12230107412465804
ACH-000295,0.012050915332344784
ACH-000296,0.014531090820234625
ACH-000302,-0.12614330673628435
ACH-000304,-0.1576000116508937
ACH-000307,-0.04942520029577309
ACH-000308,-0.06627359611476064
ACH-000310,-0.011604849731742813
ACH-000311,0.02377301937609531
ACH-000312,-0.07360828487740148
ACH-000315,-0.12269128182568585
ACH-000316,-0.16398171691307906
ACH-000317,-0.03722388950780647
ACH-000318,-0.09137031597711216
ACH-000319,-0.020120901225677626
ACH-000320,-0.04861703378042345
ACH-000322,-0.11422540740540565
ACH-000323,-0.015692827175487874
ACH-000324,-0.1254766920337004
ACH-000329,-0.12662305767895224
ACH-000330,-0.10813980295485527
ACH-000331,-0.058933095456252624
ACH-000332,-0.06946803073583052
ACH-000334,-0.06711320491583615
ACH-000335,-0.10720619856101037
ACH-000336,-0.04010958048946173
ACH-000337,-0.3477108073396162
ACH-000338,-0.07510074355581202
ACH-000339,-0.05865012868623847
ACH-000341,-0.1626026537471783
ACH-000348,-0.08768650226543692
ACH-000350,-0.0920597167606609
ACH-000352,-0.0432285589764554
ACH-000356,-0.08155171101891942
ACH-000361,0.02093160502186184
ACH-000362,-0.0972116915606811
ACH-000363,-0.1466334526336549
ACH-000364,0.07668912423775258
ACH-000365,-0.056784078985796564
ACH-000366,-0.07589562048752295
ACH-000368,-0.1186782395137981
ACH-000374,0.001646194313030954
ACH-000375,-0.04091295478853105
ACH-000376,-0.05911602489093162
ACH-000381,-0.0019383359998961112
ACH-000383,-0.09204535926466348
ACH-000387,-0.12487044635516613
ACH-000389,0.071647907536842
ACH-000390,-0.005838999746109071
ACH-000393,-0.02063575952971751
ACH-000395,-0.0600089034205273
ACH-000396,0.14513162312573707
ACH-000397,-0.01902681939088098
