,BCL2A1 (597)
ACH-000004,-0.06874413566934068
ACH-000005,0.2338378122337079
ACH-000007,0.04140138074436764
ACH-000009,-0.2048712329571729
ACH-000011,-0.01209867526322662
ACH-000012,-0.1747564054934227
ACH-000013,-0.13092243791652042
ACH-000014,-0.2032895182756207
ACH-000015,-0.04798167077780479
ACH-000017,-0.13808238217572785
ACH-000018,0.12263295807629213
ACH-000019,-0.1213900847684107
ACH-000021,-0.03419632763225522
ACH-000022,0.0035045197590992784
ACH-000025,-0.286617712183467
ACH-000028,-0.0005867907675895051
ACH-000030,-0.08383692988805933
ACH-000035,-0.10405327446675794
ACH-000036,-0.1800550542806328
ACH-000037,-0.11897542689759695
ACH-000039,-0.02409359026600158
ACH-000040,-0.12046426152540672
ACH-000041,-0.026453604706547642
ACH-000042,-0.06679332073710602
ACH-000045,-0.0690343811604804
ACH-000047,-0.06714462037100437
ACH-000052,-0.05190981110508922
ACH-000053,0.01422511926750272
ACH-000054,-0.09178508499895248
ACH-000055,-0.14703002351629169
ACH-000060,-0.010529530599782459
ACH-000067,0.054900155280728634
ACH-000070,-0.1353171335810709
ACH-000075,-0.20521622719891555
ACH-000078,-0.0620736208059682
ACH-000082,-0.03607872327945598
ACH-000085,-0.05108014934127306
ACH-000086,-0.011408943280103423
ACH-000087,-0.21949940115906225
ACH-000092,-0.10583324045478627
ACH-000095,-0.05668223355943945
ACH-000097,-0.0947590248920418
ACH-000098,-0.18362577309345465
ACH-000099,-0.06845586144060772
ACH-000108,-0.17794631224874113
ACH-000113,-0.3014158155530872
ACH-000116,-0.06108122202714099
ACH-000118,0.03492404882171163
ACH-000120,0.13149174281138906
ACH-000123,-0.07159487253286435
ACH-000127,-0.07286128726909215
ACH-000128,-0.127347013475457
ACH-000132,-0.2410974309635609
ACH-000133,-0.22513820912381804
ACH-000137,-0.14274489843962215
ACH-000138,-0.05557006599336715
ACH-000142,-0.1227820839457932
ACH-000143,-0.05435825164364913
ACH-000146,-0.15201167768086726
ACH-000148,-0.11354852357233787
ACH-000150,-0.0957861328394344
ACH-000152,-0.11857800315591922
ACH-000153,-0.0001905623020631277
ACH-000159,-0.10213824751805324
ACH-000160,-0.1259497912722597
ACH-000163,-0.2088841737756344
ACH-000167,-0.2945894736723724
ACH-000168,-0.11723477293643275
ACH-000169,-0.021952085330950628
ACH-000178,-0.1293512535243013
ACH-000183,-0.2259842422178704
ACH-000188,0.0932849735010422
ACH-000189,-0.060946303203866
ACH-000190,-0.1793809692149629
ACH-000198,-0.09810572553382987
ACH-000203,-0.3392965722966655
ACH-000204,-0.20464326498621505
ACH-000206,-0.3727815150066645
ACH-000207,-0.12533841617605282
ACH-000208,-0.24014137552684325
ACH-000210,0.08571440651961143
ACH-000211,-0.08760757061281317
ACH-000215,0.023687905850738832
ACH-000221,-0.024937878881027643
ACH-000222,-0.1157636660542358
ACH-000223,-0.13097895274691446
ACH-000226,-0.13269602277869866
ACH-000227,-0.19800839906113935
ACH-000228,-0.09709965819241743
ACH-000231,-0.07618401632357459
ACH-000232,0.0009470852881469484
ACH-000233,-0.2979567560926341
ACH-000234,-0.06970091207978052
