,ISOC2 (79763)
ACH-000004,-0.23780341220832305
ACH-000005,-0.017850627211236925
ACH-000007,-0.2749284328058667
ACH-000009,-0.14906376540487545
ACH-000011,-0.015443493245828045
ACH-000012,-0.014156023059912232
ACH-000013,-0.20181382673244688
ACH-000014,-0.1916288604597961
ACH-000015,-0.234829980068932
ACH-000017,-0.08753552961817089
ACH-000018,-0.06819028364350263
ACH-000019,-0.16371486720601516
ACH-000021,-0.258485713430559
ACH-000022,-0.33364420289060354
ACH-000025,-0.22375299863953285
ACH-000028,-0.06342556021227558
ACH-000030,-0.3686969799571056
ACH-000035,-0.10574658995069064
ACH-000036,-0.2736870019176474
ACH-000037,0.008558441015781817
ACH-000039,-0.022081482397887552
ACH-000040,-0.07296428671473751
ACH-000041,-0.1257245307441234
ACH-000042,-0.0484551053901171
ACH-000045,-0.12502442102923694
ACH-000047,-0.15877301908825542
ACH-000052,-0.37892872732951577
ACH-000053,-0.15538507424238032
ACH-000054,-0.2493388518866901
ACH-000055,0.02591772749224441
ACH-000060,-0.013247818723424929
ACH-000067,-0.2256328167812529
ACH-000070,0.014370693735738009
ACH-000075,-0.31529467978241743
ACH-000078,-0.06639991065570193
ACH-000082,-0.03824386913752563
ACH-000085,-0.2392291289144967
ACH-000086,-0.22533768616152516
ACH-000087,-0.20581008424058525
ACH-000092,-0.19238511878219156
ACH-000095,-0.13947373678290131
ACH-000097,-0.01535370871408735
ACH-000098,-0.11528278600019586
ACH-000099,-0.21217602014991
ACH-000108,-0.1801030681075076
ACH-000113,-0.09045510839206587
ACH-000116,-0.14051327930873914
ACH-000118,-0.025307566807689516
ACH-000120,-0.12331299001954027
ACH-000123,-0.2536970429762373
ACH-000127,-0.1555871469823967
ACH-000128,-0.03402942712173078
ACH-000132,-0.12497139111583028
ACH-000133,-0.1981692644770005
ACH-000137,-0.1950113837867059
ACH-000138,-0.2391071027115137
ACH-000142,-0.17077344054615795
ACH-000143,-0.1238218331950985
ACH-000146,-0.02240678917991036
ACH-000148,-0.15927279216615264
ACH-000150,0.010147776212762841
ACH-000152,-0.10765067623528407
ACH-000153,-0.3064510109885165
ACH-000159,-0.17677333328907305
ACH-000160,-0.05337846251750993
ACH-000163,-0.2433353187046405
ACH-000167,0.04238152714741932
ACH-000168,0.01214349760268998
ACH-000169,0.0032324683224277673
ACH-000178,-0.16038188118654728
ACH-000183,0.04636936965775917
ACH-000188,-0.1534190409353758
ACH-000189,-0.14014123884446486
ACH-000190,-0.17710280749730614
ACH-000198,-0.19173700843762154
ACH-000203,0.23251820327889536
ACH-000204,-0.16050326929317954
ACH-000206,-0.038813956325161415
ACH-000207,-0.08299897390055727
ACH-000208,-0.17437308990839925
ACH-000210,0.1087283239709471
ACH-000211,-0.10016696047456272
ACH-000215,-0.12011576678815004
ACH-000221,-0.06763919836021187
ACH-000222,-0.2809851182732777
ACH-000223,-0.06417330900598896
ACH-000226,0.03163288064971808
ACH-000227,-0.15106389565861522
ACH-000228,-0.04662710532278177
ACH-000231,-0.08066579221716401
ACH-000232,-0.2917323326343015
ACH-000233,-0.1954076522484896
ACH-000234,-0.03629601247926946
ACH-000235,-0.1053520860070236
ACH-000237,-0.2398296984682418
ACH-000238,-0.12134729380543985
ACH-000242,-0.1144053286893612
ACH-000243,-0.06457884049419557
ACH-000244,-0.23795475109437525
ACH-000246,-0.15938882922452646
ACH-000248,0.0006192917034054562
ACH-000250,-0.22314030883143424
ACH-000251,-0.3040477740406951
ACH-000252,-0.1682099603195122
ACH-000253,-0.2671110026734845
ACH-000255,-0.13655990260106832
ACH-000256,-0.049106213442590266
ACH-000257,0.0014209321814665312
ACH-000258,-0.2713336070265927
ACH-000259,-0.05320575125569156
ACH-000260,-0.09616690661510503
ACH-000261,-0.16692406705749255
ACH-000262,-0.31434581507082937
ACH-000263,-0.059373239563589426
ACH-000264,-0.16100009593443462
ACH-000265,-0.2278255937425697
ACH-000266,-0.18482491416995367
ACH-000272,-0.10181575961559866
ACH-000274,-0.08316621079726096
ACH-000277,-0.17100215605355948
ACH-000278,-0.09128339022178926
ACH-000279,-0.03898233823872788
ACH-000280,-0.16061782113126216
ACH-000281,-0.12050561927542973
ACH-000288,-0.0195236617300461
ACH-000291,-0.14894513803302492
ACH-000293,-0.12343272909897353
ACH-000294,-0.07946073921188307
ACH-000295,-0.10099551745034432
ACH-000296,0.0024601715779209673
ACH-000302,-0.32024388471609494
ACH-000304,-0.1817579237866973
ACH-000307,-0.06722937801969853
ACH-000308,-0.13738209945419946
ACH-000310,-0.2521621007808229
ACH-000311,-0.12476426199113352
ACH-000312,-0.1402693991894896
ACH-000315,-0.2373731115982493
ACH-000316,-0.04969142650765405
ACH-000317,-0.0308180842966587
ACH-000318,-0.05993891273360795
ACH-000319,-0.032332462592810675
ACH-000320,-0.14389961046400376
ACH-000322,0.15428193042260355
ACH-000323,-0.20941306488702302
ACH-000324,-0.12369951307918413
ACH-000329,-0.1443036668845035
ACH-000330,-0.21792919821386356
ACH-000331,-0.12130657288746445
ACH-000332,-0.16154411219976286
ACH-000334,-0.15434283163533785
ACH-000335,-0.22217686192294547
ACH-000336,0.014324127207100575
ACH-000337,0.08744751874514119
ACH-000338,-0.5401576449985199
ACH-000339,-0.17261740677455553
ACH-000341,-0.33504326911701804
ACH-000348,-0.09872108364964187
ACH-000350,-0.1382396693748243
ACH-000352,-0.10340482761724934
ACH-000356,-0.2177489922136034
ACH-000361,-0.19380700724603311
ACH-000362,-0.11831114708413977
ACH-000363,-0.15329029671533387
ACH-000364,-0.07519887693340767
ACH-000365,-0.09726880487981206
ACH-000366,-0.17679744699038594
ACH-000368,-0.032013780068378885
ACH-000374,-0.09234181955696401
ACH-000375,-0.2557685788439342
ACH-000376,-0.11600235580053367
ACH-000381,-0.09090442978939202
ACH-000383,-0.09722188214576304
ACH-000387,0.031517767163747164
ACH-000389,-0.26483543968592554
ACH-000390,-0.17924702849874286
ACH-000393,-0.02109621782011188
ACH-000395,-0.2343569175540833
ACH-000396,-0.2806785350912492
ACH-000397,-0.14902016873001664
ACH-000401,-0.2404772175547777
ACH-000402,-0.0886303986966619
ACH-000403,-0.10932915871189863
ACH-000404,0.0031265354322282213
ACH-000406,-0.0926421893709978
ACH-000407,-0.04688021281567002
ACH-000408,-0.3374587806683953
ACH-000410,-0.2897950316860851
ACH-000411,-0.04150508296110606
ACH-000414,-0.10457882632657757
ACH-000415,-0.029133228939307133
ACH-000416,-0.16728115815288966
ACH-000420,-0.17705602388293154
ACH-000421,-0.07375648732200986
ACH-000424,-0.024028897634634547
ACH-000425,-0.2565947044208651
ACH-000426,0.2759347479613962
ACH-000427,-0.21749488186432614
ACH-000433,0.10143519761698294
ACH-000435,-0.1099900742632594
ACH-000436,0.1583211260504521
ACH-000444,-0.1184227755158013
ACH-000445,-0.1680146357530624
ACH-000448,-0.17088166486335304
ACH-000450,-0.10411949679219312
ACH-000452,-0.00231601473280108
ACH-000454,-0.08650165065734415
ACH-000458,0.019590005513809586
ACH-000459,-0.034918909092814684
ACH-000460,-0.2272168073243968
ACH-000461,0.04431213891462515
ACH-000463,-0.07716046688320577
ACH-000464,-0.014478847706738962
