,SFPQ (6421)
ACH-000004,-1.0990344075435527
ACH-000005,-1.5145636864901977
ACH-000007,-1.0420688906972333
ACH-000009,-1.1817105420560263
ACH-000011,-1.244080060614548
ACH-000012,-1.3436021630698924
ACH-000013,-1.237273215363106
ACH-000014,-1.3416029472230284
ACH-000015,-1.1703977933304963
ACH-000017,-1.593783472625056
ACH-000018,-0.9508329454717382
ACH-000019,-1.2247259710396108
ACH-000021,-1.2521705699760328
ACH-000022,-1.2686757594287512
ACH-000025,-1.1278832149820943
ACH-000028,-1.079781246295523
ACH-000030,-1.07173924280791
ACH-000035,-1.0490059077035387
ACH-000036,-0.9821825157108538
ACH-000037,-1.275065636939547
ACH-000039,-1.3750463074914647
ACH-000040,-1.0685432852137384
ACH-000041,-1.1534171778847329
ACH-000042,-1.2974503082548114
ACH-000045,-1.2927465356440209
ACH-000047,-1.1865771759770514
ACH-000052,-1.0009780915277984
ACH-000053,-1.162355262950929
ACH-000054,-1.1374753092061027
ACH-000055,-1.4465816667781175
ACH-000060,-1.476127837686538
ACH-000067,-1.0733125920174469
ACH-000070,-1.2620239614392732
ACH-000075,-1.2294126049297998
ACH-000078,-1.3822802120790805
ACH-000082,-1.2133951347505845
ACH-000085,-1.208019085126093
ACH-000086,-0.9113588340299988
ACH-000087,-1.1048767800094366
ACH-000092,-1.1111253513624282
ACH-000095,-1.2028019980532496
ACH-000097,-1.1059643291031582
ACH-000098,-1.1771449814311292
ACH-000099,-1.492427473218706
ACH-000108,-1.03063022134542
ACH-000113,-1.4002246176744877
ACH-000116,-1.3927773770822482
ACH-000118,-1.057535997473226
ACH-000120,-1.2656755772803414
ACH-000123,-1.2478854841369909
ACH-000127,-1.0947001451177265
ACH-000128,-1.1061044318454163
ACH-000132,-1.039065740646229
ACH-000133,-1.2435651291121104
ACH-000137,-1.077692908321492
ACH-000138,-1.339502738456053
ACH-000142,-1.005471216108302
ACH-000143,-1.2187339631044931
ACH-000146,-1.5940184966966835
ACH-000148,-1.1141597127003742
ACH-000150,-1.1839851714939469
ACH-000152,-0.7872641313933648
ACH-000153,-0.9081747189710709
ACH-000159,-1.1706683737609216
ACH-000160,-0.8053610495372617
ACH-000163,-1.0637158559349886
ACH-000167,-1.6615606014730335
ACH-000168,-1.0626561888103891
ACH-000169,-1.1635939461635214
ACH-000178,-1.1589866036821037
ACH-000183,-1.4985686422189877
ACH-000188,-1.3084699437004907
