,DACT3 (147906)
ACH-000004,-0.25451901732846305
ACH-000005,-0.35248664800240537
ACH-000007,-0.021804099432386155
ACH-000009,-0.2809535853146538
ACH-000011,-0.05619326009333071
ACH-000012,-0.24645069358113894
ACH-000013,-0.19593491960541728
ACH-000014,-0.1249274417095832
ACH-000015,-0.4296984780220656
ACH-000017,-0.3089258503881617
ACH-000018,-0.06441479556459527
ACH-000019,-0.0751145506500612
ACH-000021,-0.257671054396006
ACH-000022,-0.2961057439657184
ACH-000025,-0.03229699763178343
ACH-000028,-0.2460758406823388
ACH-000030,-0.20189117265658013
ACH-000035,-0.339468341810572
ACH-000036,-0.1467457067952171
ACH-000037,-0.3044122854115676
ACH-000039,-0.1413514987052077
ACH-000040,0.033620366399582644
ACH-000041,-0.2157185210082545
ACH-000042,-0.20473148505062053
ACH-000045,-0.08715432781694248
ACH-000047,-0.11914451873192206
ACH-000052,-0.20183797646008186
ACH-000053,-0.4127504085722263
ACH-000054,-0.3039498461016268
ACH-000055,-0.10338146154359916
ACH-000060,0.04669422907579585
ACH-000067,-0.287802148295101
ACH-000070,-0.08225456789460654
ACH-000075,-0.2474063261127137
ACH-000078,-0.2680076401937033
ACH-000082,-0.13738746774842256
ACH-000085,-0.3968088223652049
ACH-000086,-0.4527846996863411
ACH-000087,-0.2434877411462305
ACH-000092,-0.21137113668302868
ACH-000095,-0.2259183279709963
ACH-000097,-0.35909817100063146
ACH-000098,-0.3747842975787429
ACH-000099,-0.200460576434742
ACH-000108,-0.2524788837720281
ACH-000113,-0.2007712725975054
ACH-000116,-0.1686771403568163
ACH-000118,-0.22327989005317908
ACH-000120,-0.057222698577078575
ACH-000123,-0.1024955158850498
ACH-000127,-0.2114106253522212
ACH-000128,-0.0996525649636126
ACH-000132,-0.19427750274902053
ACH-000133,-0.13073376882194376
ACH-000137,-0.2630552804083753
ACH-000138,-0.2883116007671788
ACH-000142,-0.2700429846120511
ACH-000143,-0.21128814403245647
ACH-000146,-0.228277562770406
ACH-000148,-0.09386893475485616
ACH-000150,0.013621015330114974
ACH-000152,-0.27226605222648553
ACH-000153,-0.3654569584746512
ACH-000159,-0.2985918122545393
ACH-000160,-0.13663625811562086
ACH-000163,-0.1999581574554816
ACH-000167,-0.19809922178738806
ACH-000168,-0.3764750931876645
ACH-000169,-0.2324582883580429
ACH-000178,-0.22057141552559692
ACH-000183,-0.10632795513164467
ACH-000188,-0.19565867553337984
ACH-000189,-0.04512947124821949
ACH-000190,-0.3606281019269899
ACH-000198,-0.11889695300467246
ACH-000203,0.3151321907252748
ACH-000204,-0.35748545799579073
ACH-000206,-0.352130558994014
ACH-000207,-0.2264877984973349
ACH-000208,-0.4759044940747607
ACH-000210,-0.5343386372787245
ACH-000211,-0.2570389185419103
ACH-000215,-0.14922285050217318
ACH-000221,-0.4991228187518562
ACH-000222,-0.32630233613118603
ACH-000223,-0.09285356983215512
ACH-000226,-0.3194532206715377
ACH-000227,-0.07906187423333615
ACH-000228,-0.3275805543832929
ACH-000231,-0.20048092494145064
ACH-000232,-0.2004206198842657
ACH-000233,-0.2347257814500706
ACH-000234,-0.29015206279339395
ACH-000235,-0.2890738791336503
ACH-000237,-0.21798719014523324
ACH-000238,-0.2572006914582789
ACH-000242,-0.2813872896094779
ACH-000243,-0.16171516804635788
ACH-000244,-0.3249340334483173
ACH-000246,-0.2194046336700497
ACH-000248,-0.1776918623327729
