,SCN5A (6331)
ACH-000004,-0.2744263232158892
ACH-000005,-0.0226164676145796
ACH-000007,-0.007391016421132527
ACH-000009,-0.1382611613089434
ACH-000011,-0.07609569752448682
ACH-000012,-0.04723328164017925
ACH-000013,-0.007984335163763673
ACH-000014,-0.03231638225093506
ACH-000015,-0.1974233318738304
ACH-000017,-0.0934537089423033
ACH-000018,-0.22569585443853535
ACH-000019,0.06351192238571683
ACH-000021,-0.04985264019381387
ACH-000022,-0.16578927804226395
ACH-000025,-0.03662105246829208
ACH-000028,0.030463800298749694
ACH-000030,-0.025143710116523003
ACH-000035,-0.04645633721641019
ACH-000036,0.061710430197792224
ACH-000037,0.019177792053310317
ACH-000039,-0.02891693584785645
ACH-000040,0.04460431565302599
ACH-000041,0.04254053176290716
ACH-000042,-0.06930315890839647
ACH-000045,-0.06342198246882352
ACH-000047,-0.0070057988154107785
ACH-000052,0.030632928871445208
ACH-000053,-0.19023107493486488
ACH-000054,-0.09934251261104086
ACH-000055,-0.15011763278869547
ACH-000060,-0.061262242747525585
ACH-000067,-0.08903038023939959
ACH-000070,-0.2934838130068215
ACH-000075,0.08465184950072323
ACH-000078,-0.013015996652589464
ACH-000082,-0.05007800267251526
ACH-000085,-0.06608523851682457
ACH-000086,0.01326506639155925
ACH-000087,0.04633309564799956
ACH-000092,0.0023624225101520784
ACH-000095,-0.14804543054931807
ACH-000097,-0.10596518140218196
ACH-000098,-0.14602043309650128
ACH-000099,-0.032321302653923925
ACH-000108,-0.0943869590979218
ACH-000113,-0.03087726636888779
ACH-000116,-0.2317406310193457
ACH-000118,-0.0016387049239426528
ACH-000120,-0.08758564869704827
ACH-000123,-0.13422076593791848
ACH-000127,-0.13682900849565222
ACH-000128,-0.19138060891528505
ACH-000132,0.008333865365694339
ACH-000133,-0.12849663682936122
ACH-000137,-0.1659798474644426
ACH-000138,-0.16758204925578385
ACH-000142,0.011689701353171905
ACH-000143,-0.05468546648811151
ACH-000146,-0.1371577332739462
ACH-000148,-0.11316522023014472
ACH-000150,-0.26388288356751594
ACH-000152,-0.07813751537314256
ACH-000153,0.03341282175548376
ACH-000159,-0.2273431937785043
ACH-000160,-0.06653527715058248
ACH-000163,-0.16949784429936895
ACH-000167,-0.099368882246016
ACH-000168,-0.2073337267678455
ACH-000169,-0.2321693155608717
ACH-000178,-0.14637497920048007
ACH-000183,-0.050035817294633966
ACH-000188,-0.04259451826817623
ACH-000189,-0.30548982966603183
ACH-000190,-0.020965737749204117
ACH-000198,-0.08178848919844195
ACH-000203,-0.2240065626790061
ACH-000204,-0.1030945673892937
ACH-000206,-0.13633406705481654
ACH-000207,-0.14708342190106474
ACH-000208,-0.023750804641894
ACH-000210,-0.06115036752795815
ACH-000211,-0.059731759905984415
ACH-000215,-0.10024545995073578
ACH-000221,-0.14758617162812868
ACH-000222,-0.19704992003933744
ACH-000223,-0.16558882730973906
ACH-000226,-0.11583226723346696
ACH-000227,-0.0977002767923346
ACH-000228,-0.14659552962486533
ACH-000231,-0.14727998205619147
ACH-000232,-0.11977073075031702
ACH-000233,-0.029963425630729436
ACH-000234,-0.12156037413570192
ACH-000235,-0.09618172162880813
ACH-000237,-0.045481776137673534
ACH-000238,-0.1003983616382304
ACH-000242,-0.09443786954981566
ACH-000243,-0.11042139722356034
ACH-000244,-0.10002747388193726
ACH-000246,-0.25159598011568324
ACH-000248,-0.025687514808810083
ACH-000250,-0.027563275927605702
ACH-000251,-0.146115238921905
ACH-000252,0.05538895211616411
ACH-000253,-0.05104904971602847
ACH-000255,-0.1802892119656039
ACH-000256,-0.11866532851569205
ACH-000257,-0.004125838966742885
ACH-000258,0.007321836480471395
ACH-000259,-0.21394702821779296
ACH-000260,-0.03429128137115323
ACH-000261,-0.08646417201331279
ACH-000262,-0.08279713403710312
ACH-000263,-0.3780169781259812
ACH-000264,-0.08528811201689203
ACH-000265,-0.1818350175592086
ACH-000266,-0.10800832422752064
ACH-000272,-0.034864890664610675
ACH-000274,-0.1083090090580493
ACH-000277,-0.0981449884860071
ACH-000278,-0.0757127898070005
ACH-000279,-0.19147505464581804
ACH-000280,0.01493874771711748
ACH-000281,-0.1829929798912304
ACH-000288,-0.07151584924886495
ACH-000291,-0.1344353408965831
ACH-000293,-0.06499740798584007
ACH-000294,-0.0621552446175563
ACH-000295,-0.21923018912523595
ACH-000296,-0.025306377875441214
ACH-000302,-0.12147115751183515
ACH-000304,-0.26872228749503074
ACH-000307,-0.17924011552007266
ACH-000308,-0.07280465902279061
ACH-000310,-0.13529292780415747
ACH-000311,-0.10995041226971444
ACH-000312,0.06682291793426938
ACH-000315,-0.20246500909335333
ACH-000316,-0.06417305380009497
ACH-000317,-0.035229892645546386
ACH-000318,-0.038137209190476515
ACH-000319,-0.16129519883366775
ACH-000320,0.05860628764167651
ACH-000322,0.007769359913123981
ACH-000323,-0.15290572991219006
ACH-000324,-0.1742215791685159
ACH-000329,-0.10098532446509044
ACH-000330,-0.16751873338976547
ACH-000331,-0.19294818385958212
ACH-000332,-0.1810220993130944
ACH-000334,-0.09287361115350164
ACH-000335,-0.032408497852872
