,KATNB1 (10300)
ACH-000004,-0.250879513028772
ACH-000005,-0.29999829276110873
ACH-000007,-0.753715007187514
ACH-000009,-0.6065599336261644
ACH-000011,-0.9837254943473478
ACH-000012,-0.4356607198576525
ACH-000013,-0.5170978902677232
ACH-000014,-0.9723773440112254
ACH-000015,-0.057722883784785226
ACH-000017,-0.8114010860452079
ACH-000018,-0.6033999968693465
ACH-000019,-0.4198141449401929
ACH-000021,-0.36422948541221023
ACH-000022,-0.9645829658562876
ACH-000025,-0.4054978775882904
ACH-000028,-0.6079665089749058
ACH-000030,-0.4702651424999249
ACH-000035,-0.4371054309091198
ACH-000036,-0.6941417432811521
ACH-000037,-0.2842800891353888
ACH-000039,-0.24130368640446276
ACH-000040,-0.09932966116826576
ACH-000041,-0.4545375659466955
ACH-000042,-0.4452615258176604
ACH-000045,-0.5266311696756879
ACH-000047,-0.2265139256157508
ACH-000052,-0.9569313288292584
ACH-000053,-0.07965540221729643
ACH-000054,-0.21546072676051
ACH-000055,-0.6425966194114184
ACH-000060,-0.7372118947339057
ACH-000067,-0.3610111270243095
ACH-000070,-0.5199788601949105
ACH-000075,-0.2410741901217409
ACH-000078,-0.4964135284242112
ACH-000082,-0.43361538481883904
ACH-000085,-0.1795507954104747
ACH-000086,-0.4144896919251488
ACH-000087,-0.2172815170465322
ACH-000092,-0.459061506971539
ACH-000095,-0.5296168583690524
ACH-000097,-0.4208953621478344
ACH-000098,-0.6657944227671866
ACH-000099,-0.3194456127098262
ACH-000108,-0.06418931100602045
ACH-000113,-0.7899091057976484
ACH-000116,-0.7053854106169429
ACH-000118,-0.2244340397041502
ACH-000120,-0.6438706183767773
ACH-000123,-0.19490486419920508
ACH-000127,-1.1368354363250728
ACH-000128,-0.21670687455976465
ACH-000132,-0.500576836820968
ACH-000133,-0.806545306859801
ACH-000137,-0.4118285051117355
ACH-000138,-0.5369942967499564
ACH-000142,-0.8569746771284659
ACH-000143,-0.4749254145444077
ACH-000146,-0.5250272990373136
ACH-000148,-0.41305288250389904
ACH-000150,-0.3617720085967134
ACH-000152,-0.2766779489225429
ACH-000153,-0.4944324427025367
ACH-000159,-0.3322786312181004
ACH-000160,-0.20875369841351304
ACH-000163,-0.22181769478774493
ACH-000167,-0.3301133331082984
ACH-000168,-0.2282465054648955
ACH-000169,-0.2970183182028062
ACH-000178,-0.4943386581522979
ACH-000183,-0.3786285798267033
ACH-000188,-0.5460943102373738
ACH-000189,-0.4247333841015287
ACH-000190,-0.3001015894222634
ACH-000198,-0.07033454514141843
ACH-000203,-0.21514311092225244
ACH-000204,-0.1295271755834051
ACH-000206,-0.4616990871850856
ACH-000207,-0.21694023266622656
ACH-000208,-0.3145788906077824
ACH-000210,-0.4192564681249384
ACH-000211,-0.887796183676805
ACH-000215,-0.5133684376305174
ACH-000221,-0.3099777312279189
ACH-000222,-0.6251601616884547
ACH-000223,-0.4305462716412108
ACH-000226,-0.4672137381855699
ACH-000227,-0.3082558668707172
ACH-000228,-0.3699062873004889
ACH-000231,-0.4147311344305808
ACH-000232,-0.6234384187726627
ACH-000233,-0.4590845918704314
ACH-000234,-0.6916000954665891
ACH-000235,-0.3048314934280529
ACH-000237,-0.6230989054779333
ACH-000238,-0.6763214791647622
ACH-000242,-0.6257759696605402
ACH-000243,-0.4207378250280259
ACH-000244,-0.7154626937391305
ACH-000246,-0.5347255760398324
ACH-000248,-1.0026678123055863
ACH-000250,-0.7975814627407284
ACH-000251,-0.5834120927120893
ACH-000252,-0.5336014567135071
ACH-000253,-0.2877741307418397
ACH-000255,-0.2718489382516522
ACH-000256,-0.5984706185873298
ACH-000257,-0.6446424659526369
ACH-000258,-1.0056755705991005
ACH-000259,-0.2686983296988183
ACH-000260,-0.22530088872654214
ACH-000261,-0.4502987247057283
ACH-000262,-0.8835693538010991
ACH-000263,-0.4387038597284357
ACH-000264,-0.3482588469519325
ACH-000265,-0.3447347658239585
ACH-000266,-0.31701241237620964
ACH-000272,-0.6392760727080414
ACH-000274,-0.3901960768500186
ACH-000277,-0.33343441644670285
ACH-000278,-0.6782811128501802
ACH-000279,-0.2253413048230137
ACH-000280,-0.8133693283635637
ACH-000281,-0.9665577858145624
ACH-000288,-0.4274689632555268
ACH-000291,-0.504178749770713
ACH-000293,-0.8057546232062667
ACH-000294,-1.0325795960065578
ACH-000295,-0.1857839845094162
ACH-000296,-0.4771401126032571
ACH-000302,-0.4685402145815621
ACH-000304,-0.2741845401598433
ACH-000307,-0.16708765263752728
ACH-000308,-0.3216312976558505
ACH-000310,-0.18944278935802256
ACH-000311,-0.2734888674022087
ACH-000312,-0.3748134242064869
ACH-000315,-0.5110858255623361
ACH-000316,-0.6165691865722449
ACH-000317,-0.4326014355034242
ACH-000318,-0.5304895429949525
ACH-000319,-0.6377290035355696
ACH-000320,-0.7835418754671922
ACH-000322,-0.537906459823587
ACH-000323,-0.3548280878395298
ACH-000324,-0.3977139811896291
ACH-000329,-0.4217770633718058
ACH-000330,-0.2807070662652633
ACH-000331,-0.4239083630060947
ACH-000332,-0.603214396978849
ACH-000334,-0.17667649741400795
ACH-000335,-0.4379607646743861
ACH-000336,-0.6929589663622635
ACH-000337,-0.5824708147100014
ACH-000338,-0.2543791321174182
ACH-000339,-0.6124749888497868
ACH-000341,-0.6587402274942927
ACH-000348,-0.5448915271938595
ACH-000350,-0.22458364136139894
ACH-000352,-0.28673037064071005
ACH-000356,-0.5259705823131738
ACH-000361,-0.3034504639157336
ACH-000362,-0.4043048230569026
ACH-000363,-0.1928292744349068
ACH-000364,-0.4956757515866387
ACH-000365,-0.5460809480231748
ACH-000366,-0.4446384525033388
ACH-000368,-0.5600860773434597
ACH-000374,0.05405723916331793
ACH-000375,-0.1871812672769289
ACH-000376,-0.417142757161712
ACH-000381,-0.7143658470688174
ACH-000383,-0.3265941946901675
ACH-000387,-0.13373139516675425
ACH-000389,-0.6606943433914954
ACH-000390,-0.4783476521406802
ACH-000393,-0.3885513118726159
ACH-000395,-0.6704247082895141
ACH-000396,-0.5399469173056801
ACH-000397,-0.6237136253713128
ACH-000401,-0.624505855622438
ACH-000402,-0.3711392041894353
ACH-000403,-0.4277195969044324
ACH-000404,-0.02675281206593948
ACH-000406,-0.9130096331066916
ACH-000407,-0.4230460362941539
ACH-000408,-0.8419545154488781
ACH-000410,-0.2170372184469054
ACH-000411,-0.4303898031577999
ACH-000414,-0.5909535780298202
ACH-000415,-0.5661162614771972
ACH-000416,-0.5816948295070983
ACH-000420,-0.6008665669804607
ACH-000421,-0.3541469241126115
ACH-000424,-0.2964859638271544
ACH-000425,-0.6065071834772319
ACH-000426,-0.5533945084836852
ACH-000427,-0.5117125957762817
ACH-000433,-0.3717627056409539
ACH-000435,-0.5101081594268452
ACH-000436,-0.588480161368468
ACH-000444,-0.4469046686384533
ACH-000445,-0.7552579188043831
ACH-000448,-0.6182845591931643
ACH-000450,-0.5220696923903211
ACH-000452,-0.3189221682513541
ACH-000454,-0.7906497422333968
ACH-000458,-0.9890765448207214
ACH-000459,-0.5685755966288075
ACH-000460,-0.7887038388349621
ACH-000461,-0.4235976116408615
ACH-000463,-0.4212604341175887
ACH-000464,-0.4225353046776241
ACH-000466,-0.16805926853410322
