,DCAKD (79877)
ACH-000004,-0.30798951232050803
ACH-000005,-0.3197073042428793
ACH-000007,-0.1065155011448947
ACH-000009,-0.2569366527552586
ACH-000011,-0.1413529123452444
ACH-000012,-0.30430001098426185
ACH-000013,-0.2027696687399099
ACH-000014,-0.23688957500828206
ACH-000015,-0.1042024521104791
ACH-000017,-0.17738717508282484
ACH-000018,-0.07708809768515493
ACH-000019,-0.11488118874718888
ACH-000021,-0.08229405680625285
ACH-000022,-0.15564921620426886
ACH-000025,-0.11995785249100738
ACH-000028,-0.22206793103002292
ACH-000030,-0.19344294297580264
ACH-000035,-0.14277556313810505
ACH-000036,-0.10979341165382003
ACH-000037,-0.2527533570080018
ACH-000039,-0.17774662768751914
ACH-000040,-0.03571052031310057
ACH-000041,-0.31840773534273803
ACH-000042,-0.2721874559596962
ACH-000045,-0.21808226134850064
ACH-000047,-0.09495823961416076
ACH-000052,-0.2540525327738896
ACH-000053,-0.14355792638711115
ACH-000054,-0.1228036205136585
ACH-000055,-0.12015189746171548
ACH-000060,-0.2862991277955453
ACH-000067,-0.1251229469203956
ACH-000070,-0.0192864547422547
ACH-000075,-0.42316030981502295
ACH-000078,-0.09748867055084644
ACH-000082,-0.14677439724218058
ACH-000085,-0.18683391614893693
ACH-000086,-0.15071091130316122
ACH-000087,-0.11294640052626387
ACH-000092,-0.13617376475928952
ACH-000095,-0.2740832616171596
ACH-000097,-0.16301602113412494
ACH-000098,-0.19548605558119728
ACH-000099,-0.18938047503891325
ACH-000108,-0.11982325878048518
ACH-000113,-0.08857487611019166
ACH-000116,-0.2440927237657809
ACH-000118,-0.1507253035870391
ACH-000120,-0.3074462173190095
ACH-000123,-0.2288595818761985
ACH-000127,-0.14888233830461048
ACH-000128,-0.15013700951389025
ACH-000132,-0.15335205189686915
ACH-000133,-0.15175048980234573
ACH-000137,-0.21730898651603248
ACH-000138,-0.33061067327364185
ACH-000142,-0.1508713653214919
ACH-000143,-0.19439244073931566
ACH-000146,-0.1161374773229572
ACH-000148,-0.2848817679579208
ACH-000150,-0.25855707701184144
ACH-000152,-0.24105496239243585
ACH-000153,-0.006706990355804339
ACH-000159,-0.21640730946412315
ACH-000160,-0.1140067890916515
ACH-000163,-0.2387688416609037
ACH-000167,-0.08012860145844555
ACH-000168,-0.1972658076790224
ACH-000169,-0.17203832259245866
ACH-000178,-0.08463440867550401
ACH-000183,-0.1706452417450434
ACH-000188,-0.27191386643214016
ACH-000189,-0.20847704517918045
ACH-000190,-0.29355617056132144
ACH-000198,-0.20973309916654925
ACH-000203,-0.2707081251008047
ACH-000204,-0.15987263391374
ACH-000206,-0.16935400883983925
ACH-000207,-0.09769311002481557
ACH-000208,-0.5113112170785226
ACH-000210,0.07996348643615428
ACH-000211,-0.26151157960537474
ACH-000215,-0.2255264357935828
ACH-000221,-0.18257050871488906
ACH-000222,-0.09679518473456487
ACH-000223,-0.10051800275694622
ACH-000226,-0.03008022528974044
ACH-000227,-0.2314351100523447
ACH-000228,-0.38793026374252665
ACH-000231,-0.1599161371743462
ACH-000232,-0.007321316265921885
ACH-000233,-0.1307794474687901
ACH-000234,-0.2375699269009082
ACH-000235,-0.2103420355475487
ACH-000237,-0.0968402024417122
ACH-000238,-0.17341016072289647
ACH-000242,-0.03964870523241057
ACH-000243,-0.19012764038852087
ACH-000244,-0.3261082508717612
ACH-000246,-0.14537894781972888
ACH-000248,-0.2113963408641066
ACH-000250,-0.22269897154820048
ACH-000251,-0.0664105111588109
ACH-000252,-0.2345731921028555
ACH-000253,-0.27108597062432793
ACH-000255,-0.13997086761908378
ACH-000256,-0.2377252032105325
ACH-000257,-0.14812134012801806
ACH-000258,-0.036035052719469066
ACH-000259,-0.2460687166875501
ACH-000260,-0.1906119434965996
ACH-000261,-0.14370745095494694
ACH-000262,-0.16606580934688678
ACH-000263,-0.028847901590812963
ACH-000264,-0.2041343335155984
ACH-000265,-0.1566888070019597
ACH-000266,-0.1746750497748597
ACH-000272,-0.17078688055625088
ACH-000274,-0.15518624011166054
