,LRRC37A (9884)
ACH-000004,-0.1090356087038428
ACH-000005,-0.4950881139095479
ACH-000007,-0.3434887446717619
ACH-000009,-0.2727648663426692
ACH-000011,-0.11147196897888917
ACH-000012,-0.2341866580491572
ACH-000013,-0.2748087588812569
ACH-000014,-0.08270965159602572
ACH-000015,-0.12947658808587706
ACH-000017,-0.16048405060947146
ACH-000018,-0.19570162130669086
ACH-000019,0.016727661583929385
ACH-000021,-0.25867776660590985
ACH-000022,-0.2318392032912649
ACH-000025,-0.14523917539890227
ACH-000028,-0.1067538943010061
ACH-000030,-0.18567474374183265
ACH-000035,-0.06123854655654375
ACH-000036,-0.48632569458649894
ACH-000037,-0.3186625452012186
ACH-000039,-0.3327494347928685
ACH-000040,-0.16436000261186834
ACH-000041,-0.26999251983349243
ACH-000042,-0.22289875070585455
ACH-000045,-0.04607557886891335
ACH-000047,0.09314869908271524
ACH-000052,-0.16817678177572182
ACH-000053,-0.11281501265914247
ACH-000054,-0.2218452647391442
ACH-000055,-0.2244869075047766
ACH-000060,-0.057558413823827086
ACH-000067,-0.33329479515828936
ACH-000070,-0.28331310717626274
ACH-000075,-0.06121787013875884
ACH-000078,-0.1520620547365526
ACH-000082,-0.09501922501084237
ACH-000085,-0.08307183442718419
ACH-000086,-0.15548255289419705
ACH-000087,0.12094028513496448
ACH-000092,-0.2587105151429168
ACH-000095,-0.23718877857638554
ACH-000097,-0.2677435217706454
ACH-000098,-0.2357280471334189
ACH-000099,-0.14782442926897302
ACH-000108,-0.21201605390318054
ACH-000113,-0.1064027676870546
ACH-000116,-0.1421910539983003
ACH-000118,-0.11969402549231915
ACH-000120,-0.13122076814897646
ACH-000123,-0.09302181386589074
ACH-000127,-0.03446540829892381
ACH-000128,-0.03238312709733949
ACH-000132,-0.19751470741973245
ACH-000133,-0.19818227870256624
ACH-000137,-0.2258758271526061
ACH-000138,-0.16119975611246906
ACH-000142,-0.21533230831495456
ACH-000143,-0.40202932969349897
ACH-000146,-0.14531598851975472
ACH-000148,-0.17730021375543922
ACH-000150,-0.09853905072731918
ACH-000152,-0.3601373654663898
ACH-000153,-0.18505253671048344
ACH-000159,0.043173550254857085
ACH-000160,-0.20109673230302172
ACH-000163,-0.30430173876784233
ACH-000167,-0.2359455927965985
ACH-000168,-0.13334542382406006
ACH-000169,-0.21835255943045528
