,GYLTL1B (120071)
ACH-000004,-0.01854729527219576
ACH-000005,0.012961907109848144
ACH-000007,0.010610293818642636
ACH-000009,0.0013667084739960485
ACH-000011,-0.08371038373153178
ACH-000012,-0.14492549379930228
ACH-000013,-0.12879796571685762
ACH-000014,-0.21766110096663216
ACH-000015,0.007497321367584958
ACH-000017,0.0067711576649799226
ACH-000018,-0.054493961951909003
ACH-000019,-0.1301265475358759
ACH-000021,-0.1201244622269408
ACH-000022,-0.09948153938180927
ACH-000025,-0.18695286442902914
ACH-000028,-0.13487684038039574
ACH-000030,-0.2132787955887003
ACH-000035,-0.3233359809122143
ACH-000036,-0.03706530738455635
ACH-000037,-0.08016170680585112
ACH-000039,-0.013306618285067993
ACH-000040,-0.16202392520155706
ACH-000041,-0.2248976833018687
ACH-000042,-0.21599189893492896
ACH-000045,-0.09724701996846384
ACH-000047,-0.17291498870963787
ACH-000052,-0.04703287288538821
ACH-000053,-0.12049810564420715
ACH-000054,-0.05921655034133948
ACH-000055,-0.2156835555117076
ACH-000060,-0.10792953028018223
ACH-000067,0.007919493751903567
ACH-000070,-0.1510466842662376
ACH-000075,-0.20698874942094925
ACH-000078,-0.21106173560114302
ACH-000082,-0.02949143284276667
ACH-000085,-0.14006088132924688
ACH-000086,-0.018948846448840977
ACH-000087,0.1060184629227538
ACH-000092,-0.05616154299061033
ACH-000095,-0.18186602213376926
ACH-000097,-0.1829584594225746
ACH-000098,-0.06767057665489018
ACH-000099,-0.1427837177943216
ACH-000108,-0.09676570251405944
ACH-000113,-0.06740358543139299
ACH-000116,-0.23156487756276856
ACH-000118,-0.04682537373924786
ACH-000120,-0.07580837280235593
ACH-000123,-0.13699029226856646
ACH-000127,0.029440597092194563
ACH-000128,-0.20385527019997648
ACH-000132,-0.03866978800551494
ACH-000133,-0.19444569758800428
ACH-000137,-0.17162663336199646
ACH-000138,-0.16047790847426005
ACH-000142,0.007605194107960788
ACH-000143,-0.11342215231365188
ACH-000146,-0.09421311356831548
ACH-000148,-0.2639365253963645
ACH-000150,-0.17881030399240466
ACH-000152,-0.03710691807925711
ACH-000153,-0.08759034458951746
ACH-000159,-0.1342295948723638
ACH-000160,-0.0326844145527585
ACH-000163,-0.13895219677500642
ACH-000167,-0.1560547266552534
ACH-000168,0.04416601073837288
ACH-000169,0.07117926828374585
ACH-000178,-0.1074715105970548
ACH-000183,-0.14939131225904445
ACH-000188,0.08085784233218163
ACH-000189,-0.4222935939455504
ACH-000190,0.007185975487707393
ACH-000198,-0.1907811421578132
ACH-000203,-0.31991339632603416
ACH-000204,-0.13522532784841745
ACH-000206,0.04066646113379215
ACH-000207,-0.19064391223471536
ACH-000208,-0.04066276266275108
ACH-000210,0.11491076892486472
ACH-000211,-0.0892743188158223
ACH-000215,-0.1034835591795702
ACH-000221,-0.21682259031694134
ACH-000222,-0.024308134905583114
ACH-000223,-0.0937274048203308
ACH-000226,-0.19000112804302327
ACH-000227,-0.08254429033090054
ACH-000228,0.14510919263422795
ACH-000231,-0.14071261574458155
ACH-000232,-0.15604011258265166
ACH-000233,-0.03442683035247311
ACH-000234,-0.13345913596328518
ACH-000235,-0.1343519121691487
ACH-000237,-0.1755448648601157
ACH-000238,-0.10463566459401727
ACH-000242,0.032178237666665874
ACH-000243,-0.07098369634425004
ACH-000244,-0.143069105145481
ACH-000246,-0.06576391421979368
ACH-000248,-0.024454000896241845
ACH-000250,-0.09833862543364807
ACH-000251,0.14027781825786256
ACH-000252,-0.05233787690738999
ACH-000253,-0.006199568841658586
ACH-000255,-0.24415685690653485
ACH-000256,-0.16484836450855234
ACH-000257,-0.13051825461263947
ACH-000258,-0.1610778860355198
ACH-000259,-0.0602890845239852
ACH-000260,-0.19471847862493816
ACH-000261,-0.12411129245358568
ACH-000262,0.062205230696976525
ACH-000263,-0.13127367181946384
ACH-000264,-0.2342270831591575
ACH-000265,-0.23297702065207904
ACH-000266,-0.03581305085060986
ACH-000272,-0.11640215994519038
ACH-000274,-0.14536393112550547
ACH-000277,-0.189244791883947
ACH-000278,-0.22395481739210069
ACH-000279,-0.004004060666099072
ACH-000280,0.04698655984646547
ACH-000281,-0.0145932707921489
ACH-000288,-0.16066299721315525
ACH-000291,-0.1174333508257844
ACH-000293,-0.10741588619862656
ACH-000294,-0.00888384279633841
ACH-000295,-0.13096517293357882
ACH-000296,-0.30434256073811905
ACH-000302,-0.08105496274435171
ACH-000304,0.0366950723065026
ACH-000307,-0.08787732038492922
ACH-000308,-0.22528422743516996
ACH-000310,-0.2139105466771198
ACH-000311,-0.0484113382301703
ACH-000312,0.09128961814959488
ACH-000315,-0.15442581361568605
ACH-000316,-0.04365648180208122
ACH-000317,-0.08280348029927473
ACH-000318,-0.02970437235804425
ACH-000319,-0.1765142270573532
ACH-000320,-0.069788002263043
ACH-000322,-0.08727660377477263
ACH-000323,-0.1325586724711639
ACH-000324,-0.045292307149058735
ACH-000329,-0.09875292590910474
ACH-000330,-0.08201555196205215
ACH-000331,-0.011780623818077708
ACH-000332,-0.08839238986139658
ACH-000334,-0.30838479440884303
ACH-000335,-0.09227316812059444
ACH-000336,-0.14939717685223164
ACH-000337,-0.07695325057966422
ACH-000338,0.16870771653431985
ACH-000339,-0.1499129062519897
ACH-000341,-0.3213949192584113
ACH-000348,-0.048887222059325566
ACH-000350,-0.20886437831158103
ACH-000352,-0.13547537542145688
ACH-000356,-0.14238986583683616
ACH-000361,-0.05206670952321469
ACH-000362,-0.2332069753890012
ACH-000363,-0.1005426054787674
ACH-000364,-0.028425359651860643
ACH-000365,-0.06627632173859019
ACH-000366,-0.02106150619437128
ACH-000368,-0.12379492270723065
ACH-000374,-0.24062842567181175
ACH-000375,-0.06774138312308851
