,KATNA1 (11104)
ACH-000004,0.0073507913662717765
ACH-000005,-0.2263106203569001
ACH-000007,-0.27341206865610584
ACH-000009,-0.3966364377167599
ACH-000011,-0.0400881375062296
ACH-000012,-0.10634518728525688
ACH-000013,-0.33492615436839945
ACH-000014,-0.027531811075076462
ACH-000015,0.03031173778927017
ACH-000017,-0.3829770438846558
ACH-000018,-0.13977475862687316
ACH-000019,-0.2370583375887823
ACH-000021,-0.37728191014504747
ACH-000022,-0.4674410128764672
ACH-000025,-0.043009544394362303
ACH-000028,-0.5642806983613745
ACH-000030,-0.14053193993429094
ACH-000035,-0.04591291081755742
ACH-000036,-0.12778633323269328
ACH-000037,-0.07964042084294884
ACH-000039,0.05772107539348487
ACH-000040,-0.1642760279598087
ACH-000041,-0.01913554921057441
ACH-000042,-0.13977756601721975
ACH-000045,-0.07375097511015123
ACH-000047,0.01237710768399413
ACH-000052,0.11161774645733033
ACH-000053,-0.029164105909574963
ACH-000054,-0.14232603622604986
ACH-000055,-0.16727262979797802
ACH-000060,-0.20181360523409134
ACH-000067,-0.1791433096535947
ACH-000070,-0.05241906581599375
ACH-000075,-0.1451685325472658
ACH-000078,-0.014841014439162603
ACH-000082,-0.16764650182789725
ACH-000085,0.03148357364593951
ACH-000086,0.057579744766060086
ACH-000087,-0.04102666126091868
ACH-000092,-0.07547841144192913
ACH-000095,-0.02012669435353909
ACH-000097,-0.013844240561563378
ACH-000098,-0.12058570205030662
ACH-000099,-0.1079186084068058
ACH-000108,-0.09638078308525637
ACH-000113,-0.15227503676551032
ACH-000116,-0.1815560618925303
ACH-000118,-0.024391952588874603
ACH-000120,-0.10317843635901837
ACH-000123,0.025717857121277474
ACH-000127,-0.2570548448080637
ACH-000128,-0.14435347229633982
ACH-000132,-0.11502548415320295
ACH-000133,-0.059484975008225124
ACH-000137,-0.028308767219244125
ACH-000138,-0.1388962641400917
ACH-000142,-0.2254385330794869
ACH-000143,-0.052925499013975065
ACH-000146,-0.2824410878714877
ACH-000148,-0.04311997773162126
ACH-000150,-0.09431538226421383
ACH-000152,-0.10033787436931044
ACH-000153,0.13110774005688755
ACH-000159,-0.06793229301395005
ACH-000160,-0.19078738620320074
ACH-000163,0.029061436371788558
ACH-000167,-0.12338150627270594
ACH-000168,-0.18088528311057567
ACH-000169,-0.027870135409276325
ACH-000178,-0.012912460831893085
ACH-000183,-0.008501504698039406
ACH-000188,-0.08691395141468962
ACH-000189,0.10024863008924112
ACH-000190,-0.1116384980226361
ACH-000198,-0.092120490372949
ACH-000203,-0.4722435063547032
ACH-000204,-0.035890336756097464
ACH-000206,0.08656442666252158
ACH-000207,-0.13623290476451286
ACH-000208,0.01633195989861655
ACH-000210,0.04622292459044231
ACH-000211,-0.2432501773862371
ACH-000215,-0.08447649699565546
ACH-000221,-0.1117783890806985
ACH-000222,-0.16443253055122312
ACH-000223,-0.2203405739846888
ACH-000226,-0.06530650053420921
ACH-000227,-0.15876991065653787
ACH-000228,-0.07184926324974901
ACH-000231,-0.11486483126754896
ACH-000232,-0.06941742124541732
ACH-000233,-0.11394649368829672
ACH-000234,-0.2394684907811844
ACH-000235,-0.06703986413931567
ACH-000237,-0.1370744380177661
