,CLNS1A (1207)
ACH-000004,-1.562873403290762
ACH-000005,-1.3037640672059552
ACH-000007,-1.207477276626752
ACH-000009,-1.1288839056412885
ACH-000011,-1.0786240042308872
ACH-000012,-1.350871902967662
ACH-000013,-0.6143913957269357
ACH-000014,-1.122973475954636
ACH-000015,-1.1808603469459482
ACH-000017,-1.1000365333492133
ACH-000018,-1.3422774135265565
ACH-000019,-1.0365800341771505
ACH-000021,-1.0882237600737863
ACH-000022,-1.1864268309880477
ACH-000025,-1.3360128190904867
ACH-000028,-1.1721824906850138
ACH-000030,-1.3334187370122024
ACH-000035,-1.157883245790827
ACH-000036,-1.1187299815661762
ACH-000037,-1.6718453003285256
ACH-000039,-1.3734349507706018
ACH-000040,-1.3374401657147097
ACH-000041,-1.3052418618144397
ACH-000042,-1.0911907902138371
ACH-000045,-1.287466260012874
ACH-000047,-1.0727539319334662
ACH-000052,-1.1766240980213891
ACH-000053,-1.2004344313734236
ACH-000054,-1.1628771075473507
ACH-000055,-1.1454282638497062
ACH-000060,-1.1436446663861133
ACH-000067,-1.1292972955300296
ACH-000070,-1.1467849359574729
ACH-000075,-1.2635580235664552
ACH-000078,-1.4662843230608944
ACH-000082,-1.3484655035493434
ACH-000085,-1.0744454229445144
ACH-000086,-1.2108790660317743
ACH-000087,-1.3305833187832306
ACH-000092,-1.2745283394565958
ACH-000095,-1.2293094749622866
ACH-000097,-1.1779190041871521
ACH-000098,-1.133896161318552
ACH-000099,-1.3006624099944857
ACH-000108,-1.1500942407088024
ACH-000113,-0.9875083643705074
ACH-000116,-1.0868947463408127
ACH-000118,-1.1734401433274677
ACH-000120,-1.2405382594196603
ACH-000123,-1.1827083612971916
ACH-000127,-1.2025658748097436
ACH-000128,-1.3730639250634349
ACH-000132,-1.0416622646747584
ACH-000133,-1.226076041499071
ACH-000137,-1.2979543884088
ACH-000138,-1.1527147736978711
ACH-000142,-1.3526656377309114
ACH-000143,-1.3193207272823475
ACH-000146,-1.3108885618428583
ACH-000148,-1.3329174891923103
ACH-000150,-1.4315121293934727
ACH-000152,-1.2405628261121031
ACH-000153,-1.4169430942610262
ACH-000159,-1.2690688245963948
ACH-000160,-1.4896817940483558
ACH-000163,-1.3656863855921284
ACH-000167,-2.0096656659295955
ACH-000168,-1.2238290209944351
ACH-000169,-1.1607290963475487
ACH-000178,-1.1300325171843948
ACH-000183,-1.3395301838367817
ACH-000188,-1.2238774294647248
ACH-000189,-1.4914728963821744
ACH-000190,-1.260831152289719
ACH-000198,-1.2229908952059072
ACH-000203,-1.1814502820475146
ACH-000204,-1.2158376289123625
ACH-000206,-0.967685718506758
ACH-000207,-1.4039422820364205
ACH-000208,-1.1681152740864118
ACH-000210,-1.4546384391563396
ACH-000211,-1.1799867847876593
ACH-000215,-1.3680662706909734
ACH-000221,-1.3254934299574783
ACH-000222,-1.2423125965960176
ACH-000223,-1.1073425908465504
ACH-000226,-1.1959155096970484
ACH-000227,-0.968469113615294
ACH-000228,-1.1468121944250318
ACH-000231,-1.2201509742751535
ACH-000232,-1.1995443680144673
ACH-000233,-1.0815333088798962
ACH-000234,-1.2063218673982057
ACH-000235,-1.2012375871260024
ACH-000237,-0.9637305841112508
ACH-000238,-1.2814847725375345
ACH-000242,-1.081822906263465
ACH-000243,-1.1063062817170588
ACH-000244,-1.4707962535448385
ACH-000246,-1.359261325017356
ACH-000248,-1.179116023643212
ACH-000250,-1.2312273520545671
ACH-000251,-1.1984568615523543
ACH-000252,-1.3701187980231069
ACH-000253,-1.508904727800169
ACH-000255,-1.2814829799205771
ACH-000256,-1.1526714430055796
ACH-000257,-0.911742528324951
ACH-000258,-1.1951999393207846
ACH-000259,-1.148278327192224
ACH-000260,-1.2636795054921244
ACH-000261,-1.3411704318989572
ACH-000262,-1.0577401917358678
ACH-000263,-1.1122171807422767
ACH-000264,-1.3716301837934708
ACH-000265,-1.213876168291317
ACH-000266,-1.2694940374904955
ACH-000272,-1.3163261129132784
ACH-000274,-0.9747259550982504
ACH-000277,-1.2946269828861656
ACH-000278,-1.2796958189415053
ACH-000279,-1.2331642426150051
ACH-000280,-1.218511135687421
ACH-000281,-1.3522355251583718
ACH-000288,-1.259210692228337
ACH-000291,-0.8754743767503195
ACH-000293,-1.1939916079810318
ACH-000294,-1.6063665769679265
ACH-000295,-1.373171639849703
ACH-000296,-0.9762816311084088
ACH-000302,-0.6192278898591698
ACH-000304,-1.2569083469535025
ACH-000307,-1.1300623459034838
ACH-000308,-1.3736451399521292
ACH-000310,-1.0697068296610923
ACH-000311,-1.1522909008922095
ACH-000312,-1.1472522957428832
ACH-000315,-0.9147735707249586
ACH-000316,-1.4611123772933587
ACH-000317,-0.9592073879571924
ACH-000318,-1.0944670145618016
ACH-000319,-0.973580171065872
ACH-000320,-0.9935470967527272
ACH-000322,-1.0387220981300886
ACH-000323,-1.3127245363032936
ACH-000324,-1.2571758958944648
ACH-000329,-1.1754899205992262
ACH-000330,-1.3717378851527435
ACH-000331,-1.1653740920453513
ACH-000332,-0.9595594038350592
ACH-000334,-0.9219956036649342
ACH-000335,-1.0951810605311942
ACH-000336,-1.2533932963338197
ACH-000337,-1.2749639996881887
ACH-000338,-1.2231475225884534
ACH-000339,-1.199559336259377
ACH-000341,-0.9420858564317052
ACH-000348,-1.030707187909384
ACH-000350,-0.9966050191793856
ACH-000352,-1.082299459718792
ACH-000356,-1.1292885168804463
ACH-000361,-1.4348719808444583
ACH-000362,-1.2123881038622668
ACH-000363,-0.8333446003057112
ACH-000364,-0.885659754338609
ACH-000365,-1.0454430742047058
ACH-000366,-1.2327651412417968
ACH-000368,-1.2576923892697305
ACH-000374,-1.3407631387466867
ACH-000375,-1.052583876330789
ACH-000376,-1.277396608846196
ACH-000381,-1.2140509704749896
ACH-000383,-1.1213250225626976
ACH-000387,-1.1036060826824945
ACH-000389,-1.3801062702096305
ACH-000390,-1.0781620504467782
ACH-000393,-1.1812979909482424
ACH-000395,-1.140481515033521
ACH-000396,-1.2579228872934836
ACH-000397,-1.3271307286205167
ACH-000401,-1.061376322883346
ACH-000402,-0.9716294810026092
ACH-000403,-1.303507370773633
ACH-000404,-0.9236222251893
ACH-000406,-1.0204284765028329
ACH-000407,-1.1421184170482783
ACH-000408,-1.3901510997521431
ACH-000410,-1.079028241893702
ACH-000411,-1.0996893239972223
ACH-000414,-0.9295916934909476
ACH-000415,-1.383601010339908
ACH-000416,-1.165604822779449
ACH-000420,-1.111950366762268
ACH-000421,-0.9666561709524154
ACH-000424,-1.1476870190355015
ACH-000425,-1.0628949380160728
ACH-000426,-0.7249454612000847
ACH-000427,-0.9687083232976854
ACH-000433,-1.233130587574107
ACH-000435,-0.920131577584667
ACH-000436,-1.2861811759580488
ACH-000444,-1.2189767636809925
ACH-000445,-1.4694151728067697
ACH-000448,-1.2675779096312298
ACH-000450,-0.8912840621397118
ACH-000452,-1.2674042237429484
ACH-000454,-1.0332477308062495
ACH-000458,-1.0779171412678
ACH-000459,-0.7133080652480949
ACH-000460,-1.2006280193400585
ACH-000461,-0.9403153672918078
ACH-000463,-1.2377494532512074
ACH-000464,-1.2263045111923063
ACH-000466,-1.1933446499594254
ACH-000467,-1.1228298521727125
ACH-000468,-1.2056048097302043
ACH-000469,-1.2783624641014222
ACH-000470,-1.2255083178444637
ACH-000471,-1.3104025014233585
ACH-000472,-1.3279968780052005
ACH-000473,-1.204968332495581
ACH-000475,-1.1048635630520438
ACH-000476,-0.8875779027811911
ACH-000477,-1.0293788239072592
ACH-000479,-1.252355386690537
ACH-000480,-1.1823975744455355
ACH-000481,-1.0254190826631744
ACH-000483,-0.8935542174988926
ACH-000484,-1.2228707172043591
ACH-000485,-1.3615475533948025
ACH-000486,-1.1932402684259051
ACH-000487,-0.8780288663824011
ACH-000488,-1.1557363251720538
ACH-000490,-1.1264892051865243
ACH-000491,-1.0695942346731515
ACH-000495,-1.0144815877277973
ACH-000496,-1.0840233905731278
ACH-000499,-1.3343571418015994
ACH-000500,-1.8838037724410324
ACH-000502,-1.386546374627616
ACH-000503,-0.8551165441022781
ACH-000505,-1.1780077148570034
ACH-000507,-1.1618415682320868
ACH-000510,-0.8716937668233842
ACH-000511,-1.1591552480709422
ACH-000512,-1.284083177409378
ACH-000516,-1.4343654926002212
ACH-000517,-1.2366562222333957
ACH-000518,-1.0603530558270744
ACH-000520,-1.1751481030407054
ACH-000521,-1.1147594487214003
ACH-000522,-1.2735949042769084
ACH-000524,-1.109355925624552
ACH-000527,-1.200381972143562
ACH-000528,-1.2738455209286426
ACH-000537,-1.343096892480771
ACH-000541,-0.9076542124398828
ACH-000542,-1.2393719590076735
ACH-000544,-1.2705284435646198
ACH-000545,-1.3091226022580151
ACH-000547,-1.3762719074523575
ACH-000548,-1.0943342244419028
ACH-000549,-1.0830473940738892
ACH-000550,-1.3390005742685025
ACH-000552,-1.3623761716262692
ACH-000556,-1.0993802049661887
ACH-000557,-0.8445113584062731
ACH-000569,-1.0605071967917956
ACH-000570,-1.1795032387462092
ACH-000571,-1.4569474927954762
ACH-000573,-1.4271965482482796
ACH-000576,-1.0121394576868432
ACH-000579,-0.9488310953828306
ACH-000580,-0.9414939651244352
ACH-000584,-0.9601540494519342
ACH-000585,-1.259884048354262
ACH-000588,-1.2248453645301416
ACH-000589,-1.2521666559352589
ACH-000591,-1.3115463835954717
ACH-000593,-1.2759910322317205
ACH-000600,-1.312671164429999
ACH-000601,-1.2224387554694842
ACH-000605,-1.0521614758135065
ACH-000606,-1.3942163644312635
ACH-000608,-1.1175389397463498
ACH-000614,-0.9141804834320996
ACH-000616,-1.032318938372036
ACH-000618,-1.0702695370815123
ACH-000619,-1.2773108405592548
ACH-000620,-0.8455267060440406
ACH-000621,-1.2785179649570242
ACH-000622,-1.2184536436798508
ACH-000623,-1.3705749002853975
ACH-000624,-1.1529215480640025
ACH-000627,-1.1108396951117416
ACH-000630,-1.1473602652071155
ACH-000631,-1.0446017319319696
ACH-000632,-1.2393907275902014
ACH-000633,-0.7380021814096899
ACH-000637,-1.1115969896679283
ACH-000638,-0.9363100665390044
ACH-000646,-0.8433668921292928
ACH-000647,-1.2665572766277258
ACH-000648,-1.094780246284185
ACH-000649,-1.2348612039514222
ACH-000651,-1.2081376589205568
ACH-000652,-1.1390872626298914
ACH-000653,-0.7054270900275371
ACH-000657,-1.0535213070821865
ACH-000658,-1.3422190203363098
ACH-000661,-1.1779131436945307
ACH-000662,-1.4241553494957788
ACH-000663,-0.9580213122051416
ACH-000665,-1.3259439857365285
ACH-000671,-0.8740948830067359
ACH-000672,-0.8757195529716395
ACH-000673,-1.4010715434822492
ACH-000676,-1.0736005456511764
ACH-000677,-0.8462435141147521
ACH-000681,-1.0230775738727484
ACH-000683,-1.279689961236544
ACH-000684,-1.4636043018610871
ACH-000688,-1.122536997030072
ACH-000693,-1.1892577234138269
ACH-000694,-1.279966697352007
ACH-000695,-0.7596600392093922
ACH-000696,-1.2584162840871551
ACH-000697,-0.9372662425653404
ACH-000699,-1.2204492297185818
ACH-000701,-1.1875122652226076
ACH-000706,-1.0152380347840235
ACH-000711,-1.1615000419627897
ACH-000713,-1.2595685879329377
ACH-000714,-1.1474607130118015
ACH-000718,-1.3476625135538254
ACH-000720,-1.190486191135966
ACH-000721,-1.2793192405932703
ACH-000724,-1.3601095294034071
ACH-000725,-1.1285152517440311
ACH-000732,-0.8194740499076724
ACH-000734,-1.2186640408956069
ACH-000735,-1.3206853947474977
ACH-000736,-1.2758258494946704
ACH-000738,-1.218731065547754
ACH-000746,-1.1868964529317705
ACH-000747,-1.1112358391580994
ACH-000748,-1.345125627767597
ACH-000753,-1.3138850331422398
ACH-000756,-1.3036328859373991
ACH-000757,-0.9786917921678442
ACH-000758,-1.0017467345949642
ACH-000760,-1.4034712028129404
ACH-000762,-1.1709928470911404
ACH-000763,-1.2438513698038909
ACH-000764,-1.116862371271237
ACH-000765,-1.288191917908059
ACH-000766,-1.27571167146387
ACH-000767,-1.29882885269502
ACH-000768,-1.2483013603250959
ACH-000769,-1.3130895563095637
ACH-000770,-1.0730737406102069
ACH-000771,-1.1621531948396828
ACH-000773,-1.260244760262969
ACH-000776,-1.4095442804803735
ACH-000777,-1.076725514230467
ACH-000778,-1.0642970436963766
ACH-000781,-1.2887493495090967
ACH-000782,-0.9980838362852512
ACH-000783,-1.264439758443768
ACH-000784,-1.0724233040087534
ACH-000785,-1.2585315026761372
ACH-000787,-1.3548099046726958
ACH-000788,-1.2917064039223334
