,GFER (2671)
ACH-000004,-0.8782595654240465
ACH-000005,-1.0282808300520418
ACH-000007,-0.7821467513980864
ACH-000009,-0.5568239850725878
ACH-000011,-0.7123167795686519
ACH-000012,-0.7226156406502865
ACH-000013,-0.7641278137146829
ACH-000014,-0.6548189641945462
ACH-000015,-0.9122942605589591
ACH-000017,-0.6354452425519846
ACH-000018,-0.5417432046703098
ACH-000019,-0.6351589708357399
ACH-000021,-0.7998123932867107
ACH-000022,-0.7358819965362905
ACH-000025,-0.8114711834395276
ACH-000028,-0.7737887197397244
ACH-000030,-0.509672240190851
ACH-000035,-0.7196246651910974
ACH-000036,-0.6191352460457649
ACH-000037,-0.5389920388480814
ACH-000039,-0.460867397678145
ACH-000040,-0.6047651182060042
ACH-000041,-0.9536551758858498
ACH-000042,-0.5558104400335715
ACH-000045,-0.6497554529366136
ACH-000047,-0.5855993952654716
ACH-000052,-0.6888753379306201
ACH-000053,-0.4119390230663299
ACH-000054,-0.22361727687402974
ACH-000055,-0.8778688936905171
ACH-000060,-0.7222389801685558
ACH-000067,-0.7681754078799393
ACH-000070,-0.4545208199443756
ACH-000075,-1.0787190122180932
ACH-000078,-0.5201783190600627
ACH-000082,-0.4559800287449679
ACH-000085,-0.8062317966058198
ACH-000086,-0.6420550931223983
ACH-000087,-0.5912226399250128
ACH-000092,-0.6835164828239769
ACH-000095,-0.5121208514296367
ACH-000097,-0.5545739258139893
ACH-000098,-0.911575567273874
ACH-000099,-0.6860431587418405
ACH-000108,-0.6214322841461812
ACH-000113,-0.91972274754642
ACH-000116,-0.6771217092538927
ACH-000118,-0.5604205226247417
ACH-000120,-0.7389001453858586
ACH-000123,-0.6003727266904723
ACH-000127,-0.7126418471968792
ACH-000128,-0.6435144427835003
ACH-000132,-0.8248647106173839
ACH-000133,-0.7775538996806208
ACH-000137,-0.6826697766816563
ACH-000138,-0.7194256377131607
ACH-000142,-0.9130827899651118
ACH-000143,-0.4769185773350637
ACH-000146,-0.6323454239554481
ACH-000148,-0.8211886260575425
ACH-000150,-0.8492909827955691
ACH-000152,-0.5980905911108921
ACH-000153,-0.4022810277459475
ACH-000159,-0.6118790320938553
ACH-000160,-0.6475885369219414
ACH-000163,-0.5790719370301097
ACH-000167,-0.3639767306634006
ACH-000168,-0.7195882647298371
ACH-000169,-0.766325648429955
ACH-000178,-0.7133084966041271
ACH-000183,-0.8359279381231957
ACH-000188,-0.6019356975979792
ACH-000189,-0.6170650648506095
ACH-000190,-0.7988926226447464
ACH-000198,-0.6286319147538394
ACH-000203,-0.6716941318265405
ACH-000204,-0.6882449307916999
ACH-000206,-0.6067520590880727
ACH-000207,-0.4603683427128473
ACH-000208,-0.5796957358076793
ACH-000210,-0.8111156717583652
ACH-000211,-0.8566155768801694
ACH-000215,-0.6577025462641288
ACH-000221,-0.6667344852197785
ACH-000222,-0.85276684797039
ACH-000223,-0.5568338175492908
ACH-000226,-0.4401011993014791
ACH-000227,-0.6886636957656885
ACH-000228,-0.582454377397259
ACH-000231,-0.7665771756806279
ACH-000232,-0.7173625837019727
ACH-000233,-0.5322213866548781
ACH-000234,-0.5009985777435988
ACH-000235,-0.5425686634124421
ACH-000237,-0.7320398523878618
ACH-000238,-0.7947326160304748
ACH-000242,-0.3386445950019091
ACH-000243,-0.7452949484174453
ACH-000244,-0.6096001884506049
ACH-000246,-0.6694414502124733
ACH-000248,-0.8041702411500872
ACH-000250,-0.7203603703594308
ACH-000251,-0.3585154386869518
ACH-000252,-0.7613841023731639
ACH-000253,-0.6352815546452393
ACH-000255,-0.7353791633091983
ACH-000256,-0.7783841024034533
ACH-000257,-0.6949732175730566
ACH-000258,-0.5498054652898354
ACH-000259,-0.7793250994469954
ACH-000260,-0.6690705439709819
ACH-000261,-0.6934970983509622
ACH-000262,-0.5640094349816465
ACH-000263,-0.6542667116421556
ACH-000264,-0.673412713882063
ACH-000265,-0.8366917991369487
ACH-000266,-0.4276673329615743
ACH-000272,-0.5504009152082929
ACH-000274,-0.5734067593818883
ACH-000277,-0.5636406877182097
ACH-000278,-0.4455842413976047
ACH-000279,-0.9076970983746531
ACH-000280,-0.7096223836673109
ACH-000281,-0.8374331008624895
ACH-000288,-0.6933815649304006
ACH-000291,-0.6208993528547706
ACH-000293,-0.8241868540894809
ACH-000294,-0.7350777929587503
ACH-000295,-0.7491494353750106
ACH-000296,-0.6704139125472601
ACH-000302,-0.5595178157348196
ACH-000304,-0.7110684006407726
ACH-000307,-0.7373070359273648
ACH-000308,-0.5761889305423722
ACH-000310,-0.2973746824688243
ACH-000311,-0.7301478738133668
ACH-000312,-0.7990190728387166
ACH-000315,-0.5209901794826199
ACH-000316,-0.9709041650857978
ACH-000317,-0.8445698651850223
ACH-000318,-0.6292500794995511
ACH-000319,-0.7299881427864195
ACH-000320,-0.7196515888611275
ACH-000322,-0.8934618665500831
ACH-000323,-0.7316922523990458
ACH-000324,-0.6744398351727584
ACH-000329,-0.5650556459070206
ACH-000330,-0.6131597676083063
ACH-000331,-0.6931141505560388
ACH-000332,-0.6260963968008717
ACH-000334,-0.5282305596959297
ACH-000335,-0.6845752675441377
ACH-000336,-0.7730589778006431
ACH-000337,-0.5978958958881149
ACH-000338,-0.7022048946086771
ACH-000339,-0.5511633969003331
ACH-000341,-0.4716279887739574
ACH-000348,-0.7984713875872766
ACH-000350,-0.4369089716846041
ACH-000352,-0.7174543139833798
ACH-000356,-0.975063435822654
ACH-000361,-0.5925772912583978
ACH-000362,-0.5983541712583011
ACH-000363,-0.3439575715637465
ACH-000364,-0.6653083173455544
ACH-000365,-0.6285413241435688
ACH-000366,-0.6455799764858499
ACH-000368,-0.8160998671647284
ACH-000374,-0.4986701535572695
ACH-000375,-0.8578895402229408
ACH-000376,-0.5564179362428472
ACH-000381,-0.6104473351522609
ACH-000383,-0.4050271902863681
ACH-000387,-0.6163755746490911
ACH-000389,-0.8644013886895049
ACH-000390,-0.8173083389731433
ACH-000393,-0.4299507919110708
ACH-000395,-0.4121261588871895
ACH-000396,-0.8741840529939375
ACH-000397,-0.6477357752365956
ACH-000401,-1.022335266033814
ACH-000402,-0.6553178336224562
ACH-000403,-0.6396004445799915
ACH-000404,-0.7238656432231241
ACH-000406,-0.7509588702556914
ACH-000407,-0.7913656609473779
ACH-000408,-0.658307248687135
ACH-000410,-0.6316361549235519
ACH-000411,-0.7318783044193337
ACH-000414,-0.7869425579058295
ACH-000415,-0.7647230320354332
ACH-000416,-0.6094749356010437
ACH-000420,-0.6674483350933821
ACH-000421,-0.647012114193433
ACH-000424,-0.6623323808592769
ACH-000425,-0.5711313365049893
ACH-000426,-0.5126729177077556
ACH-000427,-0.4077560401836128
ACH-000433,-0.8729933988329809
ACH-000435,-1.0009034163642891
ACH-000436,-0.7839148490145391
ACH-000444,-0.5663514296455546
ACH-000445,-1.0422009313880818
ACH-000448,-0.6373973625903783
ACH-000450,-0.5399946011032843
ACH-000452,-0.8449095905161242
ACH-000454,-0.8366808358786542
ACH-000458,-0.5407521043240884
ACH-000459,-0.7520971604659896
ACH-000460,-0.7081965874405627
ACH-000461,-0.6060793681010872
ACH-000463,-0.5809114324885787
ACH-000464,-0.6820219444153449
ACH-000466,-0.5117929630950864
ACH-000467,-0.4644184500036233
ACH-000468,-0.6044223272009656
ACH-000469,-0.7605635863806133
ACH-000470,-0.5169680392685343
ACH-000471,-0.8019506239533198
ACH-000472,-0.7481848848219331
ACH-000473,-0.7954662578238554
ACH-000475,-0.9194855883678714
ACH-000476,-0.6210548770935661
ACH-000477,-0.8849611357181526
ACH-000479,-0.6850706637491704
ACH-000480,-0.6564308021468838
ACH-000481,-0.6454923850871693
ACH-000483,-0.6994842536671048
ACH-000484,-0.34558672226034026
ACH-000485,-0.6509098267919923
ACH-000486,-0.7023230836798354
ACH-000487,-0.5509208607752076
ACH-000488,-0.6585535380550461
ACH-000490,-0.8520483661883756
ACH-000491,-0.6112531876544287
ACH-000495,-1.1606431516586349
ACH-000496,-0.7858696431201504
ACH-000499,-0.9001555190341946
ACH-000500,-0.8776560037194087
ACH-000502,-0.7865354511827706
ACH-000503,-0.8515567241320396
ACH-000505,-0.5707977315477303
ACH-000507,-0.6151398223696459
ACH-000510,-0.8068789316005684
ACH-000511,-0.5707786009854903
ACH-000512,-0.3195417547498681
ACH-000516,-0.5100368220120803
ACH-000517,-0.5640064850278093
ACH-000518,-0.8774151578803503
ACH-000520,-0.8465890352711435
ACH-000521,-0.6357295809875225
ACH-000522,-0.7990920142935342
ACH-000524,-0.4684601108291826
ACH-000527,-0.5509861689040101
ACH-000528,-0.6701147043055006
ACH-000537,-0.4434745429164875
ACH-000541,-0.8067308006686447
ACH-000542,-0.6772991526449572
ACH-000544,-0.6698800420896818
ACH-000545,-0.8114886483445979
ACH-000547,-0.7923134116475579
ACH-000548,-0.4897384600408983
ACH-000549,-0.5593905575204642
ACH-000550,-0.5835693885298704
