,CSE1L (1434)
ACH-000004,-1.3993773996620988
ACH-000005,-0.8494238244048483
ACH-000007,-0.9922575995788829
ACH-000009,-0.907115130887726
ACH-000011,-0.7372236658390497
ACH-000012,-1.1360652173412948
ACH-000013,-0.8015179449825999
ACH-000014,-0.6172440281222648
ACH-000015,-1.0969674746786942
ACH-000017,-0.7115445851062047
ACH-000018,-0.7729986804991456
ACH-000019,-1.0443635896174157
ACH-000021,-1.1527684213248757
ACH-000022,-0.9602905521143684
ACH-000025,-1.15251146331404
ACH-000028,-0.7850451990252142
ACH-000030,-0.9289760624044604
ACH-000035,-0.9263977279228012
ACH-000036,-0.9131188659114192
ACH-000037,-0.9506596019972672
ACH-000039,-1.07786770227157
ACH-000040,-1.0270313453835878
ACH-000041,-0.9060416171659348
ACH-000042,-0.9279040874278592
ACH-000045,-0.8773381538597377
ACH-000047,-0.8620338797472978
ACH-000052,-1.1004808970495403
ACH-000053,-1.0666729940614377
ACH-000054,-1.2402404319884317
ACH-000055,-0.8326314564881534
ACH-000060,-0.9202323618972956
ACH-000067,-0.9238589067824352
ACH-000070,-1.113082836841948
ACH-000075,-1.0668761554719068
ACH-000078,-0.9928253386134546
ACH-000082,-0.9987301730919418
ACH-000085,-0.811414362375644
ACH-000086,-1.0552193425706715
ACH-000087,-0.9173440371737848
ACH-000092,-1.0924004782048211
ACH-000095,-1.1028454954417783
ACH-000097,-1.0593928581979304
ACH-000098,-1.1045636973056112
ACH-000099,-0.8682298484953225
ACH-000108,-1.001354451558888
ACH-000113,-1.1743791869077114
ACH-000116,-0.8073286835454844
ACH-000118,-0.8333764652626968
ACH-000120,-1.004420301118107
ACH-000123,-0.9552839813024059
ACH-000127,-0.8979887276168852
ACH-000128,-1.162590969576892
ACH-000132,-1.200516773649175
ACH-000133,-0.8951175515442868
ACH-000137,-1.2156480264301517
ACH-000138,-0.906912771984176
ACH-000142,-0.8783760282965557
ACH-000143,-1.1029837078559832
ACH-000146,-0.9059243196856264
ACH-000148,-1.1042386189527982
ACH-000150,-0.9947587776405941
ACH-000152,-1.1689564233495278
ACH-000153,-0.911381363825698
ACH-000159,-0.9159336415781208
ACH-000160,-1.076511726711548
ACH-000163,-0.866445636334546
ACH-000167,-0.9062062859190148
ACH-000168,-1.0821739509978467
ACH-000169,-1.076004789346906
ACH-000178,-0.7192856340990583
ACH-000183,-1.1055332213417752
ACH-000188,-0.8972316305980604
ACH-000189,-0.9708183458725248
ACH-000190,-0.9629372273234345
ACH-000198,-0.9836221588885288
ACH-000203,-1.1168985789788264
ACH-000204,-1.081602415114025
ACH-000206,-0.9333136992243596
ACH-000207,-0.999972204650593
ACH-000208,-0.9677879022224152
ACH-000210,-1.1746081161212896
ACH-000211,-1.0315607807092144
ACH-000215,-1.1193537753760086
ACH-000221,-1.0723429104261997
ACH-000222,-0.9045460189319792
ACH-000223,-1.0404767191774604
ACH-000226,-0.97238522780295
ACH-000227,-1.1067026976106742
ACH-000228,-1.0195270735818331
ACH-000231,-1.0529026834149504
ACH-000232,-1.1700081010452443
ACH-000233,-1.0160752121200995
ACH-000234,-0.9935861155180336
ACH-000235,-0.9751250986803579
ACH-000237,-0.9884063935698446
ACH-000238,-0.785801429121961
ACH-000242,-0.7317000632112441
ACH-000243,-0.9100335753965054
ACH-000244,-0.9169243257075644
ACH-000246,-0.8720585253512344
ACH-000248,-0.8885989731997038
ACH-000250,-0.9852985212985916
ACH-000251,-1.3116409462257557
ACH-000252,-1.2589894595070992
ACH-000253,-0.9664035207551452
ACH-000255,-0.8992419224906801
ACH-000256,-0.5102754106497212
ACH-000257,-0.8638555210350216
ACH-000258,-1.2670267139465181
ACH-000259,-1.0224760877453514
ACH-000260,-0.8775641419219833
ACH-000261,-1.1182253192181562
ACH-000262,-0.7587319583339973
ACH-000263,-1.0314123915045523
ACH-000264,-1.2405101741247524
ACH-000265,-1.0243564376768255
ACH-000266,-1.138303810947719
ACH-000272,-1.095133557576752
ACH-000274,-1.0789280944673771
ACH-000277,-0.9359861604863708
ACH-000278,-0.8473990364100361
ACH-000279,-1.3129579294180715
ACH-000280,-0.7907139090411275
ACH-000281,-0.9386744567437644
ACH-000288,-1.065167966830936
ACH-000291,-0.8430008574894329
ACH-000293,-0.9669376974995072
ACH-000294,-1.0637736416290433
ACH-000295,-1.1168782654664628
ACH-000296,-0.8697833207058911
ACH-000302,-1.0656530262605899
ACH-000304,-0.6792460755136671
ACH-000307,-1.010658613508966
ACH-000308,-0.948913869277427
