,PIGB (9488)
ACH-000004,-0.26213964517528
ACH-000005,-0.5282330639787839
ACH-000007,-0.5213084846857277
ACH-000009,-0.3050180992696586
ACH-000011,-0.26493630574717864
ACH-000012,-0.17905083018578205
ACH-000013,-0.25597993345374964
ACH-000014,-0.4246963171382821
ACH-000015,-0.18852906138576847
ACH-000017,0.0023034464104138928
ACH-000018,-0.2561787469156735
ACH-000019,0.0861549661964076
ACH-000021,-0.1663639284007038
ACH-000022,-0.14206601433883534
ACH-000025,-0.4547003638790969
ACH-000028,-0.15979385523368253
ACH-000030,-0.3993259904020053
ACH-000035,-0.20946988267873587
ACH-000036,-0.16352478509558005
ACH-000037,-0.3247913498671841
ACH-000039,-0.2948485654576824
ACH-000040,-0.3375138356848648
ACH-000041,-0.2916692466476194
ACH-000042,-0.269307574875536
ACH-000045,-0.331398020971148
ACH-000047,-0.40201582968402655
ACH-000052,-0.29785707913358866
ACH-000053,-0.10939191756459904
ACH-000054,-0.3167483316242441
ACH-000055,-0.05806262293616709
ACH-000060,-0.2552489811678631
ACH-000067,-0.21946345444169352
ACH-000070,-0.29798676125696016
ACH-000075,-0.06270032159582355
ACH-000078,-0.32149733751014165
ACH-000082,-0.3133359309629853
ACH-000085,-0.6566670425828657
ACH-000086,-0.23290089139817505
ACH-000087,-0.1894615488698003
ACH-000092,-0.2568268926902411
ACH-000095,-0.404598750976888
ACH-000097,-0.43055143834502224
ACH-000098,-0.35479510553236365
ACH-000099,-0.329935215186854
ACH-000108,-0.3981843018563153
ACH-000113,-0.2842125201167637
ACH-000116,-0.21648102602345376
ACH-000118,-0.280639096429884
ACH-000120,-0.3302816295074413
ACH-000123,-0.2234169468333848
ACH-000127,-0.10928585224051222
ACH-000128,-0.392106782813573
ACH-000132,-0.5568205045156918
ACH-000133,-0.1870770809482357
ACH-000137,-0.3002081446853476
ACH-000138,-0.1524749760074169
ACH-000142,-0.2387106881076116
ACH-000143,-0.18731383795078013
ACH-000146,-0.29266914256047466
ACH-000148,-0.26748229062338896
ACH-000150,-0.04071806732099538
ACH-000152,-0.3548016683449454
ACH-000153,-0.3966755870033428
ACH-000159,-0.24941239238579374
ACH-000160,-0.17166673679154076
ACH-000163,-0.1360465256756709
ACH-000167,0.4300461969796445
ACH-000168,-0.3500438312016173
ACH-000169,-0.33149515366957605
ACH-000178,-0.2584533998283236
ACH-000183,-0.20722226226468465
ACH-000188,-0.2817239394400614
ACH-000189,-0.23454651629461865
ACH-000190,-0.260887227430998
ACH-000198,-0.3040991898102808
ACH-000203,-1.2057863270081648
ACH-000204,-0.23679150233105745
ACH-000206,-0.3416395876082296
ACH-000207,-0.2774170533456771
ACH-000208,-0.4032704101618768
ACH-000210,-0.3541722679704629
ACH-000211,-0.2883217530282392
ACH-000215,-0.23160953989806005
ACH-000221,-0.08460319030860018
ACH-000222,-0.18491913921286526
ACH-000223,-0.41628067482842657
ACH-000226,-0.14959347874133758
ACH-000227,-0.3225321345200424
ACH-000228,-0.5098724043033146
ACH-000231,-0.3734722430000002
ACH-000232,-0.4055564739192924
ACH-000233,-0.30330592756228497
ACH-000234,-0.3986466351261495
ACH-000235,-0.3745766102356372
ACH-000237,-0.17941447284647086
ACH-000238,-0.2426635060056929
ACH-000242,-0.17841467280454745
ACH-000243,-0.2668245982210027
ACH-000244,-0.3650102592018962
ACH-000246,-0.1844770726763947
ACH-000248,-0.2611510495173276
ACH-000250,-0.2977929977324337
ACH-000251,-0.12942434087878502
ACH-000252,-0.3263590360211578
ACH-000253,-0.33412210960952843
ACH-000255,-0.3237015488754867
ACH-000256,-0.16956750702285714
ACH-000257,-0.3897602089111167
ACH-000258,-0.3157932201520952
ACH-000259,-0.3822253468866364
ACH-000260,-0.4653330469650657
ACH-000261,-0.39709782795033577
ACH-000262,-0.09070698647142904
ACH-000263,-0.4420932668130766
ACH-000264,-0.2891710513162842
ACH-000265,-0.3029461480931417
ACH-000266,-0.2572565796491013
ACH-000272,-0.3439838165393731
ACH-000274,-0.3783301943078672
ACH-000277,-0.1221298966799789
ACH-000278,-0.16968980029220426
ACH-000279,-0.2393602057553668
ACH-000280,-0.4472001769715134
ACH-000281,-0.29777681583730986
ACH-000288,-0.3239378299018558
ACH-000291,-0.3489218299853695
ACH-000293,-0.2138014695895546
ACH-000294,-0.23935800086054315
ACH-000295,-0.2128710548341495
ACH-000296,-0.07303987494547932
ACH-000302,-0.3023129539037456
ACH-000304,-0.4430221708800059
ACH-000307,-0.3501698105657452
ACH-000308,-0.2621936517604902
ACH-000310,-0.3902924295898966
ACH-000311,-0.23332225760522865
ACH-000312,-0.33515805946897514
ACH-000315,-0.4364285891240109
ACH-000316,-0.30646943380174946
ACH-000317,-0.2299973629716601
ACH-000318,-0.2625380662239244
ACH-000319,-0.21700589916975133
ACH-000320,-0.35422276068759856
ACH-000322,-0.2993263900383005
ACH-000323,-0.14845489918731133
ACH-000324,-0.31724651778073604
ACH-000329,-0.34234178634225804
ACH-000330,-0.37689022291907737
ACH-000331,-0.455865291159068
ACH-000332,-0.3558967932055784
ACH-000334,-0.1728936798019756
ACH-000335,-0.5006177943370043
ACH-000336,-0.08961600596390816
ACH-000337,-0.01319200289444456
ACH-000338,-0.0962802333338636
ACH-000339,-0.2001700033161872
ACH-000341,-0.5141940163099372
ACH-000348,-0.3095492109010393
ACH-000350,-0.30251642938288403
ACH-000352,-0.3192017585314925
ACH-000356,-0.038773806027924934
ACH-000361,-0.4435449848130586
ACH-000362,-0.3038011395081324
ACH-000363,-0.19279163028606236
ACH-000364,-0.28309218570811
ACH-000365,-0.31171253916182234
ACH-000366,-0.3298521840605175
ACH-000368,-0.1820621855487756
ACH-000374,-0.35395878833624217
ACH-000375,-0.22282627866566185
ACH-000376,-0.1321857882293489
ACH-000381,-0.11548941038082525
ACH-000383,-0.34334229779673203
ACH-000387,-0.2744683770859585
ACH-000389,-0.24315851592533694
ACH-000390,-0.2167835271945243
ACH-000393,-0.4307243434457481
ACH-000395,-0.027696813340537696
ACH-000396,-0.15426156973093275
