,NSRP1 (84081)
ACH-000004,-0.3661604374196125
ACH-000005,-0.1766975639140028
ACH-000007,-0.2546622584954365
ACH-000009,-0.4943234348138364
ACH-000011,-0.2099450463368519
ACH-000012,-0.5345220147454584
ACH-000013,-0.35063246201534765
ACH-000014,-0.18264320779208984
ACH-000015,-0.11475886452414563
ACH-000017,-0.2388379607184379
ACH-000018,-0.09123969525515237
ACH-000019,-0.41588303317712577
ACH-000021,-0.3752712700359912
ACH-000022,-0.28874466712350444
ACH-000025,-0.3245749484027313
ACH-000028,-0.4856711061529293
ACH-000030,-0.3405810890100918
ACH-000035,-0.2296291644002369
ACH-000036,-0.07577224082884107
ACH-000037,-0.4678326384092417
ACH-000039,-0.17905954538453014
ACH-000040,-0.3005493357057145
ACH-000041,-0.2305974699272715
ACH-000042,-0.2513125175951412
ACH-000045,-0.1367868725131018
ACH-000047,-0.2646785318189708
ACH-000052,-0.361115652548791
ACH-000053,-0.4338587859032809
ACH-000054,-0.2914518696136816
ACH-000055,-0.285890579887346
ACH-000060,-0.32123984143422274
ACH-000067,-0.2801868814576409
ACH-000070,-0.3921190158186703
ACH-000075,-0.2034273298107943
ACH-000078,-0.2994451620953099
ACH-000082,-0.5161945913588821
ACH-000085,-0.16228782094734542
ACH-000086,-0.373186536365467
ACH-000087,-0.3941658835005755
ACH-000092,-0.5133005578339486
ACH-000095,-0.06442975464526222
ACH-000097,-0.44137329022750416
ACH-000098,-0.3052389433233809
ACH-000099,-0.33048049961321
ACH-000108,-0.5238424766083335
ACH-000113,-0.25985178768778155
ACH-000116,-0.4960042369642419
ACH-000118,-0.6263639957312026
ACH-000120,-0.3383175940637338
ACH-000123,-0.2337007875181464
ACH-000127,-0.19926293206809365
ACH-000128,-0.039986313797704405
ACH-000132,-0.6158907962752938
ACH-000133,-0.20136117248763588
ACH-000137,-0.322909194146831
ACH-000138,-0.278090280864868
ACH-000142,-0.26372730157615
ACH-000143,-0.3618850464995968
ACH-000146,-0.3295126453962333
ACH-000148,-0.3623712615358918
ACH-000150,-0.5235655927980621
ACH-000152,-0.6236692958011929
