,NCAN (1463)
ACH-000004,-0.010999180711953159
ACH-000005,0.037677737744039486
ACH-000007,0.0004860587152876325
ACH-000009,-0.18088678300024494
ACH-000011,-0.07564062937809052
ACH-000012,-0.2491138271721008
ACH-000013,-0.17107674073045964
ACH-000014,-0.11876938850616454
ACH-000015,-0.27428980330890057
ACH-000017,-0.22317129836822175
ACH-000018,-0.2859451123611957
ACH-000019,-0.30766884474550404
ACH-000021,-0.2824510039346809
ACH-000022,-0.16722485014304295
ACH-000025,-0.11631742028004645
ACH-000028,-0.3976088536084165
ACH-000030,-0.2961478502129206
ACH-000035,-0.12475955262469535
ACH-000036,-0.20335372959771789
ACH-000037,-0.1532681577260512
ACH-000039,-0.09718404196992173
ACH-000040,-0.14496547066894305
ACH-000041,-0.1522215792967325
ACH-000042,-0.26791976213594304
ACH-000045,-0.25888394147113003
ACH-000047,-0.25363747095161565
ACH-000052,-0.2464600295283935
ACH-000053,-0.17718073811717114
ACH-000054,-0.25359942187273715
ACH-000055,-0.04433845906237775
ACH-000060,0.1124876887668116
ACH-000067,-0.05646860568312397
ACH-000070,-0.16236299360962875
ACH-000075,-0.09980145807672082
ACH-000078,-0.035954864368579316
ACH-000082,-0.0964463472258943
ACH-000085,-0.23250065500491385
ACH-000086,-0.20210001666046187
ACH-000087,0.001240619051681753
ACH-000092,-0.1316088958032519
ACH-000095,-0.08947774403465432
ACH-000097,-0.1607536405228694
ACH-000098,-0.2291670915615309
ACH-000099,-0.0884855997863007
ACH-000108,-0.35249209754141425
ACH-000113,-0.2198256894478704
ACH-000116,-0.10238308996420456
ACH-000118,-0.2530582554155856
ACH-000120,-0.19398760966261025
ACH-000123,-0.14991124052812232
ACH-000127,-0.2614181611568776
ACH-000128,-0.025641467225197768
ACH-000132,-0.048477915627967993
ACH-000133,-0.10820893059674372
ACH-000137,-0.09027484498610312
ACH-000138,-0.18663132536503813
ACH-000142,-0.13465010267569438
ACH-000143,-0.1347047863069311
ACH-000146,-0.2390729073361759
ACH-000148,-0.1177781841536575
ACH-000150,-0.23166540947422945
ACH-000152,-0.15693532350857758
ACH-000153,-0.1953807114945939
ACH-000159,-0.16943675841820247
ACH-000160,-0.05590103143114366
ACH-000163,-0.2424970229057113
ACH-000167,0.15357326792739173
ACH-000168,-0.15108847170255604
ACH-000169,-0.18588613344086155
ACH-000178,-0.02562493297743532
ACH-000183,0.004361036483379074
ACH-000188,-0.2812331211691118
ACH-000189,-0.18907565229144516
ACH-000190,0.02426458932556125
ACH-000198,-0.21714751343467575
ACH-000203,-0.1412518637000291
ACH-000204,-0.16507105384859466
ACH-000206,-0.2823355106209381
ACH-000207,0.05414900823215405
ACH-000208,-0.3771523623689712
ACH-000210,0.005069943662630225
ACH-000211,-0.16854921889117544
ACH-000215,-0.1197630670124349
ACH-000221,-0.4199921252419683
ACH-000222,-0.3062175576685409
ACH-000223,-0.04033934432761863
ACH-000226,0.0635289411511988
ACH-000227,-0.14470798255907322
ACH-000228,-0.1851062539370816
ACH-000231,-0.06278946976558306
ACH-000232,-0.265284971505358
ACH-000233,-0.13196376364807913
ACH-000234,-0.10138300499231374
ACH-000235,-0.15629256187863133
ACH-000237,-0.13008871990005294
ACH-000238,-0.055222248011115915
ACH-000242,-0.14124547937420995
ACH-000243,-0.25477355114978906
ACH-000244,-0.33921443084546943
ACH-000246,-0.2335450398309389
ACH-000248,-0.2158231565601745
ACH-000250,-0.17616823035219253
ACH-000251,-0.4652960578748683
ACH-000252,0.08828545419767313
ACH-000253,-0.24007215646849256
ACH-000255,-0.1977945837110822
ACH-000256,-0.05493745474699985
ACH-000257,-0.02777175975173597
ACH-000258,0.1283142384790701
ACH-000259,-0.09425636786263336
ACH-000260,-0.19017199697319867
ACH-000261,-0.16854529611954008
ACH-000262,-0.01289071731390657
ACH-000263,0.01910972998226869
ACH-000264,-0.12405207859290897
ACH-000265,-0.05520460379052402
ACH-000266,-0.15395086886057222
ACH-000272,-0.20622530047040846
ACH-000274,-0.09667531925153994
ACH-000277,-0.10078998463001028
ACH-000278,-0.216952215788032
ACH-000279,0.00929114706827455
ACH-000280,-0.09635917548670724
ACH-000281,-0.165668547364072
ACH-000288,0.045611263725073854
ACH-000291,-0.18723099556465128
ACH-000293,-0.047319135591415686
ACH-000294,-0.3391317280225162
ACH-000295,-0.30684260793153845
ACH-000296,-0.2342960484439981
ACH-000302,-0.37806697422251373
ACH-000304,0.14534098729846054
ACH-000307,-0.1374121032873965
ACH-000308,-0.1810772105491974
ACH-000310,-0.1799252357922653
ACH-000311,-0.1966016213404711
ACH-000312,-0.16843665708460104
ACH-000315,-0.1596094526896642
ACH-000316,0.019775997443576342
ACH-000317,-0.07207052938467605
ACH-000318,-0.3360893661889054
ACH-000319,-0.1291778808923941
ACH-000320,-0.0901916420798429
ACH-000322,-0.03940135221633514
ACH-000323,-0.058018262769764815
ACH-000324,-0.005624859540567882
ACH-000329,-0.07788462720697513
ACH-000330,-0.03525270425854514
ACH-000331,-0.11075589226263796
ACH-000332,-0.09583348215071552
ACH-000334,-0.18462037188858965
ACH-000335,-0.26365764636455724
ACH-000336,-0.24280119644327866
ACH-000337,-0.1506995834356794
ACH-000338,-0.8743496149497838
ACH-000339,-0.18695482888322448
ACH-000341,-0.2599820258330165
ACH-000348,-0.09960826589415496
ACH-000350,-0.14221357992836975
ACH-000352,-0.1978811215154001
ACH-000356,-0.034746271015545865
ACH-000361,-0.22073431385299208
ACH-000362,-0.21907748338642194
ACH-000363,-0.2353156139173203
ACH-000364,-0.2791751125795621
ACH-000365,-0.17656040232052408
ACH-000366,-0.23011406933751455
ACH-000368,-0.18952863099060904
ACH-000374,-0.3336644302450244
ACH-000375,-0.029626420078004638
ACH-000376,0.0166608154216472
ACH-000381,-0.123597539083522
ACH-000383,-0.2752409104711304
ACH-000387,-0.27722022538273866
ACH-000389,-0.2803776713967233
ACH-000390,-0.218609291578998
ACH-000393,-0.23788001435492184
ACH-000395,-0.09426447264075953
ACH-000396,-0.30634111384429763
ACH-000397,-0.1595190373804425
ACH-000401,-0.20015540054764036
ACH-000402,-0.5239278053032865
ACH-000403,-0.12529372167601216
ACH-000404,-0.08731426479816587
ACH-000406,-0.21435346260788596
ACH-000407,-0.1170600884026458
ACH-000408,-0.30683344097645865
ACH-000410,-0.1903488341374209
ACH-000411,-0.13711571978810255
ACH-000414,-0.04360841803780654
ACH-000415,-0.14574848097721196
ACH-000416,-0.15796516786853368
ACH-000420,-0.24715408318315954
ACH-000421,-0.05734695142454626
ACH-000424,-0.1225889692511406
ACH-000425,-0.14676335354354247
ACH-000426,-0.24989467207468855
ACH-000427,-0.2669704204952764
ACH-000433,-0.25790788414941584
ACH-000435,-0.23876302381109715
ACH-000436,-0.2301071964400077
ACH-000444,-0.04014504186503818
ACH-000445,-0.1358951922844135
ACH-000448,-0.1810425313132059
ACH-000450,-0.2684382634212911
ACH-000452,-0.1821867151719221
ACH-000454,-0.3915138986011871
ACH-000458,-0.1210537409670161
ACH-000459,-0.3017203490322125
ACH-000460,-0.05053303197635999
ACH-000461,-0.1817552132843016
ACH-000463,-0.2330945485381766
ACH-000464,-0.2294770269760616
ACH-000466,-0.2558396633222645
ACH-000467,-0.1670152616063553
ACH-000468,-0.2578223608842974
ACH-000469,-0.2034176639138744
ACH-000470,-0.12386031773425875
ACH-000471,-0.2555529515754961
ACH-000472,-0.11546761370573305
ACH-000473,-0.08720763505184842
ACH-000475,-0.08574788438347113
ACH-000476,-0.046441575732922666
ACH-000477,-0.19886470001464804
ACH-000479,-0.38042933781899
ACH-000480,-0.25190463795147466
ACH-000481,-0.09266684770550693
ACH-000483,-0.11878344467270725
ACH-000484,-0.17647790687501233
ACH-000485,-0.2501895267923661
ACH-000486,-0.09158466979309368
ACH-000487,-0.11613838109117015
ACH-000488,-0.0763164898405797
ACH-000490,-0.1359327818188737
ACH-000491,-0.07417733568403337
ACH-000495,-0.2037786584745944
ACH-000496,-0.03753532065851818
ACH-000499,-0.2549254127820186
ACH-000500,0.3526363137526878
ACH-000502,-0.1799732105828644
ACH-000503,-0.15099669581721406
ACH-000505,-0.2603980554465084
ACH-000507,-0.3090492554117681
ACH-000510,-0.2132434835172196
ACH-000511,-0.0314417075315764
ACH-000512,-0.2760039109295609
ACH-000516,-0.1119582862104523
ACH-000517,-0.10322680145563748
ACH-000518,-0.03741954422432739
ACH-000520,-0.3263886320577921
ACH-000521,-0.18074645224412336
ACH-000522,-0.16704885193599855
ACH-000524,-0.08992831235763875
ACH-000527,-0.2472323023956773
ACH-000528,-0.09334779949935884
ACH-000537,-0.031576966164471906
ACH-000541,-0.1973368625267684
ACH-000542,-0.0787808770302414
