,GABPA (2551)
ACH-000004,-0.2762382323803174
ACH-000005,-0.6189184848012899
ACH-000007,-0.7376723572637004
ACH-000009,-0.4180637348865853
ACH-000011,-0.4500459464790322
ACH-000012,-0.5647777326227441
ACH-000013,-0.4341330335549004
ACH-000014,-0.09222541536321847
ACH-000015,-0.3134628249195549
ACH-000017,-0.2873863924922905
ACH-000018,-0.27533075540505164
ACH-000019,-0.4554791087328608
ACH-000021,-0.3072021421779309
ACH-000022,-0.4033330611037933
ACH-000025,-0.44424818290709145
ACH-000028,-0.5057188790719567
ACH-000030,-0.4749268767501727
ACH-000035,-0.6229210782371304
ACH-000036,-0.5321879499308202
ACH-000037,-0.377622656430512
ACH-000039,-0.4723021019368791
ACH-000040,-0.4906067079049785
ACH-000041,-0.1526568381824366
ACH-000042,-0.5394873084855587
ACH-000045,-0.4355103484342028
ACH-000047,-0.6169845588512678
ACH-000052,-0.4632631645886275
ACH-000053,-0.5439411307565306
ACH-000054,-0.5994380679660083
ACH-000055,-0.5665688026439064
ACH-000060,-0.4599439401026586
ACH-000067,-0.5129528314104327
ACH-000070,-0.38816521529080333
ACH-000075,-0.41565894260042135
ACH-000078,-0.5765033782320489
ACH-000082,-0.7366158284484164
ACH-000085,-0.5151746322650653
ACH-000086,-0.5819282427547106
ACH-000087,-0.33069256642937417
ACH-000092,-0.4038128729090624
ACH-000095,-0.41423078144493786
ACH-000097,-0.684471883759447
ACH-000098,-0.6103989680054469
ACH-000099,-0.4033851128943897
ACH-000108,-0.26447466009528564
ACH-000113,-0.22802125430263126
ACH-000116,-0.5298136697172816
ACH-000118,-0.3904367926020862
ACH-000120,-0.1929201455493168
ACH-000123,-0.4189149749974187
ACH-000127,-0.27699252442579103
ACH-000128,-0.4894276448230238
ACH-000132,-0.31659292073519496
ACH-000133,-0.4357198160238168
ACH-000137,-0.43528204190132375
ACH-000138,-0.17489217176716462
ACH-000142,-0.465219017975963
ACH-000143,-0.6197181215099236
ACH-000146,-0.20187244679373836
ACH-000148,-0.2716456371706424
ACH-000150,-0.6666375248557008
ACH-000152,-0.5061126372954246
ACH-000153,-0.5651616997721044
ACH-000159,-0.5132720565821605
ACH-000160,-0.4294542025633408
ACH-000163,-0.315232765586945
ACH-000167,0.20599686342488727
ACH-000168,-0.34461953702796955
ACH-000169,-0.3382494847151778
ACH-000178,-0.5632238501484329
ACH-000183,-0.4542502668893427
ACH-000188,-0.7766332110790639
ACH-000189,-0.3716592906110364
ACH-000190,-0.8688591757268149
ACH-000198,-0.372047481538952
ACH-000203,-0.5787196916274139
ACH-000204,-0.5230555255457681
ACH-000206,-0.30837514565517377
ACH-000207,-0.4550901729119519
ACH-000208,-0.30632134763828833
ACH-000210,-0.3643254673208084
ACH-000211,-0.2339419524820193
ACH-000215,-0.3479023715646358
ACH-000221,-0.6156827700835205
ACH-000222,-0.349288070969444
ACH-000223,-0.3766267137468595
ACH-000226,-0.5525754204263373
ACH-000227,-0.5965387574832886
ACH-000228,-0.3317323394572467
ACH-000231,-0.4939530880289446
ACH-000232,-0.4103756418190596
ACH-000233,-0.3639927858086979
ACH-000234,-0.282083617312977
ACH-000235,-0.34847964071053983
ACH-000237,-0.474516969225152
ACH-000238,-0.3275494805418184
ACH-000242,-0.5177919367412289
ACH-000243,-0.19484649827287268
ACH-000244,-0.5943676384962494
ACH-000246,-0.5549249644168758
ACH-000248,-0.4606548153923647
ACH-000250,-0.7309146531370764
ACH-000251,-0.3298798742220085
ACH-000252,-0.6938744952194172
ACH-000253,-0.31359382189961943
ACH-000255,-0.6328096639090396
ACH-000256,-0.22284849178373084
ACH-000257,-0.7305806082322048
ACH-000258,-0.4611988096777754
ACH-000259,-0.4307099435462145
ACH-000260,-0.7329250788063852
ACH-000261,-0.4730611712343759
ACH-000262,-0.4524943352466448
ACH-000263,-0.194292475197667
ACH-000264,-0.6459085886975907
ACH-000265,-0.2850548953842197
ACH-000266,-0.4388108098599433
ACH-000272,-0.39809734252368
ACH-000274,-0.33584186592637205
ACH-000277,-0.28574776363782195
ACH-000278,-0.4629410070011246
ACH-000279,-0.3410697840836933
ACH-000280,-0.2665625351972505
ACH-000281,-0.5017054941445175
ACH-000288,-0.3790495683706687
ACH-000291,-0.4715818209737277
ACH-000293,-0.19377403082394928
ACH-000294,-0.3976016011778244
ACH-000295,-0.18747750279754405
ACH-000296,-0.6865983789475915
ACH-000302,-0.484373206404217
ACH-000304,-0.5019277316565242
ACH-000307,-0.3825628182650112
ACH-000308,-0.4036513633172156
ACH-000310,-0.4163326508781369
ACH-000311,-0.4943584180017984
ACH-000312,-0.4975463691198237
ACH-000315,-0.23598764027472036
ACH-000316,-0.4742499519072378
ACH-000317,-0.4873138740162466
ACH-000318,-0.5239517475319879
ACH-000319,-0.3639681948093489
ACH-000320,-0.17351373073200016
ACH-000322,-0.504891358291037
ACH-000323,-0.34120782327830523
ACH-000324,-0.5811685903000626
ACH-000329,-0.1762059618397944
ACH-000330,-0.3405774933372869
ACH-000331,-0.4899638880097832
ACH-000332,-0.4639484982645929
ACH-000334,-0.3249011328544757
ACH-000335,-0.4418644124041921
ACH-000336,-0.4624011778227026
ACH-000337,-0.432365282464438
ACH-000338,-0.8463409062113925
ACH-000339,-0.4421692273284295
ACH-000341,-0.5116838067934333
ACH-000348,-0.35306267547901177
ACH-000350,-0.19264563897048065
ACH-000352,-0.4706159379337271
ACH-000356,-0.5741026001433824
ACH-000361,-0.3012094746362681
ACH-000362,-0.16899322288088134
ACH-000363,-0.6784091816574683
ACH-000364,-0.4972173715988129
ACH-000365,-0.4765931178264344
ACH-000366,-0.4888040895579853
ACH-000368,-0.4945763036783343
ACH-000374,-0.17868637829034067
ACH-000375,-0.3684677704882971
ACH-000376,-0.4129080351506736
ACH-000381,-0.5064006810211595
ACH-000383,-0.38187459180179184
ACH-000387,-0.6237295351816796
ACH-000389,-0.32214404524921597
ACH-000390,-0.8456213590425588
ACH-000393,-0.31731504775464736
ACH-000395,-0.3347492397904001
ACH-000396,-0.43696363827511575
ACH-000397,-0.5104437637077645
ACH-000401,-0.3594785703079956
ACH-000402,-0.23835084456814534
ACH-000403,-0.4137110495795637
ACH-000404,-0.2585746801820353
ACH-000406,-0.30612481676413245
ACH-000407,-0.5257117972265919
ACH-000408,-0.2809606445032081
ACH-000410,-0.2704023899649712
ACH-000411,-0.4651981054442491
ACH-000414,-0.4247094572428101
ACH-000415,-0.5098112599339097
