,MAF1 (84232)
ACH-000004,0.14358141609441175
ACH-000005,-0.19133910992942732
ACH-000007,-0.0601784173686651
ACH-000009,-0.10457609875189176
ACH-000011,-0.10776428652418896
ACH-000012,-0.12246073813875187
ACH-000013,-0.030245603684271163
ACH-000014,-0.3391590483630965
ACH-000015,0.01415129340556644
ACH-000017,-0.09188042020708373
ACH-000018,-0.05611306959789639
ACH-000019,-0.2876852488106324
ACH-000021,-0.0479034757557925
ACH-000022,-0.1801290257458892
ACH-000025,0.008388345652200306
ACH-000028,-0.21983893661874968
ACH-000030,0.04339500994837709
ACH-000035,0.0002932675853585598
ACH-000036,-0.17310088042074134
ACH-000037,-0.12995925059553315
ACH-000039,-0.13909642470079822
ACH-000040,-0.045824593017398836
ACH-000041,-0.3440070736305765
ACH-000042,-0.046414162252900515
ACH-000045,0.08987446133385822
ACH-000047,-0.1694560722799921
ACH-000052,-0.2884594863406336
ACH-000053,-0.14848915557205428
ACH-000054,-0.07583769532853492
ACH-000055,-0.2595967272029971
ACH-000060,-0.15988950135273794
ACH-000067,-0.01409005962719281
ACH-000070,-0.5846892021893151
ACH-000075,-0.039780593427555896
ACH-000078,-0.14064929713581592
ACH-000082,-0.08247809128472833
ACH-000085,0.012177820500905968
ACH-000086,-0.011891798289423742
ACH-000087,-0.12489805751049653
ACH-000092,-0.1434621216789456
ACH-000095,-0.2424540090285207
ACH-000097,-0.3056058113437629
ACH-000098,0.06264412071330837
ACH-000099,-0.1015194033611704
ACH-000108,-0.12255137574729776
ACH-000113,-0.16014777005615066
ACH-000116,-0.2377539954761456
ACH-000118,-0.08847914645619191
ACH-000120,-0.05038709783510333
ACH-000123,-0.15273937326186826
ACH-000127,-0.14355945748179988
ACH-000128,-0.09663183293124362
ACH-000132,-0.0438527065566818
ACH-000133,-0.29597306002502954
ACH-000137,0.04248697325858677
ACH-000138,-0.062364543586092815
ACH-000142,0.004232237322785401
ACH-000143,-0.2176494461884988
ACH-000146,-0.19752807211437895
ACH-000148,-0.19272130398551626
ACH-000150,-0.11738761438414848
ACH-000152,-0.14087198747648114
ACH-000153,-0.17503738814952632
ACH-000159,-0.061060618423828324
ACH-000160,-0.11285348999451768
ACH-000163,-0.2134880497340791
ACH-000167,-0.11000959406282948
ACH-000168,0.2972406055862631
ACH-000169,-0.06660125911902821
ACH-000178,-0.07148126386484573
ACH-000183,-0.12166613865571314
ACH-000188,-0.13588921561226391
ACH-000189,-0.3661839728857481
ACH-000190,-0.32998793611693034
ACH-000198,-0.03231481868900095
ACH-000203,0.4351074994747817
ACH-000204,0.11696031249255368
ACH-000206,-0.01567685960429101
ACH-000207,-0.05803367620366987
ACH-000208,-0.08182543463472315
ACH-000210,0.15971300479651265
ACH-000211,-0.10637367664871304
ACH-000215,-0.08573995837753942
ACH-000221,-0.030868581399257567
ACH-000222,-0.16972720315816114
ACH-000223,-0.22769673573039706
ACH-000226,-0.07675931232526463
ACH-000227,-0.09645936707918594
ACH-000228,0.014106927098237363
ACH-000231,-0.04112353168388084
ACH-000232,-0.11167800164917814
ACH-000233,-0.11567282581808125
ACH-000234,-0.32695051808160625
ACH-000235,-0.0844897981384475
ACH-000237,-0.12841669478150533
ACH-000238,-0.14705485351904574
ACH-000242,-0.14562035659075467
ACH-000243,-0.1525935460876688
ACH-000244,-0.05245684675892405
ACH-000246,-0.10351385888779696
ACH-000248,-0.2222131688334092
ACH-000250,-0.2617437746709491
ACH-000251,-0.031217937781880818
ACH-000252,-0.271803653053021
ACH-000253,-0.13288536191317368
ACH-000255,0.043967483693232334
ACH-000256,-0.3221629501799553
ACH-000257,-0.3856616204979226
ACH-000258,-0.07999776993873232
ACH-000259,-0.08460480998607207
ACH-000260,-0.260537280662116
ACH-000261,-0.016572394145628732
ACH-000262,-0.02277300754098681
ACH-000263,-0.13047577317556586
ACH-000264,-0.1918511731330224
ACH-000265,0.044899443273853694
ACH-000266,-0.1136146907234018
ACH-000272,-0.16957669005069262
ACH-000274,-0.22414701152429975
ACH-000277,-0.05972867017917745
ACH-000278,-0.050758367639570534
ACH-000279,-0.3345448924809928
ACH-000280,-0.12701762185947613
ACH-000281,-0.1883671587364444
ACH-000288,-0.09859441702580997
ACH-000291,-0.08514106747680379
ACH-000293,-0.059352861340668826
ACH-000294,-0.0827497368638971
ACH-000295,-0.3848518949507921
ACH-000296,-0.009464590639131215
ACH-000302,0.1350497624703832
ACH-000304,0.07929347342758289
ACH-000307,-0.09581163961328527
ACH-000308,-0.21175452040325254
ACH-000310,-0.19488302636312446
ACH-000311,-0.13248469507431085
ACH-000312,-0.25915867425455696
ACH-000315,-0.051857345321696696
ACH-000316,-0.14173464959478174
ACH-000317,-0.09543364600875562
ACH-000318,-0.2983779568940368
ACH-000319,-0.1948047851151591
ACH-000320,-0.16887235532121378
ACH-000322,-0.3922967875824144
ACH-000323,-0.07209789122735498
ACH-000324,-0.14590080954011422
ACH-000329,-0.1931542317103533
ACH-000330,-0.13067833137582532
ACH-000331,-0.008572771011174986
ACH-000332,-0.08962777796555274
ACH-000334,-0.09516939551041056
ACH-000335,-0.1990832589471028
ACH-000336,-0.003016518873796288
ACH-000337,-0.2474939637504421
ACH-000338,-0.3454913541461544
ACH-000339,-0.07881051889323057
ACH-000341,-0.2689674201970215
ACH-000348,-0.18503126714229864
ACH-000350,-0.10444673569243504
ACH-000352,-0.4636439357118459
ACH-000356,0.009199042640604926
ACH-000361,-0.15844673257454786
ACH-000362,-0.03065423975465487
ACH-000363,-0.2963848275654345
ACH-000364,-0.1343284197463755
ACH-000365,-0.09230018020429244
ACH-000366,-0.12028546586545805
ACH-000368,-0.0617647074260407
ACH-000374,-0.13396587680643154
ACH-000375,-0.09753612125717302
ACH-000376,-0.2228097693342426
ACH-000381,-0.20521499596452134
ACH-000383,-0.15380337433771935
ACH-000387,-0.3376413051160846
ACH-000389,-0.2065562180106648
ACH-000390,-0.14090934454488416
ACH-000393,-0.04493885830546383
ACH-000395,-0.1331219719410327
ACH-000396,-0.07314432885717755
ACH-000397,0.03342292774962592
ACH-000401,0.014358913616851718
ACH-000402,-0.03683698122096763
ACH-000403,-0.0975652208220534
ACH-000404,0.06908446979306189
ACH-000406,-0.2683930550366492
ACH-000407,-0.17679684532031115
ACH-000408,-0.11836556170151125
ACH-000410,-0.17023441956388455
