,NDUFA4L2 (56901)
ACH-000004,-0.14355319672306413
ACH-000005,0.053547974509841376
ACH-000007,-0.13484813377445848
ACH-000009,-0.2027999659551508
ACH-000011,-0.19882395086629
ACH-000012,-0.29248488526526445
ACH-000013,-0.17895366445348512
ACH-000014,-0.17517694778750098
ACH-000015,-0.3309071675470644
ACH-000017,-0.17619825113616697
ACH-000018,-0.2379755365179901
ACH-000019,-0.07822514762799676
ACH-000021,-0.21913020159372626
ACH-000022,-0.2993032451807164
ACH-000025,-0.3404976224535363
ACH-000028,-0.3054530393882524
ACH-000030,-0.23093074616942336
ACH-000035,-0.20534435619581667
ACH-000036,-0.1914221404400244
ACH-000037,-0.2126525588050905
ACH-000039,-0.212246855490232
ACH-000040,-0.2472641200966171
ACH-000041,-0.17409003495555975
ACH-000042,-0.15473964872016654
ACH-000045,-0.1930442111545665
ACH-000047,-0.11979276780436085
ACH-000052,-0.3397732631830249
ACH-000053,-0.13307916647995333
ACH-000054,-0.2276847862831889
ACH-000055,-0.29317204147710313
ACH-000060,-0.19224194420644952
ACH-000067,-0.3210143588893901
ACH-000070,-0.24014440563948156
ACH-000075,-0.31983834465873273
ACH-000078,-0.2750441257560127
ACH-000082,-0.2012155440567034
ACH-000085,-0.3889938551074863
ACH-000086,-0.3666112449510113
ACH-000087,-0.17320072606267314
ACH-000092,-0.1835557580102072
ACH-000095,-0.0967778385662273
ACH-000097,-0.1692946788076787
ACH-000098,-0.17368174822593874
ACH-000099,-0.11533268957955765
ACH-000108,0.014552507338579962
ACH-000113,-0.12624115429603436
ACH-000116,-0.12269744032705315
ACH-000118,-0.1064416934869986
ACH-000120,-0.14750215002776385
ACH-000123,-0.23195528614570196
ACH-000127,-0.1439819838439106
ACH-000128,-0.4102378976866911
ACH-000132,0.04567890652669937
ACH-000133,-0.3136320633163946
ACH-000137,-0.2855096116570114
ACH-000138,-0.30962020921395084
ACH-000142,-0.1751988811283582
ACH-000143,-0.1421745927146783
ACH-000146,-0.08199309184981955
ACH-000148,-0.2503614991880584
ACH-000150,-0.4312424851326753
ACH-000152,-0.15336823070179587
