,MTRNR2L3 (100462983)
ACH-000004,-0.13350820770879054
ACH-000005,-0.19140863223562601
ACH-000007,-0.2401914424628282
ACH-000009,-0.312758957406188
ACH-000011,-0.30157314370137506
ACH-000012,-0.12396967336185315
ACH-000013,-0.10362480584730396
ACH-000014,-0.23925941366534895
ACH-000015,-0.08816366379016242
ACH-000017,-0.2908361000111034
ACH-000018,-0.19767880038942914
ACH-000019,-0.38968826385309097
ACH-000021,-0.13449339383378814
ACH-000022,-0.13400686577654256
ACH-000025,-0.08838065745550157
ACH-000028,-0.617847823220015
ACH-000030,-0.2347714390281925
ACH-000035,-0.15964375300074632
ACH-000036,-0.1839694434521076
ACH-000037,-0.13867819987224755
ACH-000039,-0.3338619346192159
ACH-000040,-0.12939572860877366
ACH-000041,-0.2274870781369395
ACH-000042,-0.2447839249331056
ACH-000045,-0.12752988254456135
ACH-000047,-0.2756637288491485
ACH-000052,-0.261636554554091
ACH-000053,-0.1905608763213605
ACH-000054,-0.24566178930864435
ACH-000055,-0.2405547778572993
ACH-000060,-0.2051811204933124
ACH-000067,-0.16047645139264435
ACH-000070,-0.09702349814883607
ACH-000075,-0.12752736525132527
ACH-000078,-0.2855481432854711
ACH-000082,-0.2987174161324074
ACH-000085,-0.3994389654494982
ACH-000086,-0.12074761947984605
ACH-000087,0.0250427593032176
ACH-000092,-0.17834464462945987
ACH-000095,-0.3124548935412996
ACH-000097,-0.3519634146517225
ACH-000098,-0.13791417459554278
ACH-000099,-0.3807274275224576
ACH-000108,-0.10775261517393148
ACH-000113,-0.19549543802820726
ACH-000116,-0.1403725361228184
ACH-000118,-0.06118240869416885
ACH-000120,-0.356674026859752
ACH-000123,-0.15805875230579905
ACH-000127,-0.253803318425031
ACH-000128,-0.04438470554375576
ACH-000132,-0.13230483583770936
ACH-000133,-0.1827756628663928
ACH-000137,-0.21890643569904528
ACH-000138,-0.2898993626613776
ACH-000142,-0.18497536158936148
ACH-000143,-0.33074588620663914
ACH-000146,-0.16150537205499713
ACH-000148,-0.2041213946068474
ACH-000150,-0.321211828296201
ACH-000152,-0.15701126573460775
ACH-000153,-0.07684582845137318
ACH-000159,-0.19412720551045945
ACH-000160,-0.26516696638563003
ACH-000163,-0.08880595184416319
ACH-000167,0.0906513272887197
ACH-000168,-0.2488873714492888
ACH-000169,-0.13512435403882564
ACH-000178,-0.3172194383016628
ACH-000183,-0.2087708344062364
ACH-000188,-0.1322056927094555
ACH-000189,-0.26792440702291914
ACH-000190,-0.30451738602628714
ACH-000198,-0.20031012186076885
ACH-000203,0.08198616030872412
ACH-000204,-0.2561615952428786
ACH-000206,-0.17257190241660614
ACH-000207,-0.025668229127580846
ACH-000208,-0.3257586289768429
ACH-000210,-0.1066156014876502
ACH-000211,-0.3463729807784073
ACH-000215,-0.17317590356844548
ACH-000221,-0.10104709560387948
ACH-000222,-0.1949176690034518
ACH-000223,-0.2101792758265116
ACH-000226,-0.21653446121614126
ACH-000227,-0.25463952182693594
ACH-000228,-0.08855821799667918
ACH-000231,-0.2765650689583918
ACH-000232,-0.2509415818707923
ACH-000233,-0.2252507873017503
ACH-000234,-0.17376027250777226
ACH-000235,-0.18557424489536228
ACH-000237,-0.13253792210783102
ACH-000238,-0.17632191464870778
ACH-000242,-0.2898575532959794
ACH-000243,-0.062293682921730466
ACH-000244,-0.125950640464592
ACH-000246,-0.30846033058248473
ACH-000248,-0.18320187417995093
ACH-000250,-0.151645460322992
ACH-000251,0.07711385684879052
ACH-000252,-0.4522314764455005
ACH-000253,-0.23095102029103975
ACH-000255,-0.17639644539844332
ACH-000256,-0.32039952931971305
ACH-000257,0.0073117639650143625
ACH-000258,-0.38917347239165545
ACH-000259,-0.2960849085606719
ACH-000260,-0.2535413751082787
ACH-000261,-0.3291206515957033
ACH-000262,-0.14512458535695175
ACH-000263,-0.23090636253753105
ACH-000264,-0.18816170336607893
ACH-000265,-0.16258942127949702
ACH-000266,-0.14142002661703526
ACH-000272,-0.3484842365805751
ACH-000274,-0.27986144822919234
ACH-000277,-0.6915881140184788
ACH-000278,-0.1573435636078189
ACH-000279,-0.11760884723169288
ACH-000280,-0.2626274830828248
ACH-000281,-0.20408509046657308
ACH-000288,-0.19974406813337087
ACH-000291,-0.2555212898513653
ACH-000293,-0.2157637470234742
ACH-000294,-0.23035119680964355
ACH-000295,-0.320123802832298
ACH-000296,-0.3461862337236715
ACH-000302,-0.13364095336320728
ACH-000304,-0.10866109894947812
ACH-000307,-0.24563244178138866
ACH-000308,-0.1390358283255034
ACH-000310,-0.2117989906077659
ACH-000311,-0.16680636481435718
ACH-000312,-0.2286050467841675
ACH-000315,0.016116392380646796
ACH-000316,-0.10002981867346783
ACH-000317,-0.2523155880514161
ACH-000318,-0.19883378189468467
ACH-000319,-0.1836371350922466
ACH-000320,-0.13328589195678206
ACH-000322,-0.4931670099410295
ACH-000323,-0.011507883936996309
ACH-000324,-0.22097829295315305
ACH-000329,-0.2398371274322845
ACH-000330,-0.2969202932257785
ACH-000331,-0.22701154130872336
ACH-000332,-0.18481597780542147
ACH-000334,-0.3171394576220317
ACH-000335,0.012625663401179163
ACH-000336,-0.18107509500166
ACH-000337,-0.21862057516079347
ACH-000338,-0.11461546326593487
ACH-000339,-0.18809923366499814
ACH-000341,-0.2447229435979169
ACH-000348,-0.2604165435483388
ACH-000350,-0.4834393592608491
ACH-000352,-0.3979218375775516
ACH-000356,-0.23985516248238176
ACH-000361,-0.06402612821280036
ACH-000362,-0.24686724221391285
ACH-000363,-0.1535018819461271
ACH-000364,-0.14859263741060993
ACH-000365,-0.223585773000168
ACH-000366,-0.14500638850894576
ACH-000368,-0.19022111615424647
ACH-000374,-0.052081546490600115
ACH-000375,-0.2257474917683544
ACH-000376,-0.26341493247014364
ACH-000381,-0.14455348727720413
ACH-000383,-0.15851856604773434
ACH-000387,-0.057688659874370066
ACH-000389,-0.16030382514731814
ACH-000390,-0.1819724704102816
ACH-000393,-0.11762622299163103
ACH-000395,-0.4004649260359344
ACH-000396,-0.533678058802502
ACH-000397,-0.2205965779002562
ACH-000401,-0.2093858150915608
ACH-000402,-0.19180842230657455
ACH-000403,-0.3879813747876125
ACH-000404,-0.2820217288071247
ACH-000406,-0.23093814143036304
ACH-000407,-0.2547525752172164
ACH-000408,-0.15157932055012086
ACH-000410,-0.1727711769718904
ACH-000411,-0.23765724869745425
ACH-000414,-0.16177515171691542
ACH-000415,-0.1411650070200138
ACH-000416,-0.1653362212302818
ACH-000420,-0.5011341576600623
ACH-000421,-0.2755189066722624
ACH-000424,-0.30485974539911315
