,FRG2C (100288801)
ACH-000004,-0.08083421384336625
ACH-000005,0.13348261637669834
ACH-000007,-0.5242723031015799
ACH-000009,-0.3034321576768394
ACH-000011,-0.5647065237178571
ACH-000012,-0.4546005549699384
ACH-000013,-0.09059605894636673
ACH-000014,-0.3977455525779984
ACH-000015,-0.33780734580546584
ACH-000017,-0.3717279112125027
ACH-000018,-0.06502411269838093
ACH-000019,-0.5234231042089629
ACH-000021,-0.1916290765845694
ACH-000022,-0.2438812303541323
ACH-000025,-0.09185732275394902
ACH-000028,-0.4428860437205453
ACH-000030,-0.2960368207599474
ACH-000035,-0.31484750632004593
ACH-000036,-0.3371542867524379
ACH-000037,-0.2689121613752294
ACH-000039,-0.3705293784450711
ACH-000040,-0.1978494132780836
ACH-000041,-0.2622203163276265
ACH-000042,-0.26713881671069944
ACH-000045,-0.05645071111100741
ACH-000047,-0.33345488300034776
ACH-000052,-0.34445820491705137
ACH-000053,-0.2629600941376904
ACH-000054,-0.25771130155001426
ACH-000055,-0.3752324500316712
ACH-000060,-0.1989565010442348
ACH-000067,-0.4843416364288825
ACH-000070,-0.20341105072875976
ACH-000075,-0.4021308102828637
ACH-000078,-0.4419712671460104
ACH-000082,-0.4048503402222855
ACH-000085,-0.16006466427352534
ACH-000086,-0.220353899426746
ACH-000087,-0.2236063361796637
ACH-000092,-0.3965293765544566
ACH-000095,-0.3454290135615624
ACH-000097,-0.5503744684197263
ACH-000098,-0.11686044120687546
ACH-000099,-0.2508876400715027
ACH-000108,-0.13619511806818682
ACH-000113,-0.11564322078914516
ACH-000116,-0.2283227021456396
ACH-000118,-0.15119211399736776
ACH-000120,-0.1900457551424175
ACH-000123,-0.35382451407352034
ACH-000127,-0.2932002340945531
ACH-000128,-0.1417891782938031
ACH-000132,-0.055860564420866884
ACH-000133,-0.2026535468930631
ACH-000137,-0.3043811279592032
ACH-000138,-0.1921164181755873
ACH-000142,-0.07656812277276663
ACH-000143,-0.31848571800300185
ACH-000146,-0.32019929900464983
ACH-000148,-0.212239021190558
ACH-000150,-0.4942139200102639
ACH-000152,-0.25921177121527816
ACH-000153,-0.4721138453694658
ACH-000159,-0.2891088051559293
ACH-000160,0.015583157375428713
ACH-000163,-0.2960582392718963
ACH-000167,0.07901357189126569
ACH-000168,-0.21105719319286745
ACH-000169,-0.2544663285867429
ACH-000178,-0.3957886358103592
ACH-000183,-0.33170784278109955
ACH-000188,-0.2956173823521183
ACH-000189,-0.2516872687353505
ACH-000190,-0.6044513570491755
ACH-000198,-0.2897490094565488
ACH-000203,-1.0174454459521072
ACH-000204,-0.2095701541684836
ACH-000206,-0.4644746279955883
ACH-000207,-0.4233475405055641
ACH-000208,-0.2010105424000633
ACH-000210,-0.1906744414398817
ACH-000211,-0.2552764242273391
ACH-000215,-0.1911368831081968
ACH-000221,-0.3243131485839905
ACH-000222,-0.2344165765047119
ACH-000223,-0.2303301555565041
ACH-000226,-0.3431214278561019
ACH-000227,-0.1368564738349543
ACH-000228,-0.3244679529355818
ACH-000231,-0.3844165007064224
ACH-000232,-0.36017882322084754
ACH-000233,-0.1244677710679897
ACH-000234,-0.4023668749847229
ACH-000235,-0.283785547856757
ACH-000237,-0.31800378593679
ACH-000238,-0.36058525673305103
ACH-000242,-0.4389134570637708
ACH-000243,-0.3120859198460673
ACH-000244,-0.34980657893983713
ACH-000246,-0.3874457451347288
ACH-000248,-0.2985823680742044
ACH-000250,-0.1669111855061689
ACH-000251,-0.31490571315896543
ACH-000252,-0.35876287089572123
ACH-000253,-0.3064074393626915
ACH-000255,-0.2264182525475209
ACH-000256,-0.2817492985056021
ACH-000257,-0.3284484702471189
ACH-000258,-0.228054142979952
ACH-000259,-0.3040881147595432
ACH-000260,-0.5008110587208746
ACH-000261,-0.240750445656817
ACH-000262,-0.20548703091799636
ACH-000263,-0.3453713050863604
ACH-000264,-0.4063463307631892
ACH-000265,-0.12243243398761558
ACH-000266,-0.19809374477237468
ACH-000272,-0.3994936201827984
ACH-000274,-0.24399485293241105
ACH-000277,-0.3030912342496801
ACH-000278,-0.3447364626284138
ACH-000279,-0.2753140393429521
ACH-000280,-0.2182660289143062
ACH-000281,-0.11842266220870737
ACH-000288,-0.27734052666202585
ACH-000291,-0.39827905293520544
ACH-000293,-0.12772545590326578
ACH-000294,-0.3785446525941939
ACH-000295,-0.13333478684881742
ACH-000296,-0.41846020382090204
ACH-000302,-0.1925093724473961
ACH-000304,-0.4048164326544169
ACH-000307,-0.13862612493699486
ACH-000308,-0.21793862890022964
ACH-000310,-0.35421997685551393
ACH-000311,-0.2272695806119153
ACH-000312,-0.2384754895653804
ACH-000315,-0.2567932261362329
ACH-000316,-0.12013792318571873
ACH-000317,-0.2635228366143538
ACH-000318,-0.2150262498428028
ACH-000319,-0.2736883875408682
ACH-000320,-0.3628992181594513
ACH-000322,-0.3668966147949871
ACH-000323,-0.2331648451326652
ACH-000324,-0.4210401953976175
ACH-000329,-0.38663594731855294
ACH-000330,-0.3743277954972053
ACH-000331,-0.3922645677990729
ACH-000332,-0.3214201436064098
ACH-000334,-0.2252290217682509
ACH-000335,-0.17966580328936696
ACH-000336,-0.25376738562776485
ACH-000337,-0.29421604312795435
ACH-000338,-0.10706757887667376
ACH-000339,-0.4247075103773011
ACH-000341,-0.24328337811508155
ACH-000348,-0.19404715751734136
ACH-000350,-0.2245473824593168
ACH-000352,-0.15575717183549811
ACH-000356,-0.13139409081158188
ACH-000361,-0.3302320739152088
ACH-000362,-0.1608835590732792
ACH-000363,-0.3024770659357152
ACH-000364,-0.12355090775580667
ACH-000365,-0.34952869249074925
ACH-000366,-0.19117467217916415
ACH-000368,-0.21592882258576865
ACH-000374,-0.5913268599310849
ACH-000375,-0.4793368586559943
ACH-000376,-0.260365229573194
ACH-000381,-0.4159422448919639
ACH-000383,-0.2475286260918848
ACH-000387,-0.3867706545462369
ACH-000389,-0.3455144182399073
ACH-000390,-0.2909647055769912
ACH-000393,-0.2727881580067788
ACH-000395,-0.3225213501577777
ACH-000396,-0.27106043124322143
ACH-000397,-0.3454923865043231
ACH-000401,-0.05020418559960405
ACH-000402,-0.29740833052148424
ACH-000403,-0.34510880090328205
ACH-000404,-0.3991538639066477
ACH-000406,-0.2661911937904508
ACH-000407,-0.3271302687117273
ACH-000408,-0.0937626245247304
ACH-000410,-0.15230830135365886
ACH-000411,-0.26275706832709433
