,ACMSD (130013)
ACH-000004,0.1153472398616221
ACH-000005,-0.006911575520939811
ACH-000007,0.02752566559132861
ACH-000009,-0.03441828437780972
ACH-000011,0.18964126187283809
ACH-000012,0.11470787424859401
ACH-000013,0.10547147970181676
ACH-000014,0.024575157237450147
ACH-000015,0.1366051928203663
ACH-000017,0.17555787308783125
ACH-000018,0.1641689335934949
ACH-000019,0.05825814704772881
ACH-000021,0.16315379194948362
ACH-000022,0.1179252738650526
ACH-000025,0.053219226790116266
ACH-000028,0.20220541040699289
ACH-000030,0.025003910043437126
ACH-000035,0.09909022524354172
ACH-000036,0.1512714330523847
ACH-000037,0.15379208310282244
ACH-000039,-0.0039197706513113
ACH-000040,0.07921305391515908
ACH-000041,0.14220383206228393
ACH-000042,0.16053492115022086
ACH-000045,0.08062181667514197
ACH-000047,-0.057473617277382365
ACH-000052,0.22013508299165535
ACH-000053,0.1140511906088134
ACH-000054,0.034328863861005934
ACH-000055,0.1614099596421434
ACH-000060,0.03282562608810408
ACH-000067,0.06843894912138238
ACH-000070,0.07493975154289458
ACH-000075,0.028489024310338944
ACH-000078,0.20863507286194571
ACH-000082,0.03767304297542677
ACH-000085,0.10252159591195692
ACH-000086,-0.038880785692994815
ACH-000087,0.03400836473361379
ACH-000092,-0.03198412807330917
ACH-000095,0.03221557012046532
ACH-000097,0.06879773103697312
ACH-000098,-0.030953367822204314
ACH-000099,0.20207672455047626
ACH-000108,0.1154829745476127
ACH-000113,0.10271449008205193
ACH-000116,0.086867266732888
ACH-000118,0.13262438628297554
ACH-000120,0.23667510328414595
ACH-000123,0.08222685420799238
ACH-000127,0.19922943288596312
ACH-000128,0.19221736674584008
ACH-000132,0.14190284953587962
ACH-000133,0.1364648865142833
ACH-000137,0.17010880100842962
ACH-000138,0.0817149950161825
ACH-000142,0.03957695445287121
ACH-000143,0.08971187648161458
ACH-000146,0.12027837900945422
ACH-000148,0.029120199468244724
ACH-000150,0.15629934418973138
ACH-000152,0.04994805201940719
ACH-000153,0.21419792632557927
ACH-000159,0.07018411044427833
ACH-000160,0.00563638811259349
ACH-000163,0.14114963669442535
ACH-000167,0.21064926983828655
ACH-000168,0.09276765370394464
ACH-000169,0.17142912428165866
ACH-000178,0.16588639689016374
ACH-000183,0.05312022319882389
ACH-000188,0.0971829267081992
ACH-000189,-0.027873537742538784
ACH-000190,0.05042825255739283
