,PCF11 (51585)
ACH-000004,-1.092825049380486
ACH-000005,-1.1495951437157543
ACH-000007,-1.09094854646977
ACH-000009,-0.6787509416021374
ACH-000011,-1.158086724370578
ACH-000012,-0.9164083768947948
ACH-000013,-1.1865255656899485
ACH-000014,-1.022576952351891
ACH-000015,-1.0010321842689525
ACH-000017,-1.122744499192323
ACH-000018,-0.7360732579170657
ACH-000019,-0.9525065198477152
ACH-000021,-0.9651701914453732
ACH-000022,-0.7139949300130721
ACH-000025,-0.8409863861205403
ACH-000028,-1.0079132457971212
ACH-000030,-1.0711844522031235
ACH-000035,-0.7705907385611592
ACH-000036,-1.0460400382682449
ACH-000037,-1.1525530388130891
ACH-000039,-0.9005764501697804
ACH-000040,-0.7415131854852617
ACH-000041,-1.0550574527363192
ACH-000042,-1.01984093042217
ACH-000045,-0.98375987161652
ACH-000047,-1.1066810795082422
ACH-000052,-0.929677069414414
ACH-000053,-1.2270404758872742
ACH-000054,-1.068925420899566
ACH-000055,-0.982568519552272
ACH-000060,-0.6640166430427364
ACH-000067,-0.777991236144896
ACH-000070,-0.9439403885188729
ACH-000075,-1.2850775489090696
ACH-000078,-1.022992135313656
ACH-000082,-1.1141205224335426
ACH-000085,-0.9009794967909538
ACH-000086,-1.0218364470137569
ACH-000087,-1.0399876934395504
ACH-000092,-0.9312208257525756
ACH-000095,-1.100597629548883
ACH-000097,-1.0109415647988962
ACH-000098,-0.8601899335391605
ACH-000099,-1.1416717089038726
ACH-000108,-0.9655471019100546
ACH-000113,-0.9452099739373101
ACH-000116,-0.7966257385487461
ACH-000118,-0.8401333253627772
ACH-000120,-1.111582310883611
ACH-000123,-1.0889509332957124
ACH-000127,-0.6623656214147259
ACH-000128,-0.9008190871947684
ACH-000132,-0.7996560509765793
ACH-000133,-0.98988091434594
ACH-000137,-1.0663347650108197
ACH-000138,-1.112920548452375
ACH-000142,-0.8112607285388881
ACH-000143,-0.9701757631041484
ACH-000146,-0.9565233091431612
ACH-000148,-0.882495074988136
ACH-000150,-1.0663259577577355
ACH-000152,-0.9136944544790446
ACH-000153,-1.1867389191544204
ACH-000159,-1.0232098901998192
ACH-000160,-0.9626988313761178
ACH-000163,-0.9841535368523889
ACH-000167,-1.4300783123230998
ACH-000168,-0.9898387653095072
ACH-000169,-0.9196121579854436
ACH-000178,-0.8159121845545824
ACH-000183,-1.0394746739950187
ACH-000188,-1.0305571030182925
ACH-000189,-0.8443019704569676
ACH-000190,-0.5580859453812216
ACH-000198,-0.9960687163193732
ACH-000203,-1.0315703381392958
ACH-000204,-1.1320866805946321
ACH-000206,-1.0401904197004357
ACH-000207,-0.6810240533708916
ACH-000208,-0.7916412200543416
ACH-000210,-1.0559605075823058
ACH-000211,-0.7429307964854631
ACH-000215,-0.7401974224512133
ACH-000221,-1.0035585425835971
ACH-000222,-0.7609783797826858
ACH-000223,-1.1051151026713475
ACH-000226,-0.9063591545674968
ACH-000227,-1.0538201498097002
ACH-000228,-0.918368195282747
ACH-000231,-1.0222821106785591
ACH-000232,-1.0591417889014247
ACH-000233,-1.1604842268248239
ACH-000234,-0.8304683930753508
ACH-000235,-0.8014179816405694
ACH-000237,-0.665621818070228
ACH-000238,-1.2434038020415217
ACH-000242,-0.5641256009564984
ACH-000243,-0.5794432761042961
ACH-000244,-1.0739552986402392
ACH-000246,-0.9453898056143254
ACH-000248,-0.8270141296763055
ACH-000250,-0.8588281396808866
ACH-000251,-0.7152615339623793
ACH-000252,-0.6920573405168141
ACH-000253,-0.9634457059354428
ACH-000255,-1.0320208505226012
ACH-000256,-0.8387850816317177
ACH-000257,-1.009495692650075
ACH-000258,-0.7239628839495758
