,TSGA10 (80705)
ACH-000004,-0.04017465786923415
ACH-000005,-0.038411464282903485
ACH-000007,-0.3277680427421298
ACH-000009,-0.16359002052673904
ACH-000011,-0.13530868874849808
ACH-000012,-0.17620590493041555
ACH-000013,-0.16522610622457165
ACH-000014,-0.09960485849392398
ACH-000015,-0.07608855142034268
ACH-000017,-0.15725899682508165
ACH-000018,-0.0918898419581908
ACH-000019,-0.2806834370273637
ACH-000021,-0.0004249419061139816
ACH-000022,-0.08580510106689686
ACH-000025,-0.11913338866320312
ACH-000028,-0.05432686210179696
ACH-000030,-0.266172656502458
ACH-000035,-0.3637368665550222
ACH-000036,-0.1863699928967384
ACH-000037,-0.5029426571785606
ACH-000039,0.10235411298997077
ACH-000040,-0.115030762100544
ACH-000041,-0.017922200376740378
ACH-000042,-0.08294089124548802
ACH-000045,-0.10605868186306916
ACH-000047,-0.16210690347972592
ACH-000052,-0.146927127225917
ACH-000053,-0.13534411292062326
ACH-000054,-0.05580413688747312
ACH-000055,-0.1585794511974321
ACH-000060,-0.3050456913071797
ACH-000067,-0.18207146650233
ACH-000070,-0.04727541599907468
ACH-000075,-0.38702111422445945
ACH-000078,0.033265926689130414
ACH-000082,-0.12275138201979212
ACH-000085,-0.22977519505322735
ACH-000086,-0.06988448152391696
ACH-000087,0.06483067779100271
ACH-000092,-0.3028610568802551
ACH-000095,-0.0735275347168975
ACH-000097,-0.1173911387449908
ACH-000098,-0.2443262480395945
ACH-000099,-0.00906556965232351
ACH-000108,0.10641399041564707
ACH-000113,-0.1090232903805704
ACH-000116,-0.0696052117012192
ACH-000118,-0.09986978332804132
ACH-000120,-0.035535009459440034
ACH-000123,-0.22366506969413366
ACH-000127,-0.09611186866895097
ACH-000128,-0.16503513357274074
ACH-000132,-0.2467224065527677
ACH-000133,-0.3003456169527696
ACH-000137,0.01999294165162564
ACH-000138,-0.020148400015493968
ACH-000142,-0.1786570965028099
ACH-000143,-0.05803079220908373
ACH-000146,-0.06404975191307986
ACH-000148,-0.1186108814354979
ACH-000150,-0.12659410888895242
ACH-000152,-0.20641876939072595
ACH-000153,-0.17834745918103856
ACH-000159,-0.12860127593023393
ACH-000160,-0.3095069116570864
ACH-000163,-0.07404580490344928
ACH-000167,-0.04240243318682428
ACH-000168,0.011816636536460671
ACH-000169,-0.1634515786897525
ACH-000178,-0.05493352007017137
ACH-000183,-0.09732124705657713
ACH-000188,-0.07669025901649375
ACH-000189,-0.376453732400914
ACH-000190,0.04408250371266507
