,MXRA7 (439921)
ACH-000004,-0.3163281871851485
ACH-000005,-0.2641398147917169
ACH-000007,-0.4653480855927517
ACH-000009,-0.3715089667234597
ACH-000011,-0.4760018403022889
ACH-000012,-0.31348996771636795
ACH-000013,-0.2282118296390781
ACH-000014,-0.345911495387668
ACH-000015,-0.26319629221581564
ACH-000017,-0.3042170999872857
ACH-000018,-0.4290106900036291
ACH-000019,-0.2338307834602392
ACH-000021,-0.2991845825602268
ACH-000022,-0.29918204713006624
ACH-000025,-0.1709061113137804
ACH-000028,-0.19106217268817785
ACH-000030,-0.28933482463247245
ACH-000035,-0.3215379529194801
ACH-000036,-0.3633809717522725
ACH-000037,-0.4721046306264062
ACH-000039,-0.3866668751791768
ACH-000040,-0.3591510821797676
ACH-000041,-0.21033207658132
ACH-000042,-0.2757829869892941
ACH-000045,-0.4127298085845825
ACH-000047,-0.2325265602915552
ACH-000052,-0.5201430519833408
ACH-000053,-0.3273063719082484
ACH-000054,-0.408472998136158
ACH-000055,-0.4735102304691127
ACH-000060,-0.5289680287246704
ACH-000067,-0.19144583004435275
ACH-000070,-0.4644017906003266
ACH-000075,-0.3309178975670672
ACH-000078,-0.22596306740659294
ACH-000082,-0.335561382639922
ACH-000085,-0.6013889451641011
ACH-000086,-0.3066768426886721
ACH-000087,-0.28309227401762743
ACH-000092,-0.3295200704094465
ACH-000095,-0.4964050660544935
ACH-000097,-0.2776010251053162
ACH-000098,-0.3772052030251116
ACH-000099,-0.40565742748660505
ACH-000108,-0.5239962941565708
ACH-000113,-0.2400456201657257
ACH-000116,-0.4215123367104188
ACH-000118,-0.22768737165632924
ACH-000120,-0.5350886889948739
ACH-000123,-0.2767154558206896
ACH-000127,-0.3620740072883349
ACH-000128,-0.3788359208684251
ACH-000132,-0.4936585970749673
ACH-000133,-0.4161319012891221
ACH-000137,-0.13824082033801982
ACH-000138,-0.31859440407626405
ACH-000142,-0.4025156694027479
ACH-000143,-0.5450348533038927
ACH-000146,-0.2684116626309523
ACH-000148,-0.2430781822846779
ACH-000150,-0.3988021906338926
ACH-000152,-0.4494701771374047
ACH-000153,0.009570571966786231
ACH-000159,-0.40654051231577465
ACH-000160,-0.19886577785204493
ACH-000163,-0.30354707474414994
ACH-000167,0.09845501921131852
ACH-000168,-0.25071436578218953
ACH-000169,-0.3631719928831212
ACH-000178,-0.4036513485605558
ACH-000183,-0.29095774466421026
