,AHI1 (54806)
ACH-000004,0.01815726827465462
ACH-000005,0.03583272575018815
ACH-000007,0.058134803133518015
ACH-000009,-0.026207857610413467
ACH-000011,-0.0334699283709531
ACH-000012,-0.011398908068131552
ACH-000013,-0.111426170424046
ACH-000014,0.013535151345031641
ACH-000015,-0.010653603733874068
ACH-000017,-0.014745211998817172
ACH-000018,-0.2190268485587805
ACH-000019,0.07151608191691097
ACH-000021,-0.11052645783281173
ACH-000022,0.07053061798894633
ACH-000025,-0.10093467997983603
ACH-000028,0.08354362573862666
ACH-000030,-0.13838969026679684
ACH-000035,0.1242460651373855
ACH-000036,-0.0738626442615422
ACH-000037,-0.011602553220081909
ACH-000039,-0.2264192907537411
ACH-000040,-0.11961901360203304
ACH-000041,-0.0823115709462041
ACH-000042,-0.052091420351204565
ACH-000045,-0.007824090562485038
ACH-000047,0.02141125384545885
ACH-000052,-0.24236963358540906
ACH-000053,-0.14643602985533358
ACH-000054,-0.0276121245923882
ACH-000055,-0.0683894021214923
ACH-000060,-0.05591571039133613
ACH-000067,-0.13017690356182596
ACH-000070,0.0848344633262058
ACH-000075,0.0027370356766741677
ACH-000078,-0.028400688461557726
ACH-000082,-0.11981617887440495
ACH-000085,-0.005764773949646306
ACH-000086,0.048402950221237626
ACH-000087,-0.06729124309309988
ACH-000092,-0.13981493923729169
ACH-000095,-0.09163292564064852
ACH-000097,-0.018100880073386668
ACH-000098,-0.10855161156570273
ACH-000099,-0.009506560211262295
ACH-000108,-0.03960814976940829
ACH-000113,-0.06458204915102632
ACH-000116,-0.16035480438884456
ACH-000118,-0.13779332569562094
ACH-000120,-0.018210674931228674
ACH-000123,-0.04200053108375882
ACH-000127,-0.03534626900616112
ACH-000128,-0.1136243131303598
ACH-000132,-0.19580566975813515
ACH-000133,-0.007396711373961976
ACH-000137,-0.11059571460898752
ACH-000138,-0.08649335654377373
ACH-000142,-0.2038581580360791
ACH-000143,-0.10413919876279826
ACH-000146,-0.055404663531384485
ACH-000148,0.007329147205600244
ACH-000150,-0.00342885211074097
ACH-000152,0.16553661728607308
ACH-000153,-0.27950276639474153
