,IRF2BPL (64207)
ACH-000004,-0.09196899257485533
ACH-000005,-0.04880325642697207
ACH-000007,-0.16024347852206505
ACH-000009,-0.03275764808619066
ACH-000011,0.03247756649659818
ACH-000012,-0.13421824436356514
ACH-000013,-0.07641022918595662
ACH-000014,-0.27669474838044217
ACH-000015,-0.02737344946851588
ACH-000017,0.049936779108761056
ACH-000018,-0.16836365801432734
ACH-000019,-0.25197150378767924
ACH-000021,-0.042893830678073216
ACH-000022,-0.21955423366686155
ACH-000025,-0.23126107972292195
ACH-000028,0.0003551277518430011
ACH-000030,-0.23731754160694335
ACH-000035,0.04702611723055617
ACH-000036,0.22257608147024627
ACH-000037,-0.15016804354319355
ACH-000039,-0.049313712923148685
ACH-000040,0.27023027816126616
ACH-000041,0.08953742726657264
ACH-000042,-0.007623442168835998
ACH-000045,-0.13893981918324413
ACH-000047,-0.21177931111044504
ACH-000052,-0.3106459296194331
ACH-000053,-0.20855189938443308
ACH-000054,-0.06801705139547096
ACH-000055,-0.08559891894028608
ACH-000060,-0.3304888081117858
ACH-000067,0.012102193800400894
ACH-000070,-0.19014708562135094
ACH-000075,-0.04799439595802669
ACH-000078,-0.07748728951208092
ACH-000082,-0.20197218008110798
ACH-000085,-0.06386829732043403
ACH-000086,0.018648118023210036
ACH-000087,-0.08515553489127747
ACH-000092,0.005040551889678321
ACH-000095,-0.1053273303801454
ACH-000097,-0.10133668659944448
ACH-000098,0.19797460256808447
ACH-000099,0.08938458724032038
ACH-000108,-0.06835641104466572
ACH-000113,-0.005536556364452125
ACH-000116,-0.06516923778643982
ACH-000118,0.031586725350805735
ACH-000120,-0.11791011100773945
ACH-000123,-0.16019897253631726
ACH-000127,-0.04841640006916971
ACH-000128,-0.1752119925935765
ACH-000132,-0.06239313628656652
ACH-000133,0.06243354946742687
ACH-000137,-0.06287932643878573
ACH-000138,-0.17247594665733526
ACH-000142,-0.16399305911440254
ACH-000143,-0.09017950424591778
ACH-000146,-0.16378277245287245
ACH-000148,-0.10288950183287078
ACH-000150,-0.08003983131134082
ACH-000152,0.03753204247511474
ACH-000153,-0.041120188629830016
ACH-000159,-0.1175665488587127
ACH-000160,-0.1804992421573883
ACH-000163,-0.1113840384864392
ACH-000167,-0.4213583914996563
ACH-000168,-0.013297171396220143
ACH-000169,-0.14019319525899612
ACH-000178,-0.1557712801215747
ACH-000183,-0.13798752245043094
ACH-000188,-0.03434022068839724
ACH-000189,-0.5272246431128111
ACH-000190,-0.16582795961081245
ACH-000198,-0.36558532076410494
ACH-000203,-0.10974096023348276
ACH-000204,-0.06499681796882932
ACH-000206,-1.2273664518310583
ACH-000207,-0.0604376341918841
ACH-000208,0.04004932621424366
ACH-000210,-0.023405798330831142
ACH-000211,-0.20652841683358056
ACH-000215,-0.15750486714876047
ACH-000221,0.08117661234710506
ACH-000222,-0.16898911746595166
ACH-000223,-0.10129966734925863
ACH-000226,-0.033752152523048716
ACH-000227,-0.15112862644327538
ACH-000228,-0.2734235846469718
ACH-000231,-0.05868714167008963
ACH-000232,0.118895024235231
ACH-000233,-0.14187057504074996
ACH-000234,-0.007651763272008836
ACH-000235,-0.10420300131457726
ACH-000237,-0.07245046546468747
ACH-000238,0.018410488893117204
ACH-000242,-0.10721543404234088
ACH-000243,-0.16290768749603454
ACH-000244,0.017060590006085573
ACH-000246,-0.02614371923220755
