,WRB (7485)
ACH-000004,-0.3296052550397747
ACH-000005,-0.5159023146345157
ACH-000007,-0.85886856494361
ACH-000009,-0.8977453881753445
ACH-000011,-0.7168381376892448
ACH-000012,-0.7376983894874297
ACH-000013,-0.3048268303220158
ACH-000014,-0.6694585502595742
ACH-000015,-0.6182645939348387
ACH-000017,-0.973545832879442
ACH-000018,-0.3606643454796866
ACH-000019,-0.3793989210647071
ACH-000021,-0.5947114254207871
ACH-000022,-0.646332703794641
ACH-000025,-0.26073733541756555
ACH-000028,-0.16922494094846646
ACH-000030,-0.8903605033922473
ACH-000035,-0.4573149505351174
ACH-000036,-0.6224920208380532
ACH-000037,-0.3271392852310172
ACH-000039,-0.4192087931775429
ACH-000040,-0.8023911994243089
ACH-000041,-0.27117226522316096
ACH-000042,-0.31810104187909083
ACH-000045,-0.560464701293208
ACH-000047,-0.733414652238597
ACH-000052,-0.5515143314620451
ACH-000053,-0.17772152424695678
ACH-000054,-0.10079052115920548
ACH-000055,-0.8281006919830872
ACH-000060,-0.7824079184491275
ACH-000067,-0.58231884227773
ACH-000070,-0.4121449022593536
ACH-000075,-0.3521225295394076
ACH-000078,-0.4866113853802833
ACH-000082,-0.24367983046986166
ACH-000085,-0.9423263809990928
ACH-000086,-0.9120122340905736
ACH-000087,-0.8691926057401169
ACH-000092,-0.5090597976833083
ACH-000095,-0.4334907596039629
ACH-000097,-0.8151038367691742
ACH-000098,-0.6915730405917829
ACH-000099,-0.889090972769584
ACH-000108,-0.7551649864614813
ACH-000113,-0.5140308167063926
ACH-000116,-0.5780044216811765
ACH-000118,-0.5130884729675026
ACH-000120,-0.6410683931852135
ACH-000123,-0.6703037301030652
ACH-000127,-0.5328055762599296
ACH-000128,-0.5263891773281024
ACH-000132,-0.8995587813468772
ACH-000133,-0.6276539964138658
ACH-000137,-0.2805054842567007
ACH-000138,-0.3951585201981651
ACH-000142,-0.9254249718384224
ACH-000143,-0.5565193041816032
ACH-000146,-0.6549644276854826
ACH-000148,-0.573811164696156
ACH-000150,-0.7161417847464301
ACH-000152,-0.6753898711160334
ACH-000153,-0.37810872775677545
ACH-000159,-0.5767863618925196
ACH-000160,-0.4965744816747104
ACH-000163,-0.7008688091006686
ACH-000167,-0.5728200098983006
ACH-000168,-0.5076504826404389
ACH-000169,-0.6869235842508191
ACH-000178,-0.7124320290022426
ACH-000183,-0.7184552580369398
ACH-000188,-0.8357445052373702
ACH-000189,-0.748058726169327
ACH-000190,-0.8904179462110019
ACH-000198,-0.5235716810779875
ACH-000203,-0.7247325886351683
ACH-000204,-0.6884684206316745
ACH-000206,-0.3378606534285547
ACH-000207,-0.4793226293777123
ACH-000208,-0.440856326556848
ACH-000210,-0.5667435534384863
ACH-000211,-0.2480875187612692
ACH-000215,-0.4446447369404067
ACH-000221,-0.9832080049355494
ACH-000222,-0.4831591111326042
ACH-000223,-0.4048194122293158
ACH-000226,-0.3776199258679292
ACH-000227,-0.4697860759973253
ACH-000228,-0.3039689629486157
ACH-000231,-0.8279270703111805
ACH-000232,-0.5195767423497436
ACH-000233,-0.6649623014672115
ACH-000234,-0.6787048376490319
ACH-000235,-0.6761378674127979
ACH-000237,-0.5239052736112884
ACH-000238,-0.8112855622819098
ACH-000242,-0.5459811091736716
ACH-000243,-0.6807346285129355
ACH-000244,-0.5368604413247511
ACH-000246,-0.6970412902517782
ACH-000248,-0.9414841231367276
ACH-000250,-0.945295422701874
ACH-000251,-0.2658832747358771
ACH-000252,-0.2721731564462903
ACH-000253,-0.6678125799425353
ACH-000255,-0.2848581306027769
ACH-000256,-0.15518001252749028
ACH-000257,-0.7242842121538101
ACH-000258,-0.6848301081020698
ACH-000259,-0.7170537114869696
ACH-000260,-0.3932762883287964
ACH-000261,-0.3962455305694824
ACH-000262,-0.7296424501214198
ACH-000263,-0.4175472025484859
ACH-000264,-0.533675359929496
ACH-000265,-0.2635655423547073
ACH-000266,-0.15417356157263598
ACH-000272,-0.9234688416338332
ACH-000274,-0.07635523026087669
ACH-000277,-0.6434319733315155
ACH-000278,-0.7384954180651558
ACH-000279,-0.8171238134492789
ACH-000280,-0.5666080195751849
ACH-000281,-0.5207601813512602
ACH-000288,-0.7657557937209472
ACH-000291,-0.2663671168753744
ACH-000293,-0.3521173039788494
ACH-000294,-0.8076978189902502
ACH-000295,-0.4961665096197782
ACH-000296,-0.8276732350978147
ACH-000302,-0.17038575442436876
ACH-000304,-0.5511365060943327
ACH-000307,-0.816173766306091
ACH-000308,-0.25565730611083903
ACH-000310,-0.2331244431618013
ACH-000311,-0.5600347517997136
ACH-000312,-0.4382702681417244
ACH-000315,-0.5803890194535228
ACH-000316,-0.25477149908502217
ACH-000317,-0.7770846288978231
ACH-000318,-0.8227420335604315
ACH-000319,-0.2429868098413917
ACH-000320,-0.4511516106787622
ACH-000322,-0.6190024822548471
ACH-000323,-0.16342670890442973
ACH-000324,-0.7826306457891428
ACH-000329,-0.3532115672059205
ACH-000330,-0.4762718138642514
ACH-000331,-0.7341488579465355
ACH-000332,-0.43366952950710064
ACH-000334,-0.3513983454698896
ACH-000335,-0.7834279983696779
ACH-000336,-0.4690519418417358
ACH-000337,-0.3628701602611821
ACH-000338,-0.5327336060242518
ACH-000339,-0.26383190054878625
ACH-000341,-0.2424580592234122
