,NFYC (4802)
ACH-000004,-0.6668575635707447
ACH-000005,-0.7705918792597448
ACH-000007,-1.0923625130119832
ACH-000009,-0.8932591406459021
ACH-000011,-0.7227741094078236
ACH-000012,-0.7204730516040979
ACH-000013,-0.8018582114792492
ACH-000014,-0.9740378932299552
ACH-000015,-0.9726038089567842
ACH-000017,-0.8395419516819485
ACH-000018,-0.6607327531436319
ACH-000019,-0.8003255463861922
ACH-000021,-0.6633053653458055
ACH-000022,-0.7632145586173124
ACH-000025,-0.7144476270896583
ACH-000028,-0.5229047182039488
ACH-000030,-0.7039619264336804
ACH-000035,-1.0202418139543512
ACH-000036,-0.4912599742796919
ACH-000037,-0.7046415545769987
ACH-000039,-0.5674538653132654
ACH-000040,-0.7626670640456206
ACH-000041,-0.6249564547618894
ACH-000042,-0.7257394323120732
ACH-000045,-0.8609881304792844
ACH-000047,-0.8095795942532561
ACH-000052,-0.9547398698257936
ACH-000053,-0.6290848821262236
ACH-000054,-0.7239075474562103
ACH-000055,-0.7843806679033731
ACH-000060,-0.9959758600666344
ACH-000067,-0.7047551529905984
ACH-000070,-0.6209765064080114
ACH-000075,-0.8651850876050003
ACH-000078,-0.3985130680175791
ACH-000082,-0.8867527462146318
ACH-000085,-1.03047018967597
ACH-000086,-0.7194544719200494
ACH-000087,-0.9768245255215444
ACH-000092,-0.7077921737999007
ACH-000095,-0.7928003102347052
ACH-000097,-0.8528625678569379
ACH-000098,-0.7525648498508976
ACH-000099,-0.9780636057509312
ACH-000108,-0.8254703806012096
ACH-000113,-0.8203594543164562
ACH-000116,-0.6313341154127516
ACH-000118,-0.9514811812583048
ACH-000120,-1.0647141909707918
ACH-000123,-0.9232309826501732
ACH-000127,-0.8328464173642638
ACH-000128,-0.7561512231291042
ACH-000132,-0.6757189159239579
ACH-000133,-0.7835201216552432
ACH-000137,-0.8841615990981606
ACH-000138,-0.6139437057302197
ACH-000142,-0.8305295838145319
ACH-000143,-0.8601748360741691
ACH-000146,-0.6011717590619791
ACH-000148,-0.7849913760592523
ACH-000150,-0.8140806645493827
ACH-000152,-0.7970696932470159
