,KDM4C (23081)
ACH-000004,-0.7496215484461154
ACH-000005,-0.4561655880965825
ACH-000007,-0.05483248791138312
ACH-000009,-0.053791224160849034
ACH-000011,-0.14765085621759233
ACH-000012,0.05799668465243196
ACH-000013,-0.008153590410337898
ACH-000014,-0.14715248524657956
ACH-000015,-0.10532702796898337
ACH-000017,-0.16336048011719798
ACH-000018,-0.1374533068791059
ACH-000019,-0.05575976683637748
ACH-000021,-0.09402364347518546
ACH-000022,-0.04599945863009746
ACH-000025,0.08381460405961308
ACH-000028,-0.049005046084179466
ACH-000030,-0.026899086755724274
ACH-000035,0.00939983753200595
ACH-000036,-0.010300571733636556
ACH-000037,-0.044946738712034105
ACH-000039,0.008325490781730078
ACH-000040,-0.028621929551958837
ACH-000041,-0.09873545082506284
ACH-000042,-0.056942827444017165
ACH-000045,-0.005075508180256531
ACH-000047,-0.011770595350389844
ACH-000052,0.17612810014856178
ACH-000053,-0.1516576913275912
ACH-000054,-0.0761587628925459
ACH-000055,0.011043694833094218
ACH-000060,-0.06199130735237528
ACH-000067,0.0018426524279956528
ACH-000070,-0.08912710570712899
ACH-000075,-0.032024167154892376
ACH-000078,0.0535384970189018
ACH-000082,-0.09042110559543834
ACH-000085,-0.02107731100996696
ACH-000086,0.04891566815239429
ACH-000087,-0.1338443986809789
ACH-000092,-0.004522226668472694
ACH-000095,-0.16105283251665922
ACH-000097,-0.0340101948464674
ACH-000098,-0.06428050596238666
ACH-000099,-0.043388576245187147
ACH-000108,0.18387335526191384
ACH-000113,-0.181486848784033
ACH-000116,0.04393899206021305
ACH-000118,-0.09838815653901983
ACH-000120,-0.1350660184703291
ACH-000123,-0.1147305466138173
ACH-000127,0.058066713055047535
ACH-000128,-0.12531084631140282
ACH-000132,0.0023022861510997787
ACH-000133,-0.016943332935595155
ACH-000137,0.1387497154007444
ACH-000138,-0.09563706774951176
ACH-000142,0.10332177071422627
ACH-000143,0.0024588797617950075
ACH-000146,0.00458791511891919
