,CEBPZ (10153)
ACH-000004,-0.7532925714649581
ACH-000005,-0.5883129627344129
ACH-000007,-0.6747143914644457
ACH-000009,-0.6204630872354154
ACH-000011,-0.5524770765778089
ACH-000012,-0.838971203634261
ACH-000013,-0.5880465983198342
ACH-000014,-0.5082437903069732
ACH-000015,-0.7957855833814189
ACH-000017,-0.4767993423864233
ACH-000018,-0.7192307075881037
ACH-000019,-0.7144264324313631
ACH-000021,-0.7333482182429185
ACH-000022,-0.7762003556297311
ACH-000025,-0.6233267163372025
ACH-000028,-0.722179428873843
ACH-000030,-0.6388135117720177
ACH-000035,-0.7831772327823258
ACH-000036,-0.7625748809099379
ACH-000037,-0.9467689902343024
ACH-000039,-0.6934898464103988
ACH-000040,-0.9151883967308776
ACH-000041,-0.7466452354896859
ACH-000042,-0.6247196575001783
ACH-000045,-0.7185849808589136
ACH-000047,-0.4813197669008594
ACH-000052,-0.8574406810307014
ACH-000053,-0.8266221915361759
ACH-000054,-0.7017927580887561
ACH-000055,-0.7400147051979378
ACH-000060,-0.7533125447190719
ACH-000067,-0.7615014431431795
ACH-000070,-0.4515898522539646
ACH-000075,-1.019591207976194
ACH-000078,-0.573196004806198
ACH-000082,-0.7090717611538364
ACH-000085,-0.940888244516221
ACH-000086,-0.8220380690171704
ACH-000087,-0.8152180452135614
ACH-000092,-0.877701594551896
ACH-000095,-0.6836459997063142
ACH-000097,-0.7322764198421852
ACH-000098,-0.7204615418262642
ACH-000099,-0.5804196425252057
ACH-000108,-0.7052638376874386
ACH-000113,-0.9622802688504836
ACH-000116,-0.664837252532459
ACH-000118,-0.7211553852060762
ACH-000120,-0.8232953814357469
ACH-000123,-0.6791494669082181
ACH-000127,-0.7101088121254187
ACH-000128,-0.705946189081472
ACH-000132,-0.7070130135745205
ACH-000133,-0.9691688849009816
ACH-000137,-0.7276673966125772
ACH-000138,-0.6521336846554934
ACH-000142,-0.7422658912341021
ACH-000143,-0.7225386337518745
ACH-000146,-0.791838504725317
ACH-000148,-0.6423028910645332
ACH-000150,-0.8949884623180558
ACH-000152,-1.0408837486914977
ACH-000153,-0.557184358670061
ACH-000159,-0.8145070945146646
ACH-000160,-0.8145298413814016
ACH-000163,-0.8328899387323204
ACH-000167,-1.3467921705868493
ACH-000168,-0.9921671761423522
ACH-000169,-0.8592333269786135
ACH-000178,-0.688096548423089
ACH-000183,-0.7255928962684257
ACH-000188,-0.9857022890734026
ACH-000189,-0.9526963359638416
ACH-000190,-0.6750033146615779
ACH-000198,-0.5873326063022315
ACH-000203,-0.4482894464063248
ACH-000204,-0.4982154321290607
ACH-000206,-0.6755887900333473
ACH-000207,-0.5179260993064481
ACH-000208,-0.4527104828217351
ACH-000210,-0.68997400781773
ACH-000211,-0.4263164024884069
ACH-000215,-0.7105313336326845
ACH-000221,-0.7109634079131437
ACH-000222,-0.7784657889794517
ACH-000223,-0.7815853560848578
ACH-000226,-0.5859524098751456
ACH-000227,-0.5883023722456326
ACH-000228,-0.738820999609965
ACH-000231,-0.901877353557756
ACH-000232,-0.6211037642695202
ACH-000233,-0.5251847487745027
ACH-000234,-0.6134078449928293
ACH-000235,-0.6253949597640593
ACH-000237,-0.9003243763553213
ACH-000238,-0.7835265060863302
ACH-000242,-0.6547790224113474
ACH-000243,-0.7370785040495896
ACH-000244,-0.7411579505313906
ACH-000246,-0.6922151454645954
ACH-000248,-0.5294278395691794
ACH-000250,-0.6336435680965811
ACH-000251,-0.8676412212552864
ACH-000252,-0.6761418192140701
ACH-000253,-0.8406716830376345
ACH-000255,-0.8004277826356195
ACH-000256,-0.8110138382352929
ACH-000257,-0.745044352064532
ACH-000258,-0.6411922973717331
ACH-000259,-0.4438505602947732
ACH-000260,-0.7958436597625301
ACH-000261,-0.7094052982782316
ACH-000262,-0.5754100318031622
ACH-000263,-0.3742205792352228
ACH-000264,-0.5887914685039068
ACH-000265,-0.834088750228261
ACH-000266,-0.7429042492946596
ACH-000272,-0.8123090352634301
ACH-000274,-0.6529969418096178
ACH-000277,-0.5252621659664172
ACH-000278,-0.6956744326459874
ACH-000279,-0.7022041477578659
ACH-000280,-0.6501073774274544
ACH-000281,-0.6106081273169452
ACH-000288,-0.8088577886528999
ACH-000291,-0.7184584928337507
ACH-000293,-0.5081832740369923
ACH-000294,-0.44566075141078937
