,SPICE1 (152185)
ACH-000004,-0.4585373285444536
ACH-000005,-0.3746813890408085
ACH-000007,-0.04440263203221944
ACH-000009,-0.28919775141676624
ACH-000011,-0.07065618412013522
ACH-000012,-0.22695438497489676
ACH-000013,-0.2877296999869493
ACH-000014,-0.2456867014374752
ACH-000015,-0.0250778226657921
ACH-000017,-0.17025845847573012
ACH-000018,-0.28368429002271056
ACH-000019,-0.2023104860681478
ACH-000021,-0.2571893380867807
ACH-000022,-0.20541724527221986
ACH-000025,-0.24186126740348776
ACH-000028,-0.4915484030953844
ACH-000030,-0.2165895684917614
ACH-000035,-0.3353731937999497
ACH-000036,-0.3887340890578849
ACH-000037,-0.1671113458009294
ACH-000039,-0.028375722999806292
ACH-000040,-0.2929469339972369
ACH-000041,-0.3171754649992263
ACH-000042,-0.164793849603677
ACH-000045,0.03255878012624956
ACH-000047,-0.15022249283743322
ACH-000052,-0.04059835273382895
ACH-000053,-0.21092693250536815
ACH-000054,-0.1791141781350349
ACH-000055,-0.3395495835193779
ACH-000060,-0.3336085236622638
ACH-000067,-0.4688298890909837
ACH-000070,-0.06610554094144487
ACH-000075,-0.2642886013958507
ACH-000078,-0.08043644801786665
ACH-000082,-0.3055729656413192
ACH-000085,-0.2032947588836916
ACH-000086,-0.2279115354719927
ACH-000087,-0.22076363488212464
ACH-000092,-0.3152345397678485
ACH-000095,-0.6047883862583712
ACH-000097,-0.19236018139163893
ACH-000098,-0.14643430572488902
ACH-000099,-0.4747822324210321
ACH-000108,-0.2256288495679021
ACH-000113,-0.15680105112840673
ACH-000116,-0.2891500642282092
ACH-000118,-0.2913663740154194
ACH-000120,-0.2437270857374925
ACH-000123,-0.5263970194271351
ACH-000127,-0.24910006242711824
ACH-000128,-0.31080436815617546
ACH-000132,-0.24245668056790765
ACH-000133,-0.31162211504372384
ACH-000137,-0.4111394969659571
ACH-000138,-0.22037797956247868
ACH-000142,-0.20698139461603174
ACH-000143,-0.33323011290467386
ACH-000146,-0.18839236100551865
ACH-000148,-0.2358970815349049
ACH-000150,-0.19995724936498324
ACH-000152,-0.2590198193339116
ACH-000153,0.15630679735493644
ACH-000159,-0.23710562964143506
ACH-000160,-0.20724027042325646
ACH-000163,-0.36526842895099343
ACH-000167,-0.05998122077930417
ACH-000168,-0.2735347245457576
ACH-000169,-0.4341525772680061
ACH-000178,-0.4332425147141101
ACH-000183,-0.2269291163458675
ACH-000188,-0.7166393097623609
ACH-000189,0.11203020436762236
ACH-000190,-0.1986897177106648
ACH-000198,-0.32202663589596875
ACH-000203,-0.7641262941048698
ACH-000204,-0.015785906639782306
ACH-000206,-0.3108685383669328
ACH-000207,-0.4758022492189128
ACH-000208,-0.10364846750393304
ACH-000210,-0.3594636198264106
ACH-000211,-0.2911693188490493
ACH-000215,-0.09151637037222696
ACH-000221,-0.3405709435641691
ACH-000222,-0.1995281095870233
ACH-000223,-0.15274570142383198
ACH-000226,-0.357998526589526
ACH-000227,-0.3534542932808053
ACH-000228,-0.34813261009657914
ACH-000231,-0.2392334406698768
ACH-000232,-0.17407892041225445
ACH-000233,-0.07645360532606861
ACH-000234,-0.23335303156138906
ACH-000235,-0.206292094732
ACH-000237,-0.2717343387388946
ACH-000238,-0.35355284451269176
ACH-000242,-0.04334043832981253
ACH-000243,-0.26122707851745963
ACH-000244,-0.2651940855979126
ACH-000246,-0.5793575181400685
ACH-000248,-0.27032102832273064
ACH-000250,-0.2125223671324377
ACH-000251,-0.236152715141024
ACH-000252,-0.29295119727521035
ACH-000253,-0.3010564708321585
ACH-000255,-0.2761285638003195
ACH-000256,-0.07794769611487397
ACH-000257,-0.1304031171004945
ACH-000258,-0.17065321484377066
ACH-000259,-0.326705380597003
ACH-000260,-0.6441004505356545
ACH-000261,-0.1826867856428981
ACH-000262,-0.4044891994024969
ACH-000263,-0.10347662128498264
ACH-000264,-0.2540186723020726
ACH-000265,-0.11041795611474693
ACH-000266,-0.15358408115867336
ACH-000272,-0.3271942522524636
ACH-000274,-0.2076860551496687
ACH-000277,-0.19389328295344796
ACH-000278,-0.2466753476788775
ACH-000279,-0.33099665818816626
ACH-000280,-0.1389395611676316
ACH-000281,-0.3852288835540192
ACH-000288,-0.08783966153427951
ACH-000291,-0.36306940439877305
ACH-000293,-0.2951607115320753
ACH-000294,-0.30503585719612625
ACH-000295,-0.2408922809922412
ACH-000296,-0.2665664938624409
ACH-000302,-0.38881058537134017
ACH-000304,-0.18356471237309616
ACH-000307,-0.4046605602627784
ACH-000308,-0.1274174013258941
ACH-000310,-0.18185372471837105
ACH-000311,-0.05432943752682485
ACH-000312,-0.1597216863923301
ACH-000315,-0.17580901243261418
ACH-000316,-0.1913171796917089
ACH-000317,-0.4900626678304923
ACH-000318,-0.26083506564201386
ACH-000319,-0.1560046019869206
ACH-000320,-0.4321883628543622
ACH-000322,-0.1450883812577187
ACH-000323,-0.22925556420803245
ACH-000324,-0.014957405825778494
ACH-000329,-0.27413231326660065
ACH-000330,-0.367163982336065
ACH-000331,-0.3168851941023811
ACH-000332,-0.4725825688187216
ACH-000334,-0.21819320835841532
ACH-000335,-0.1703342956450618
ACH-000336,-0.25985168167614964
ACH-000337,-0.2277802996555644
ACH-000338,-0.3067379276171021
ACH-000339,-0.13705676698789582
ACH-000341,-0.3115916939427009
ACH-000348,-0.2243611787295447
ACH-000350,-0.2570802752140529
ACH-000352,-0.2240430225761393
ACH-000356,-0.06977197741083184
ACH-000361,-0.6439713356587526
ACH-000362,-0.12979240390400149
ACH-000363,-0.2262205428106559
ACH-000364,-0.4843325235423854
ACH-000365,-0.409618811853016
ACH-000366,-0.6440822800677489
ACH-000368,-0.243984086987766
ACH-000374,-0.04986680505537018
ACH-000375,-0.2524154196024529
ACH-000376,-0.1331451211759781
ACH-000381,-0.43501538414364704
ACH-000383,-0.30802655171150584
ACH-000387,-0.2258489234498064
ACH-000389,-0.28916981006594245
ACH-000390,-0.18552736520072394
ACH-000393,-0.16671104663104508
ACH-000395,-0.23232802020489096
ACH-000396,-0.4971732314265418
ACH-000397,-0.20660962381606732
ACH-000401,-0.4903012183546614
ACH-000402,-0.06268265220916723
ACH-000403,-0.1483949822615422
ACH-000404,-0.30325604153571045
