,PIP5K1C (23396)
ACH-000004,-0.10127859857565988
ACH-000005,0.2706597554833644
ACH-000007,0.15858605397127726
ACH-000009,0.12523080102205947
ACH-000011,0.1182301983851679
ACH-000012,-0.035537399264139256
ACH-000013,-0.009023013453184316
ACH-000014,0.11304251291336882
ACH-000015,0.0016259924863813318
ACH-000017,0.031472922636043295
ACH-000018,0.12396495458762533
ACH-000019,0.029940056523371405
ACH-000021,-0.01088309922405077
ACH-000022,0.05045728182298038
ACH-000025,0.15416778538476858
ACH-000028,-0.04107104410092554
ACH-000030,-0.020014904038879826
ACH-000035,-0.009974345424502684
ACH-000036,-0.03957981069997468
ACH-000037,0.11813172231660295
ACH-000039,-0.09272946627945508
ACH-000040,0.001024987811034146
ACH-000041,-0.006165866944005284
ACH-000042,0.07888563232214953
ACH-000045,-0.06424116070530546
ACH-000047,-0.01972159138155644
ACH-000052,0.017050503128223315
ACH-000053,-0.061988869869636185
ACH-000054,0.028828686601743224
ACH-000055,-0.13942670693902148
ACH-000060,0.1313357204168999
ACH-000067,0.011398950319483916
ACH-000070,-0.001717278251908317
ACH-000075,0.13367974828613902
ACH-000078,-0.0415731669746973
ACH-000082,0.029421960707798574
ACH-000085,-0.2099480777478071
ACH-000086,0.05194886775602768
ACH-000087,0.159938521327811
ACH-000092,0.023449262098264437
ACH-000095,-0.019980803669633302
ACH-000097,0.06661136020097111
ACH-000098,-0.07743050216495558
ACH-000099,0.013064724349246907
ACH-000108,-0.07093222992136672
ACH-000113,0.011023742168013592
ACH-000116,0.042622143524759896
ACH-000118,0.09175383408101516
ACH-000120,0.0036065411817670008
ACH-000123,0.04070737010495326
ACH-000127,0.016045084159618233
ACH-000128,0.22512962209077256
ACH-000132,0.17897963171797102
ACH-000133,0.028612032160763568
ACH-000137,-0.1154499418836601
ACH-000138,-0.0035373104240951758
ACH-000142,-0.02524856533043996
ACH-000143,0.012325302348698828
ACH-000146,-0.05743684675028528
ACH-000148,0.0220490725275543
ACH-000150,0.03490529026900092
ACH-000152,-0.02237401116256066
ACH-000153,0.22497781673042228
ACH-000159,0.11426840071166515
ACH-000160,0.065894009365431
ACH-000163,0.07584957587214337
ACH-000167,0.4896394133457286
ACH-000168,0.05860220576740938
ACH-000169,0.037708029744175295
ACH-000178,0.030332449920347643
ACH-000183,-0.0018375470688902198
ACH-000188,-0.03906353586404497
ACH-000189,0.18741379356409035
ACH-000190,0.10922395254113644
ACH-000198,-0.0925985041709506
ACH-000203,-0.1611064266900276
ACH-000204,-0.1990020700769861
ACH-000206,0.06408024331160367
ACH-000207,-0.15280284384621093
ACH-000208,0.3089715992746805
ACH-000210,0.2761431288292982
ACH-000211,-0.010603252427005352
ACH-000215,0.06403891638679693
ACH-000221,0.08183024288760339
ACH-000222,-0.02679551990019069
ACH-000223,0.07860363595565655
ACH-000226,0.08307136599826008
ACH-000227,0.051003930538464366
ACH-000228,0.0013499087049334015
ACH-000231,0.017398522647735802
ACH-000232,0.0960384229710666
ACH-000233,0.022379575609204228
ACH-000234,-0.04782821441731081
ACH-000235,-0.030227591045497357
ACH-000237,0.005428869814962181
ACH-000238,0.029409532878497038
ACH-000242,-0.1433097207219235
ACH-000243,0.028389275245809812
ACH-000244,0.17950846930937425
ACH-000246,0.0385094716355983
ACH-000248,0.0923896500726615
ACH-000250,-0.028671000614430238
ACH-000251,0.2266939434311617
ACH-000252,0.0444417631128904
ACH-000253,0.07593408773531231
ACH-000255,0.06992038078629659
ACH-000256,0.021936939936436417
ACH-000257,-0.023711855865459267
ACH-000258,0.09421972453470133
ACH-000259,-0.06737582171952912
ACH-000260,-0.02207307326538313
ACH-000261,-0.0162869989174076
ACH-000262,-0.2413068251841527
ACH-000263,-0.04259098569485538
ACH-000264,0.0704496116225589
ACH-000265,0.06263489811970342
ACH-000266,0.019515870786641142
ACH-000272,0.06010517826798351
ACH-000274,0.03525822146624122
ACH-000277,0.04743611027383018
ACH-000278,0.06726381625325309
ACH-000279,0.11317193895679215
ACH-000280,-0.0717683354427303
ACH-000281,-0.13848798060560458
ACH-000288,0.07001486939342799
ACH-000291,-0.005167576126901821
ACH-000293,-0.030545822518645467
ACH-000294,0.0610984390908178
ACH-000295,0.2036662010006012
ACH-000296,-0.1438250731681421
ACH-000302,-0.1263597484068726
ACH-000304,-0.034013658337324795
ACH-000307,0.04259807528729169
ACH-000308,0.07313129398613134
ACH-000310,0.013018298710540402
ACH-000311,-0.010092734366415305
ACH-000312,-0.024926548187554336
ACH-000315,0.13236222096924624
ACH-000316,0.13946217568746522
ACH-000317,0.024537015273321663
