,BRAT1 (221927)
ACH-000004,-0.2797697532312677
ACH-000005,-0.3542783628978493
ACH-000007,-0.25163906901208144
ACH-000009,-0.6119597012989102
ACH-000011,-0.7226727913237314
ACH-000012,-0.7178018222446233
ACH-000013,-0.01519136892830531
ACH-000014,-0.3388385776832643
ACH-000015,-0.07157081100244764
ACH-000017,-0.11872666330937667
ACH-000018,-0.3882250517508281
ACH-000019,-0.27149844606659795
ACH-000021,0.0603539383658005
ACH-000022,-0.4064844675459147
ACH-000025,-0.4867360440515096
ACH-000028,-0.8687791519456459
ACH-000030,-0.3613621321983895
ACH-000035,-0.7711210454583635
ACH-000036,-0.729289082899269
ACH-000037,-0.5311481977554587
ACH-000039,0.08411823326918683
ACH-000040,-0.5610013231845814
ACH-000041,-0.030345416750627036
ACH-000042,-0.5842030626171844
ACH-000045,0.024046251222461925
ACH-000047,-0.3806070253238417
ACH-000052,-0.3061902307988648
ACH-000053,-0.20653777940436885
ACH-000054,-0.1319016300010844
ACH-000055,-0.31284799032817023
ACH-000060,-0.7999669860989108
ACH-000067,-0.2837280141292368
ACH-000070,-0.21552226800959204
ACH-000075,-0.1577334216409041
ACH-000078,-0.3021448821743136
ACH-000082,-0.4802130537029772
ACH-000085,-0.10042235400404216
ACH-000086,-0.7354726833672267
ACH-000087,-0.2914469395293557
ACH-000092,-0.3891033372116774
ACH-000095,-0.002005930369603736
ACH-000097,-0.7059357615919917
ACH-000098,0.09055213789845752
ACH-000099,-0.20181989087555466
ACH-000108,-0.42339972291179817
ACH-000113,-0.3462694528109945
ACH-000116,-0.3131363447428385
ACH-000118,-0.4657330262925009
ACH-000120,-0.4580543941868643
ACH-000123,-0.4529201583039247
ACH-000127,-0.8222125561060916
ACH-000128,-0.4036864845496351
ACH-000132,-0.2844977602314983
ACH-000133,-0.5208359573784911
ACH-000137,-0.4419994840789089
ACH-000138,-0.4296494502972073
ACH-000142,-0.27283869596120985
ACH-000143,-0.44348449048704586
ACH-000146,0.05783414571214296
ACH-000148,-0.6926279684552964
ACH-000150,-0.11363059692156567
ACH-000152,-0.6865135593929004
ACH-000153,-0.8032566170137647
ACH-000159,-0.7524148982485057
ACH-000160,-0.13904077235924714
ACH-000163,-0.5682539902451486
ACH-000167,-0.17831435691853134
ACH-000168,-0.06562584450361902
ACH-000169,-0.41502394229552775
ACH-000178,-0.6311447914023767
ACH-000183,-0.24202189619090614
ACH-000188,-0.8355622120440919
ACH-000189,-0.5155289520242844
ACH-000190,-0.4243693373679648
ACH-000198,-0.4422052145897125
ACH-000203,-0.8103569708148126
ACH-000204,-0.4125493973599434
ACH-000206,-0.4926545242707595
ACH-000207,-0.21052342633478496
ACH-000208,-0.7624816562751903
ACH-000210,0.047204168898176496
ACH-000211,-0.9401661361323009
ACH-000215,-0.6589681883469825
ACH-000221,-0.7456204477860404
ACH-000222,-0.6817176284785479
ACH-000223,-0.5873071645201815
ACH-000226,-0.637477304440244
ACH-000227,-0.2452833452093072
ACH-000228,-0.7349166078374351
ACH-000231,-0.8455816411651896
ACH-000232,-0.6999634311792235
ACH-000233,-0.5331077393081065
ACH-000234,-0.3961423640291457
ACH-000235,-0.7533747129298491
ACH-000237,-0.5984222984348738
ACH-000238,-0.4814691902086395
ACH-000242,-0.5804393693686304
ACH-000243,-0.6610679398056495
ACH-000244,-0.5638810444086045
ACH-000246,-0.7782794255944498
ACH-000248,-0.6610582458876673
ACH-000250,-0.9278322259534784
ACH-000251,-0.4947979179591308
ACH-000252,-0.874239265745323
ACH-000253,-0.4389502392023735
ACH-000255,-0.8431980285168658
ACH-000256,0.009169827024095866
ACH-000257,-0.294230074396698
ACH-000258,-0.1998646288167868
ACH-000259,-0.15206714963006782
ACH-000260,-0.39735503885795664
ACH-000261,-0.11853346680754165
ACH-000262,-0.6414585867147861
ACH-000263,-0.10918775827469122
ACH-000264,-0.2518624496402235
ACH-000265,-0.6741650915617613
ACH-000266,-0.2706219017249362
ACH-000272,-0.6946086500819082
ACH-000274,-0.06618635626102295
ACH-000277,-0.5231899407550367
ACH-000278,-0.22873679376691625
ACH-000279,-0.20866692651047086
ACH-000280,-0.7653785416848778
ACH-000281,-0.3111301096550373
ACH-000288,-0.5066152494148608
ACH-000291,-0.3405111501213618
ACH-000293,-0.2661991046233605
ACH-000294,0.02572814272145942
ACH-000295,-0.2476890623640072
ACH-000296,-0.21013083803410698
ACH-000302,-0.6997386321207208
ACH-000304,-0.25780949847459944
ACH-000307,-0.2425593950953051
ACH-000308,0.007585197262240733
ACH-000310,-0.13282687818979608
ACH-000311,-0.4014559021966191
ACH-000312,-0.1989449162167997
ACH-000315,-0.3679276665181528
ACH-000316,-0.6466532405757006
ACH-000317,-0.24437044591355506
ACH-000318,-0.7255781438596889
ACH-000319,-0.35754326705518946
ACH-000320,-0.6550336199890133
ACH-000322,-0.4794604935997531
ACH-000323,-0.6518555700115805
ACH-000324,-0.7259210025883417
ACH-000329,-0.4984026359702452
ACH-000330,-0.8215809634787029
ACH-000331,-0.4249932118863403
ACH-000332,-0.2788665690313637
ACH-000334,-0.14959622947327136
ACH-000335,-0.7096571382572818
