,VSTM2L (128434)
ACH-000004,-0.3478249209756985
ACH-000005,0.05509685468460378
ACH-000007,-0.009949484920760752
ACH-000009,-0.08522194229541047
ACH-000011,-0.220248812243996
ACH-000012,-0.09370911881480533
ACH-000013,-0.13377472199457172
ACH-000014,-0.2281923643150669
ACH-000015,-0.11999327316969755
ACH-000017,-0.2880539484339579
ACH-000018,-0.0117089578385599
ACH-000019,-0.2211562719027785
ACH-000021,-0.13212108394850214
ACH-000022,-0.16827848524671535
ACH-000025,-0.12845893242666342
ACH-000028,-0.2350624097676138
ACH-000030,-0.13828731513912487
ACH-000035,-0.11569346822869266
ACH-000036,-0.0662661565574372
ACH-000037,-0.17458855796335182
ACH-000039,0.059409835131336325
ACH-000040,-0.11286914030387953
ACH-000041,-0.07342859445703626
ACH-000042,-0.12460288899361298
ACH-000045,-0.29538242881886845
ACH-000047,-0.055155135047338634
ACH-000052,-0.1789592434611999
ACH-000053,-0.08185421835122546
ACH-000054,-0.1507662624906739
ACH-000055,-0.12897021478323356
ACH-000060,-0.04826933702930352
ACH-000067,-0.03167218763472458
ACH-000070,-0.23917369395732144
ACH-000075,-0.18356758889842134
ACH-000078,-0.17272707697956913
ACH-000082,-0.22212800130365384
ACH-000085,-0.08756745140598587
ACH-000086,-0.0924117464578392
ACH-000087,-0.018011145287581687
ACH-000092,-0.17669343742971275
ACH-000095,-0.07413557875166384
ACH-000097,-0.10029190331444306
ACH-000098,0.005221751565651486
ACH-000099,-0.11180533805104187
ACH-000108,-0.18884741661530696
ACH-000113,-0.09647206387383024
ACH-000116,-0.08063647921885489
ACH-000118,-0.1628402595868713
ACH-000120,-0.13054263825797482
ACH-000123,-0.21214359077001854
ACH-000127,-0.22776994258512065
ACH-000128,-0.2560309850653038
ACH-000132,-0.021116564155434062
ACH-000133,-0.2275406691929292
ACH-000137,-0.04787802262692637
ACH-000138,-0.09940236987745077
ACH-000142,0.007327740640828718
ACH-000143,-0.0638761465009449
ACH-000146,-0.17557754255600694
ACH-000148,-0.1775323098381764
ACH-000150,-0.01647825127731591
ACH-000152,-0.09750735216694506
ACH-000153,-0.2552680412890839
ACH-000159,-0.17906638344530884
ACH-000160,-0.1252743066268424
ACH-000163,-0.11999186988299515
ACH-000167,0.12623001311278118
ACH-000168,-0.06784610180043714
ACH-000169,-0.22405841924899803
ACH-000178,-0.05518836889071499
ACH-000183,-0.11987060645345415
ACH-000188,-0.13847260611626155
ACH-000189,-0.14330123143033166
ACH-000190,0.01869147995383481
ACH-000198,-0.17671590685422084
ACH-000203,-0.2890617041588196
ACH-000204,0.02293915776037677
ACH-000206,-0.15008085824535805
ACH-000207,0.009106788502882584
ACH-000208,-0.06970276211570446
ACH-000210,-0.2415320273975306
ACH-000211,-0.13392906059561369
ACH-000215,-0.01874977080755281
ACH-000221,-0.0982020181265338
ACH-000222,-0.07178966798416175
ACH-000223,-0.1657290077109576
ACH-000226,-0.21861079886796467
ACH-000227,-0.20550443404262128
ACH-000228,-0.27664555349454184
ACH-000231,-0.17524107703098038
ACH-000232,-0.1707876971853937
ACH-000233,-0.18039971325875476
ACH-000234,-0.16117003911589806
ACH-000235,-0.16851694640261922
ACH-000237,-0.08033861629341835
ACH-000238,-0.05652265928016915
ACH-000242,-0.1515909128935738
ACH-000243,-0.12822955878628947
ACH-000244,0.06098102537319128
ACH-000246,-0.15076866646990714
ACH-000248,-0.4174898268868827
ACH-000250,-0.10352176724411698
ACH-000251,-0.015276404187026091
ACH-000252,-0.18619412175986788
ACH-000253,-0.07187937852992295
ACH-000255,-0.3364723627404657
ACH-000256,-0.12982846523714994
ACH-000257,-0.021938457355256315
ACH-000258,-0.2264536978437364
ACH-000259,-0.15318222298469947
ACH-000260,-0.2784123783894428
ACH-000261,-0.19996946700132148
ACH-000262,-0.0010120327799563967
ACH-000263,-0.03100805784325804
ACH-000264,-0.28473263390625464
ACH-000265,-0.14342479262571728
ACH-000266,-0.13765426014881196
ACH-000272,-0.18884647893115655
ACH-000274,-0.2079095435841402
ACH-000277,-0.32169580896655064
ACH-000278,-0.04162400515860076
ACH-000279,-0.06258307032955884
ACH-000280,-0.10408870204886997
ACH-000281,-0.1737130302014584
ACH-000288,-0.12981434304555764
ACH-000291,-0.10642561601053467
ACH-000293,-0.13994164295328726
ACH-000294,-0.19383213250329356
ACH-000295,-0.07071156929092015
ACH-000296,-0.2544172798370551
ACH-000302,-0.06249590751660272
ACH-000304,-0.2253956581526338
ACH-000307,-0.2255285145952654
ACH-000308,-0.10275486327213068
ACH-000310,-0.19399278898892733
