,YWHAH (7533)
ACH-000004,-0.36279973015199996
ACH-000007,-0.433669764739
ACH-000009,-0.0251926141755
ACH-000011,-0.189592859857
ACH-000012,-0.168726100554
ACH-000013,-0.103957176302
ACH-000014,-0.452057409168
ACH-000015,-0.231130579659
ACH-000017,-0.115574870286
ACH-000018,0.00963069561838
ACH-000019,-0.0680668829411
ACH-000021,-0.0480629369962
ACH-000022,-0.08947154165010002
ACH-000025,-0.237453713233
ACH-000028,-0.144262039544
ACH-000030,-0.139676638217
ACH-000035,-0.0152985503642
ACH-000036,-0.286426782801
ACH-000037,-0.227161537497
ACH-000039,-0.0699094663533
ACH-000040,-0.201375116928
ACH-000041,-0.21790699429699997
ACH-000042,-0.106661151598
ACH-000045,-0.38189856161200003
ACH-000047,-0.110044833652
ACH-000052,0.237193649873
ACH-000053,-0.15458936693199998
ACH-000054,-0.175149361122
ACH-000055,0.22504453124499998
ACH-000060,-0.298737399973
ACH-000067,0.0395506327387
ACH-000070,-0.309676257759
ACH-000075,-0.0576318941204
ACH-000078,-0.000210261189748
ACH-000082,-0.0402930522564
ACH-000085,-0.174145224087
ACH-000086,0.10700961804199999
ACH-000087,0.024423207733800002
ACH-000092,-0.119901158438
ACH-000095,-0.207885910293
ACH-000097,-0.18753762247000003
ACH-000098,-0.107221374577
ACH-000099,-0.0714910841667
ACH-000108,0.0382120795747
ACH-000113,-0.15672812165799999
ACH-000115,-0.17396044370000002
ACH-000116,-0.0216130998985
ACH-000118,-0.237593025491
ACH-000120,-0.0682174461577
ACH-000123,-0.000432901353667
ACH-000127,-0.153689649277
ACH-000128,0.036051307403099996
ACH-000132,-0.25556349487
ACH-000133,-0.267672646387
ACH-000137,-0.48536310901699997
ACH-000138,0.119239135274
ACH-000142,0.0809273596508
ACH-000143,-0.16211111042999998
ACH-000146,-0.256233335862
ACH-000148,-0.0773309874476
ACH-000150,-0.08606793730979999
ACH-000152,-0.10563139734200001
ACH-000153,-0.291968048189
ACH-000159,-0.0560224124536
ACH-000160,-0.127779484122
ACH-000163,-0.43473931684699996
ACH-000167,-0.298122151735
ACH-000168,-0.45538042345299995
ACH-000169,-0.0622689475034
ACH-000178,-0.012533237931999999
ACH-000182,0.10173418100500001
