,SYT12 (91683)
ACH-000460,-0.181614035195
ACH-000461,-0.36218203924099995
ACH-000463,-0.12283474315300001
ACH-000464,-0.12869810697
ACH-000466,-0.44655580447899995
ACH-000467,-0.14575583084899998
ACH-000468,-0.394990300734
ACH-000469,0.0608320283899
ACH-000470,-0.0737396975523
ACH-000471,-0.07478242455350001
ACH-000472,-0.314805137487
ACH-000473,-0.191502096285
ACH-000475,-0.199830876127
ACH-000476,-0.279152503334
ACH-000477,-0.139646573153
ACH-000480,-0.610173739363
ACH-000481,-0.310002462147
ACH-000483,-0.220292487226
ACH-000484,-0.14221049165799998
ACH-000485,-0.100223425562
ACH-000486,-0.439799716914
ACH-000487,-0.341680214402
ACH-000488,-0.41360138126900003
ACH-000490,-0.140195817289
ACH-000491,-0.0254052530957
ACH-000495,-0.29633482359900004
ACH-000496,-0.626221158646
ACH-000499,-0.168423818818
ACH-000500,0.43707143241
ACH-000502,-0.24208652059
ACH-000503,-0.713962387289
ACH-000505,-0.18010236687
ACH-000507,-0.206451736444
ACH-000510,-0.240987842417
ACH-000511,-0.220308875981
ACH-000512,0.0976010306153
ACH-000516,-0.10385447847899999
ACH-000517,-0.21882264792800002
ACH-000518,-0.23699092008
ACH-000520,-0.104836940836
ACH-000521,-0.185628745292
ACH-000522,-0.400868355512
ACH-000524,-0.159018081974
ACH-000527,-0.14859238274800002
ACH-000528,-0.169491420868
ACH-000537,-0.142299764569
ACH-000541,-0.299171640252
ACH-000542,-0.187573579411
ACH-000544,-0.343706298594
ACH-000545,-0.6174717226399999
ACH-000547,-0.160856336208
ACH-000548,-0.31677817874
ACH-000549,-0.151461089612
ACH-000550,-0.15979154789
ACH-000552,-0.251089635775
ACH-000556,-0.124144739945
ACH-000557,-0.34377675385
ACH-000570,-0.248731463555
ACH-000571,-0.165343221018
ACH-000573,-0.193706573142
ACH-000576,-0.26320972467
ACH-000580,-0.352465130227
ACH-000584,-0.301190430008
ACH-000585,-0.32270583589699997
ACH-000588,-0.397141527105
ACH-000589,-0.278523220725
ACH-000591,-0.11231778859500001
ACH-000593,-0.18938695959000001
ACH-000600,-0.409457070163
ACH-000601,-0.224769660307
ACH-000604,-0.23287187419799998
ACH-000605,-0.438852575138
ACH-000606,-0.427273281241
ACH-000608,-0.273356110919
ACH-000614,-0.476645275297
ACH-000616,-0.17514806328699997
ACH-000618,-0.599856230495
ACH-000619,-0.564354403468
ACH-000620,-0.121744664901
ACH-000621,-0.287311988776
ACH-000622,-0.2084882524
ACH-000623,-0.0769731466232
ACH-000624,-0.24677944680599997
ACH-000627,0.0820058396302
