,TSR1 (55720)
ACH-000004,-1.7285086912999998
ACH-000007,-1.60003664813
ACH-000009,-1.55812136341
ACH-000011,-1.6148598155899998
ACH-000012,-1.4349933771399999
ACH-000013,-1.6085816275100002
ACH-000014,-1.77613745472
ACH-000015,-1.61435602912
ACH-000017,-1.52583201385
ACH-000018,-1.4289002657499998
ACH-000019,-1.5838859082899999
ACH-000021,-1.52330294392
ACH-000022,-1.44636729574
ACH-000025,-1.3470965053600001
ACH-000028,-1.30686527461
ACH-000030,-1.41696544599
ACH-000035,-1.45097456852
ACH-000036,-1.41410428593
ACH-000037,-1.8268651244999998
ACH-000039,-1.8363627102200002
ACH-000040,-1.4610364552700001
ACH-000041,-1.9969445492200002
ACH-000042,-1.86584371943
ACH-000045,-1.51387249062
ACH-000047,-1.47476493669
ACH-000052,-1.59314207417
ACH-000053,-1.7460429769999999
ACH-000054,-1.53166885023
ACH-000055,-1.7050933491100002
ACH-000060,-1.66459239111
ACH-000067,-1.51524744505
ACH-000070,-1.3275829375900001
ACH-000075,-1.4990247407700001
ACH-000078,-1.7490960900099999
ACH-000082,-1.70284845139
ACH-000085,-1.5595458125
ACH-000086,-1.34921739996
ACH-000087,-1.53805965467
ACH-000092,-1.54912678872
ACH-000095,-1.81418894063
ACH-000097,-1.5855841455000002
ACH-000098,-1.68635935268
ACH-000099,-1.7953588986000002
ACH-000108,-1.56931376384
ACH-000113,-1.49904483682
ACH-000115,-1.0219493046600001
ACH-000116,-1.72028176998
ACH-000118,-1.4138572490399999
ACH-000120,-1.37875596708
ACH-000123,-1.64020732107
ACH-000127,-1.46379375104
ACH-000128,-1.3253715284999998
ACH-000132,-1.5531949223800001
ACH-000133,-1.42272356426
ACH-000137,-1.5725954149899999
ACH-000138,-1.6116169275
ACH-000142,-2.00304597413
ACH-000143,-1.7020158162999999
ACH-000146,-1.7380805438
ACH-000148,-1.5080425749700002
ACH-000150,-1.43612315509
ACH-000152,-1.48887458111
ACH-000153,-1.3588522674
ACH-000159,-1.2958141428299998
ACH-000160,-1.5506949180200003
ACH-000163,-1.28031850236
ACH-000167,-2.0204419116900003
ACH-000168,-1.5530110821
ACH-000169,-1.45885462384
ACH-000178,-1.5706412243
ACH-000182,-1.81905434604
ACH-000183,-1.63731575012
ACH-000188,-1.6601196503400002
ACH-000189,-1.55205703817
ACH-000190,-1.76034011966
ACH-000198,-1.6203007484
ACH-000204,-1.2036427149
ACH-000206,-1.46709841537
ACH-000207,-1.39416794473
ACH-000211,-1.35948889606
ACH-000215,-1.6348013061200002
ACH-000221,-1.61579291962
ACH-000222,-1.3400122453299999
ACH-000223,-1.3740382439200003
ACH-000226,-1.53762579966
ACH-000227,-1.79370148944
