,RHOA (387)
ACH-000004,-1.0571276971999999
ACH-000007,-0.373679056041
ACH-000009,0.309402446149
ACH-000011,-1.03322959239
ACH-000012,0.19796831867800002
ACH-000013,-0.584060364511
ACH-000014,-0.158255632773
ACH-000015,-0.591424647683
ACH-000017,-0.19114395147500002
ACH-000018,-1.17875701876
ACH-000019,0.100553758921
ACH-000021,-0.374585949273
ACH-000022,0.313757019467
ACH-000025,-1.0426613981200001
ACH-000028,0.15806257258
ACH-000030,-0.8437809550190001
ACH-000035,-0.62856871494
ACH-000036,-0.33633140532300004
ACH-000037,-0.0130843447333
ACH-000039,-0.236583725409
ACH-000040,-0.6859858317540001
ACH-000041,-0.921847723457
ACH-000042,-0.23826740048
ACH-000045,-1.0383461558299998
ACH-000047,-0.11113128852
ACH-000052,-0.22351261011100002
ACH-000053,-0.553212604329
ACH-000054,-0.387754840108
ACH-000055,-0.36514534244499997
ACH-000060,-0.412991334036
ACH-000067,-0.469469896727
ACH-000070,-0.811704518573
ACH-000075,-0.176798891772
ACH-000078,-0.7447737170450001
ACH-000082,-0.4201595952
ACH-000085,-0.360313562002
ACH-000086,-0.7063367541490001
ACH-000087,-0.5784401909319999
ACH-000092,-0.8372706853499999
ACH-000095,-0.5290167085199999
ACH-000097,0.10689464849199999
ACH-000098,-1.09165930762
ACH-000099,-0.717570650805
ACH-000108,-0.281850779943
ACH-000113,-1.0652519013500001
ACH-000115,0.131672981513
ACH-000116,-0.7546700618500001
ACH-000118,-0.451284361404
ACH-000120,-0.6937228734499999
ACH-000123,-0.580408849917
ACH-000127,-0.921014971253
ACH-000128,-0.48814618561000006
ACH-000132,-0.570233068073
ACH-000133,-0.364536962371
ACH-000137,-0.6654793241570001
ACH-000138,-0.221273702478
ACH-000142,-0.889830737481
ACH-000143,-0.198087432065
ACH-000146,-0.835625953245
ACH-000148,-0.264224815545
ACH-000150,-1.0253421735
ACH-000152,-0.42729245403099997
ACH-000153,-0.952925439706
ACH-000159,-0.183231344716
ACH-000160,-1.3059255465200001
ACH-000163,-0.0482731556004
ACH-000167,-1.25896855222
ACH-000168,-1.3489530463400001
ACH-000169,-0.389545122557
ACH-000178,-0.292992695955
ACH-000182,-0.194133691396
ACH-000183,-0.481705472658
ACH-000188,-0.477039026023
ACH-000189,-0.5307077463600001
ACH-000190,-0.49957864337499996
ACH-000198,-0.868660218635
ACH-000204,-0.049025526288
ACH-000206,-0.33895489690999997
ACH-000207,-1.24340207646
ACH-000211,-0.383175976303
ACH-000215,-0.50474212812
ACH-000221,-0.389889702273
ACH-000222,-0.153874135656
ACH-000223,-0.484157109751
ACH-000226,-0.664863897174
ACH-000227,-0.8168032754510001
ACH-000228,-0.770335121789
ACH-000231,-0.22635417778499997
ACH-000232,-0.786500376435
ACH-000233,-0.43028989268299994
ACH-000234,-0.126812708996
ACH-000235,-0.8913477223019999
ACH-000237,-0.658887216779
ACH-000238,-0.565880726301
ACH-000243,-0.40676226321500003
ACH-000244,-1.0354188792799999
ACH-000246,-0.279476458794
ACH-000248,-0.43697016836999997
ACH-000250,-0.32674161119399997
ACH-000251,-0.8283730541230001
ACH-000253,0.022398995567200004
ACH-000255,-0.373476665861
ACH-000256,0.0096484617108
ACH-000257,-0.089562361059
ACH-000258,-0.423168253956
ACH-000259,-0.316696967733
ACH-000260,-0.283345497728
ACH-000261,-0.8795646407430001
ACH-000262,-0.05747169287330001
ACH-000263,-0.520709401002
ACH-000264,-0.44537607814499997
ACH-000265,-0.518712135458
ACH-000266,-0.341435543548
ACH-000272,-0.46888112464500004
ACH-000273,-0.363100520303
ACH-000274,-0.8186783986120001
ACH-000277,-0.556119539269
ACH-000278,-0.7603761220919999
ACH-000279,-0.6423419284130001
ACH-000280,-0.69451521655
ACH-000281,-1.28555602474
ACH-000288,-0.547208924616
ACH-000291,-0.33047260210900004
ACH-000293,-0.384193703152
ACH-000294,-1.1111000388799999
ACH-000295,-1.0781445497600002
ACH-000296,-0.114392100581
ACH-000302,-0.348060919324
ACH-000304,-0.244454937798
ACH-000307,-0.7353916063629999
ACH-000308,-0.48194419319799997
ACH-000310,-0.8808824664129999
ACH-000311,-0.514140218577
ACH-000312,-0.184488188402
ACH-000315,-1.49325273618
ACH-000316,-0.61913450197
ACH-000317,-0.594055760397
ACH-000318,-0.587087108227
ACH-000319,-0.431026946206
ACH-000320,-0.5462767617700001
ACH-000322,0.100864690695
ACH-000323,-0.0077772642781499994
ACH-000324,-0.543914275069
ACH-000329,0.00964614591884
ACH-000330,0.43145788016000003
ACH-000331,-0.44850716167300003
ACH-000332,-0.48360572914800004
ACH-000334,-1.30650190626
ACH-000335,0.306167377114
ACH-000336,-0.8600302654080001
ACH-000337,-0.0255808185706
ACH-000339,-0.537916867012
ACH-000341,-0.272318486864
ACH-000348,-0.18484781220199997
ACH-000350,-0.615346905533
ACH-000352,-0.340925658455
ACH-000356,-0.605926703575
ACH-000361,0.09092127145410002
ACH-000362,-1.1162994853000001
ACH-000363,-0.367193795881
ACH-000364,-0.935564772166
ACH-000365,-1.2352114379
ACH-000366,-0.5210876933640001
ACH-000368,-0.0135870225684
ACH-000374,-0.6746392605589999
ACH-000375,-0.760237765549
ACH-000376,-0.316238251925
ACH-000381,0.0132692076402
ACH-000383,-0.5262663043729999
ACH-000387,-0.54795305618
ACH-000389,-0.150827620335
ACH-000390,-0.8434808733600001
ACH-000393,-0.406126605325
ACH-000395,-0.954128207921
ACH-000397,-0.979958646971
ACH-000401,-0.703966722693
ACH-000402,-0.8310619885189999
ACH-000403,-1.29512799063
ACH-000404,-0.765687817699
ACH-000406,-1.1908571438700002
ACH-000407,-1.1315931615700001
ACH-000408,-0.487021679356
ACH-000410,0.13806045742200002
ACH-000411,-0.44958269830799996
ACH-000414,-0.136124625248
ACH-000415,-0.441767642999
ACH-000416,-0.16798702235
ACH-000420,-0.723157605467
ACH-000421,-0.27073169768399996
ACH-000424,-0.331149787877
ACH-000425,-0.34138932204899997
ACH-000426,-0.530166080285
ACH-000427,-0.6981046147769999
ACH-000433,-0.8913069851809999
ACH-000436,-0.743943012687
ACH-000444,-0.678524835379
ACH-000445,-0.280978224796
ACH-000448,-0.45309666979400004
ACH-000450,-0.8314288085870001
ACH-000452,-0.337971086699
ACH-000454,-1.30769303706
ACH-000458,-0.686370998924
ACH-000459,-0.607995753987
ACH-000460,-0.6627062655479999
ACH-000461,-0.38195208993
ACH-000463,-0.161031021247
ACH-000464,-0.657423152896
ACH-000466,-1.2187906279
ACH-000467,-0.1828877935
ACH-000468,-1.06294401022
ACH-000469,-0.737111994718
ACH-000470,0.252290578886
ACH-000471,-0.120299248273
ACH-000472,-0.40905849590099996
ACH-000473,-0.35532922984
ACH-000475,-0.277512100168
ACH-000476,-0.156948672845
ACH-000477,-0.5408859333280001
ACH-000480,-0.462429476193
ACH-000481,-0.6450404539060001
ACH-000483,-0.192541267732
ACH-000484,-0.398299211775
ACH-000485,-0.291829144629
ACH-000486,-0.615715494513
ACH-000487,-1.1637410432100002
ACH-000488,-0.445628852417
ACH-000490,-0.196102554624
ACH-000491,-0.381481577095
ACH-000495,-0.06296362938040001
ACH-000496,-0.9766278849429999
ACH-000499,-0.467805290386
ACH-000500,0.221334043379
ACH-000502,-0.288165611864
ACH-000503,-0.863391425411
ACH-000505,-0.752359127026
ACH-000507,-0.151207134523
ACH-000510,-0.610632560151
ACH-000511,-1.1127114774299998
ACH-000512,-0.315661783064
ACH-000516,-0.409335740772
ACH-000517,-0.576594486298
ACH-000518,-0.48783903092500003
ACH-000520,-0.6374587240990001
ACH-000521,-0.8193546951890001
ACH-000522,-0.68097267493
ACH-000524,-0.531689990223
ACH-000527,-0.487532229078
ACH-000528,-0.253695112065
ACH-000537,-0.824642978435
ACH-000541,-0.41135995456200003
ACH-000542,-0.801325736773
ACH-000544,-0.46946571913199997
