,CGGBP1 (8545)
ACH-000004,-0.0288665268958
ACH-000007,-0.17639613427900003
ACH-000009,-0.138402395367
ACH-000011,-0.107953403268
ACH-000012,-0.150347022084
ACH-000013,0.0387905189899
ACH-000014,-0.0795693280955
ACH-000015,-0.517631362434
ACH-000017,-0.0142553172226
ACH-000018,-0.490157182447
ACH-000019,-0.155126115344
ACH-000021,-0.194708127081
ACH-000022,-0.020216279363
ACH-000025,-0.22312371604200001
ACH-000028,-0.358967114543
ACH-000030,-0.12340480088400001
ACH-000035,-0.104196262239
ACH-000036,-0.18772556834100002
ACH-000037,-0.107838105223
ACH-000039,-0.365532320367
ACH-000040,-0.316404320614
ACH-000041,0.0153375455038
ACH-000042,-0.122537379433
ACH-000045,-0.326206187829
ACH-000047,0.028391325574400002
ACH-000052,-0.07251438518400001
ACH-000053,-0.104857337767
ACH-000054,-0.165992353279
ACH-000055,-0.23150168378000002
ACH-000060,-0.124062842976
ACH-000067,-0.566497656524
ACH-000070,-0.45798453404399997
ACH-000075,-0.16279295193600002
ACH-000078,-0.0203690204979
ACH-000082,-0.11206268569700001
ACH-000085,0.039832819148
ACH-000086,-0.0614975446693
ACH-000087,-0.282531787379
ACH-000092,-0.45930539629100003
ACH-000095,-0.0292890881206
ACH-000097,-0.11411108870200001
ACH-000098,-0.16799969100900003
ACH-000099,0.0332466790114
ACH-000108,-0.258191854202
ACH-000113,-0.15528918638699998
ACH-000115,-0.20207294529199998
ACH-000116,-0.102296667228
ACH-000118,-0.28530415222
ACH-000120,-0.106763908445
ACH-000123,-0.28762023031
ACH-000127,-0.09287525261469999
ACH-000128,-0.229972672815
ACH-000132,0.07945370901650001
ACH-000133,-0.185776294321
ACH-000137,-0.283885023417
ACH-000138,-0.0701819311695
ACH-000142,0.019014881118400002
ACH-000143,-0.018596086764900002
ACH-000146,-0.165208781305
ACH-000148,0.00938103412749
ACH-000150,-0.13562076498700001
ACH-000152,-0.0664156693046
ACH-000153,-0.343234491232
ACH-000159,-0.221401997658
ACH-000160,0.095040923375
ACH-000163,-0.059497979310999996
ACH-000167,-0.09511754069329999
