,FKBPL (63943)
ACH-000004,-0.10853393194800001
ACH-000007,-0.152648339608
ACH-000009,-0.160599622578
ACH-000011,-0.00993142133555
ACH-000012,-0.156401892043
ACH-000013,-0.0742633032223
ACH-000014,-0.022854742059299996
ACH-000015,-0.07367091921360001
ACH-000017,-0.299293942083
ACH-000018,0.189471213623
ACH-000019,-0.57682028025
ACH-000021,0.171458237941
ACH-000022,-0.26545978151099997
ACH-000025,-0.265186518834
ACH-000028,-0.53696846048
ACH-000030,-0.48841359465000006
ACH-000035,-0.042706874647199994
ACH-000036,-0.328851101352
ACH-000037,-0.11727027757099999
ACH-000039,0.0701619841043
ACH-000040,-0.124503289834
ACH-000041,0.154250562041
ACH-000042,-0.300199946445
ACH-000045,-0.19425086263799998
ACH-000047,0.418366773369
ACH-000052,0.00384081240893
ACH-000053,0.15774561089199998
ACH-000054,0.0575590991493
ACH-000055,-0.258242992613
ACH-000060,-0.300605629595
ACH-000067,-0.20690649432500002
ACH-000070,0.07220324077279999
ACH-000075,-0.4074874186
ACH-000078,-0.0356087148285
ACH-000082,0.141230942282
ACH-000085,0.0044558229621
ACH-000086,-0.268353089775
ACH-000087,-0.205393603376
ACH-000092,0.030480337468
ACH-000095,-0.0163928836886
ACH-000097,-0.49891087389600003
ACH-000098,0.109590957518
ACH-000099,0.133701777703
ACH-000108,-0.110543802706
ACH-000113,-0.16492571409700002
ACH-000115,-0.411152852623
ACH-000116,-0.06872377625260001
ACH-000118,0.0785148932848
ACH-000120,-0.131128593589
ACH-000123,-0.19957246554000002
ACH-000127,0.018631958812599998
ACH-000128,0.09686363229900001
ACH-000132,-0.153432155367
ACH-000133,0.0530582011275
ACH-000137,-0.43579226650700004
ACH-000138,-0.195432013762
ACH-000142,-0.292103351281
ACH-000143,-0.0102608683133
ACH-000146,0.13820068754200002
ACH-000148,-0.166948616062
ACH-000150,-0.301526504978
ACH-000152,0.109518410021
ACH-000153,0.00826507392877
ACH-000159,0.0708071297376
ACH-000160,0.0275878098956
ACH-000163,-0.0739910895317
ACH-000167,-0.204164791206
ACH-000168,-0.22663350015
ACH-000169,-0.0341446509247
ACH-000178,-0.22124282434999998
ACH-000182,-0.266558204157
ACH-000183,-0.3121157953
ACH-000188,-0.5066233815250001
