,XXYLT1 (152002)
ACH-000004,-0.183596563959
ACH-000007,-0.17080384101799997
ACH-000009,-0.36992460903200003
ACH-000011,-0.178477456732
ACH-000012,-0.374006862082
ACH-000013,-0.198181759536
ACH-000014,-0.25853356536600003
ACH-000015,-0.197764823329
ACH-000017,-0.35935019602799995
ACH-000018,-0.255227016808
ACH-000019,-0.458919423609
ACH-000021,-0.0926301032467
ACH-000022,-0.144621615154
ACH-000025,-0.332238571865
ACH-000028,-0.49372185568599997
ACH-000030,-0.32364913535900003
ACH-000035,-0.0873098361562
ACH-000036,-0.42068087268700005
ACH-000037,-0.09400341490439999
ACH-000039,-0.45508159283
ACH-000040,-0.293370300892
ACH-000041,-0.09281277337210002
ACH-000042,-0.328888539725
ACH-000045,-0.380487421976
ACH-000047,-0.480276017701
ACH-000052,-0.369117682322
ACH-000053,-0.41368234609099996
ACH-000054,-0.300551257586
ACH-000055,-0.344455582473
ACH-000060,-0.509696956215
ACH-000067,-0.339519831937
ACH-000070,-0.24251676048300003
ACH-000075,-0.126905205738
ACH-000078,-0.006532212505390001
ACH-000082,-0.159521352894
ACH-000085,-0.062246794387300006
ACH-000086,-0.35587143312200004
ACH-000087,-0.22042780093699998
ACH-000092,-0.244897276101
ACH-000095,-0.32570407135699997
ACH-000097,-0.16998596463100002
ACH-000098,-0.154030450272
ACH-000099,-0.244187547
ACH-000108,-0.427697453248
ACH-000113,-0.157186373434
ACH-000115,-0.23379781262899998
ACH-000116,-0.291804093296
ACH-000118,-0.19282877019000003
ACH-000120,-0.20891838476500002
ACH-000123,-0.270229836427
ACH-000127,-0.224649786021
ACH-000128,-0.20245955462499998
ACH-000132,-0.326047021919
ACH-000133,-0.340218802383
ACH-000137,-0.0561995615468
ACH-000138,-0.41877544594000005
ACH-000142,-0.43522480466200003
ACH-000143,-0.440048383518
ACH-000146,-0.316688702704
ACH-000148,-0.14541327638499998
ACH-000150,-0.271243134148
ACH-000152,-0.255127560559
ACH-000153,-0.150480798245
ACH-000159,-0.29673433526
ACH-000160,-0.569059207926
ACH-000163,-0.039203196194800005
ACH-000167,-0.371897180534
ACH-000168,-0.528209215938
ACH-000169,-0.147589525164
ACH-000178,-0.34612576948299995
ACH-000182,-0.340069202326
ACH-000183,-0.440005248499
ACH-000188,-0.273671506982
ACH-000189,-0.519378457072
ACH-000190,-0.193266032167
ACH-000198,-0.296474652964
ACH-000204,-0.535856318362
ACH-000206,-0.128894420484
ACH-000207,-0.393817675648
ACH-000211,-0.360764359426
ACH-000215,-0.149217869661
ACH-000221,-0.0368578489803
ACH-000222,-0.302096219899
ACH-000223,-0.36621254211300003
ACH-000226,-0.130154675907
ACH-000227,-0.326195283138
ACH-000228,-0.20297623099599998
ACH-000231,-0.310226291181
ACH-000232,-0.36464385932300003
ACH-000233,-0.08800978850739999
ACH-000234,-0.608030902509
ACH-000235,-0.301746808144
ACH-000237,-0.34339977602399996
ACH-000238,-0.536916636486
ACH-000243,-0.229640349105
ACH-000244,-0.10939407412699999
ACH-000246,-0.29774784164900003
ACH-000248,-0.270404022899
ACH-000250,-0.307200085501
ACH-000251,-0.49889583044299995
ACH-000253,-0.452409290669
ACH-000255,-0.182203077377
ACH-000256,-0.23635829395999997
ACH-000257,-0.516016736371
ACH-000258,-0.467807972693
ACH-000259,-0.284268792722
ACH-000260,-0.210031965636
ACH-000261,-0.339933925145
ACH-000262,-0.0242165300585
ACH-000263,-0.47636936974
ACH-000264,-0.29877849446
ACH-000265,-0.157217667285
ACH-000266,-0.426843734468
ACH-000272,-0.217158290481
ACH-000273,-0.41755059327
ACH-000274,-0.42009839257
ACH-000277,-0.306442255963
ACH-000278,-0.183675225687
ACH-000279,-0.454198398311
ACH-000280,-0.323147116909
ACH-000281,-0.30315870372299997
ACH-000288,-0.22604747064
ACH-000291,-0.235746626401
ACH-000293,-0.43613086553999997
ACH-000294,-0.292390023738
ACH-000295,-0.381922526273
ACH-000296,-0.46528848108599996
ACH-000302,-0.245001979921
ACH-000304,-0.177435913508
ACH-000307,-0.273013337697
ACH-000308,-0.288454729673
ACH-000310,-0.32299775319
ACH-000311,-0.0942057724594
ACH-000312,-0.369416309063
ACH-000315,-0.09323093001339999
ACH-000316,-0.268067579693
ACH-000317,-0.0191332982488
ACH-000318,-0.335080685258
ACH-000319,-0.148329297588
ACH-000320,-0.293044684344
ACH-000322,-0.40622664328900004
ACH-000323,-0.517007560223
ACH-000324,-0.17927963428100002
ACH-000329,-0.222625929016
ACH-000330,-0.199465482731
ACH-000331,-0.334034543066
ACH-000332,-0.306035609381
ACH-000334,-0.248965356803
ACH-000335,-0.432518000125
ACH-000336,-0.34311863852799995
ACH-000337,-0.43033440441699994
ACH-000339,-0.31304876417399996
ACH-000341,-0.536618671434
ACH-000348,-0.2825064263
ACH-000350,-0.07713615412949999
ACH-000352,-0.392220604484
ACH-000356,0.00782952292108
ACH-000361,-0.0200576272973
ACH-000362,-0.29827964683200003
ACH-000363,-0.05538821132180001
ACH-000364,-0.20841169459800002
ACH-000365,-0.35182757836999995
ACH-000366,-0.151431173463
ACH-000368,-0.205089105183
ACH-000374,-0.10349194613299999
ACH-000375,-0.36750930728200004
ACH-000376,-0.32212677594300004
ACH-000381,-0.555449109169
ACH-000383,-0.268637222884
ACH-000387,-0.49914877390900003
ACH-000389,-0.0429101018911
ACH-000390,-0.383607620388
ACH-000393,-0.263638586171
ACH-000395,-0.33511876738
ACH-000397,-0.222142311501
ACH-000401,-0.470656528888
ACH-000402,-0.6114112811110001
ACH-000403,-0.34863374499099997
ACH-000404,-0.243156686637
ACH-000406,-0.215637909612
ACH-000407,-0.196205265757
ACH-000408,-0.25605638966
ACH-000410,-0.34888609704400003
ACH-000411,-0.214160286719
ACH-000414,-0.312003558969
ACH-000415,-0.317436801628
ACH-000416,-0.280375041915
ACH-000420,-0.333053683486
ACH-000421,-0.21554758800700002
ACH-000424,-0.21199143444200003
ACH-000425,-0.418621515586
ACH-000426,-0.285903476258
ACH-000427,-0.245926678978
ACH-000433,-0.4769118411
ACH-000436,-0.299010451023
ACH-000444,-0.30059887632
ACH-000445,-0.279815567101
ACH-000448,-0.42787264619099996
ACH-000450,-0.41864102288099997
ACH-000452,-0.197208086463
ACH-000454,-0.43463628160800005
ACH-000458,-0.189043786344
ACH-000459,-0.382132143293
ACH-000460,-0.452410846416
ACH-000461,-0.25732043812600003
ACH-000463,-0.134146227707
ACH-000464,-0.276322207183
ACH-000466,-0.367902733147
ACH-000467,-0.468804488107
ACH-000468,-0.10657658894
ACH-000469,-0.340260668168
ACH-000470,-0.556635419794
ACH-000471,-0.29232256806999996
ACH-000472,-0.251803634338
ACH-000473,-0.38500926315899997
ACH-000475,-0.24412695705899998
ACH-000476,-0.0601988268865
ACH-000477,-0.370142732347
ACH-000480,-0.402925077583
ACH-000481,-0.09602285457939999
ACH-000483,-0.48890808688000004
ACH-000484,-0.180219263293
ACH-000485,-0.301683747022
ACH-000486,-0.368221412101
ACH-000487,-0.027381988572999998
ACH-000488,-0.280235303724
ACH-000490,-0.305222306659
ACH-000491,-0.279136097063
ACH-000495,-0.34886518089900004
ACH-000496,-0.252155724147
ACH-000499,-0.244989191032
ACH-000500,-0.132777815419
ACH-000502,-0.44487329076300003
ACH-000503,-0.11473788535900001
ACH-000505,-0.274625104415
ACH-000507,-0.243535843253
ACH-000510,-0.18888077167999998
ACH-000511,-0.34251171949299997
ACH-000512,-0.480454536193
ACH-000516,-0.113497214505
ACH-000517,-0.339869105959
ACH-000518,-0.331283575192
ACH-000520,-0.419387455023
ACH-000521,-0.28422409122299996
ACH-000522,-0.160085439875
ACH-000524,-0.270588543435
ACH-000527,-0.336455468046
ACH-000528,-0.352685236818
ACH-000537,-0.024313820488299998
ACH-000541,-0.272948333233
ACH-000542,-0.196294425702
ACH-000544,-0.155301370401
ACH-000545,-0.272195982229
ACH-000547,-0.652808700898
ACH-000548,-0.406093620128
ACH-000549,-0.285000558114
