,RHOC (389)
ACH-000004,-0.09266431711239999
ACH-000007,-0.0790590606305
ACH-000009,-0.0545027738442
ACH-000011,-0.44875974059600005
ACH-000012,-0.192900093503
ACH-000013,-0.27834371929900004
ACH-000014,-0.199773809239
ACH-000015,-0.386894367563
ACH-000017,-0.21610295747699998
ACH-000018,-0.35467826058799995
ACH-000019,-0.0652031488522
ACH-000021,-0.218496303211
ACH-000022,-0.00772152610213
ACH-000025,-0.512538005142
ACH-000028,-0.19475642028499998
ACH-000030,-0.403960900166
ACH-000035,-0.54343616744
ACH-000036,-0.29193568327799996
ACH-000037,-0.11795305323699999
ACH-000039,-0.46614572265500004
ACH-000040,-0.279520475675
ACH-000041,-0.337530956425
ACH-000042,0.020351247968500002
ACH-000045,-0.22835144444299998
ACH-000047,-0.024298478739299998
ACH-000052,-0.12823419649599999
ACH-000053,-0.227005748823
ACH-000054,-0.280628143213
ACH-000055,-0.13473732124600002
ACH-000060,-0.368285939382
ACH-000067,-0.29214705378600003
ACH-000070,-0.235741763921
ACH-000075,-0.40168372509000005
ACH-000078,-0.438160221228
ACH-000082,-0.359935979176
ACH-000085,-0.26711194799000004
ACH-000086,-0.298341498431
ACH-000087,-0.17128190144900002
ACH-000092,-0.455208748977
ACH-000095,-0.285458702028
ACH-000097,0.0126974733493
ACH-000098,-0.385481422191
ACH-000099,-0.337109786758
ACH-000108,-0.19129837903799998
ACH-000113,-0.08659436796089999
ACH-000115,-0.170446427016
ACH-000116,-0.18535692303399998
ACH-000118,-0.219082088052
ACH-000120,-0.297538093289
ACH-000123,-0.351914249979
ACH-000127,-0.34490543397
ACH-000128,-0.25075442383
ACH-000132,-0.224215492377
ACH-000133,-0.42179907233
ACH-000137,-0.20942272874499998
ACH-000138,-0.09281643384260001
ACH-000142,-0.279629350658
ACH-000143,-0.0504907803825
ACH-000146,-0.230115321184
ACH-000148,-0.25916929977200004
ACH-000150,-0.19849554646099998
ACH-000152,-0.308522123361
ACH-000153,-0.424177007332
ACH-000159,-0.312305896625
ACH-000160,-0.237460915839
ACH-000163,-0.29541453336
ACH-000167,-0.00361341566214
ACH-000168,-0.253443336584
ACH-000169,-0.263107184586
ACH-000178,-0.140672074686
ACH-000182,-0.0831920891002
ACH-000183,-0.08321046749760001
ACH-000188,-0.36687979580200003
ACH-000189,-0.576120976212
ACH-000190,-0.185934089992
ACH-000198,-0.230686999416
ACH-000204,-0.240693489416
ACH-000206,-0.31161640640599997
ACH-000207,-0.45246342301200004
ACH-000211,-0.184657020623
ACH-000215,-0.295670097176
ACH-000221,-0.294931918803
ACH-000222,-0.17548629514199998
ACH-000223,-0.23487048474599997
ACH-000226,-0.286954503464
ACH-000227,-0.6061384309160001
ACH-000228,-0.335609904506
ACH-000231,-0.257330703566
ACH-000232,-0.19706429792
ACH-000233,-0.08354029246410001
ACH-000234,-0.15792759769200002
ACH-000235,-0.181694666572
ACH-000237,-0.159313688345
ACH-000238,-0.369810565233
ACH-000243,-0.125836048127
ACH-000244,-0.19163070085099998
ACH-000246,-0.215635739547
ACH-000248,-0.136227679291
ACH-000250,-0.236237241629
ACH-000251,-0.538151122015
ACH-000253,-0.017630756767
ACH-000255,-0.278048137187
ACH-000256,0.002662359057
ACH-000257,-0.154237382974
ACH-000258,-0.151320163584
ACH-000259,-0.332076345691
ACH-000260,-0.234708076411
ACH-000261,-0.321386685873
ACH-000262,-0.130624326972
ACH-000263,-0.0306156971576
ACH-000264,-0.352044919662
ACH-000265,-0.401529489957
ACH-000266,-0.0573728917661
ACH-000272,-0.416853657621
ACH-000273,-0.270002668459
ACH-000274,-0.306586051688
ACH-000277,-0.368210737272
ACH-000278,-0.232333987216
ACH-000279,-0.174516085432
ACH-000280,-0.18741273485100002
ACH-000281,-0.0303605974587
ACH-000288,-0.184302999316
ACH-000291,-0.24786241278
ACH-000293,-0.343084259756
ACH-000294,-0.345132505533
ACH-000295,0.031529800260200004
ACH-000296,-0.290596654967
ACH-000302,-0.342500491333
ACH-000304,-0.618624730682
ACH-000307,-0.09661671557939999
ACH-000308,-0.31533768504
ACH-000310,-0.715608621816
ACH-000311,-0.214378811048
ACH-000312,-0.306855513407
ACH-000315,-0.446751383162
ACH-000316,-0.210402681357
ACH-000317,-0.36802949633000004
ACH-000318,-0.312404304687
ACH-000319,-0.102339642523
ACH-000320,-0.418730686563
ACH-000322,-0.24498663966499998
ACH-000323,-0.367058213073
ACH-000324,-0.383429627742
ACH-000329,-0.145279823114
ACH-000330,-0.170320641212
ACH-000331,-0.476702322556
ACH-000332,-0.0955254356724
ACH-000334,-0.20631286371
ACH-000335,-0.479435802156
ACH-000336,-0.017786882622099997
ACH-000337,-0.17248274930100002
ACH-000339,-0.275493478611
ACH-000341,-0.578549085633
ACH-000348,-0.07785795831419999
ACH-000350,-0.10577108976399999
ACH-000352,-0.24375117270799998
ACH-000356,-0.33916318848000004
ACH-000361,-0.34081208149400005
ACH-000362,-0.221955415221
ACH-000363,-0.09915819822319999
ACH-000364,-0.222737522036
ACH-000365,-0.13569732814899998
ACH-000366,-0.341633529227
ACH-000368,0.0724839312605
ACH-000374,-0.334708728169
ACH-000375,-0.155609751072
ACH-000376,-0.297210870542
ACH-000381,-0.23087539628800002
ACH-000383,-0.218438281932
ACH-000387,-0.138178659026
ACH-000389,0.110456710755
ACH-000390,-0.240938884975
ACH-000393,-0.321933856895
ACH-000395,-0.400362439485
ACH-000397,-0.251434509065
ACH-000401,-0.249278944192
ACH-000402,-0.358962685878
ACH-000403,-0.0679114905437
ACH-000404,-0.209106230632
ACH-000406,-0.235999753759
ACH-000407,-0.37519391762599996
ACH-000408,-0.38246187827100003
ACH-000410,-0.110736889673
ACH-000411,-0.30937324767700003
ACH-000414,-0.36142069507799995
ACH-000415,-0.343680352505
ACH-000416,-0.267286171981
ACH-000420,-0.21927243718000003
ACH-000421,-0.18703724109900002
ACH-000424,0.0067970231721
ACH-000425,-0.233816452785
ACH-000426,-0.13353687861
ACH-000427,-0.315275742194
ACH-000433,-0.34041246504
ACH-000436,-0.159613595425
ACH-000444,-0.181370486611
ACH-000445,-0.21447301761100002
ACH-000448,-0.435950668169
ACH-000450,-0.17662389317299998
ACH-000452,-0.190931078569
ACH-000454,-0.423591958525
ACH-000458,-0.537924500119
ACH-000459,0.119757689475
ACH-000460,-0.0391060802931
ACH-000461,-0.22704001042599997
ACH-000463,-0.148911910851
ACH-000464,-0.040232029445000005
ACH-000466,-0.429233093648
ACH-000467,-0.182367345932
ACH-000468,-0.47406797471699996
ACH-000469,-0.350568895284
ACH-000470,0.0747674153478
ACH-000471,-0.04326931030669999
ACH-000472,-0.168030112273
ACH-000473,-0.0351105497731
ACH-000475,-0.281506746523
ACH-000476,-0.252424050814
ACH-000477,-0.206793273209
ACH-000480,-0.212290465766
ACH-000481,-0.166626070745
ACH-000483,-0.128495525015
ACH-000484,-0.161729812394
ACH-000485,-0.464469693073
ACH-000486,-0.283713571595
ACH-000487,-0.264260146438
ACH-000488,-0.0837011870833
ACH-000490,-0.12307401597100001
ACH-000491,-0.319748028295
ACH-000495,-0.16593837157
ACH-000496,-0.35642178175399997
ACH-000499,-0.527865553926
ACH-000500,0.217489790954
ACH-000502,-0.18099711172400001
ACH-000503,-0.0527404736132
ACH-000505,-0.26255418352800003
ACH-000507,-0.15475345574000002
ACH-000510,-0.178706319686
ACH-000511,-0.559971582414
ACH-000512,-0.31143806760000003
ACH-000516,-0.202726931871
