,ALDOC (230)
ACH-000004,-0.261403945081
ACH-000007,-0.024075796754400004
ACH-000009,-0.331375085932
ACH-000011,-0.290494207304
ACH-000012,-0.24154633599800002
ACH-000013,-0.164831995323
ACH-000014,-0.0712284545042
ACH-000015,-0.078979247833
ACH-000017,-0.295323879219
ACH-000018,-0.30808915559
ACH-000019,-0.447525023116
ACH-000021,-0.309217306819
ACH-000022,-0.586701552845
ACH-000025,0.06351765985539999
ACH-000028,-0.337177594148
ACH-000030,-0.308136131552
ACH-000035,-0.418920850574
ACH-000036,-0.298938165761
ACH-000037,-0.293242597326
ACH-000039,-0.27217960318000006
ACH-000040,-0.299648899377
ACH-000041,-0.451363628944
ACH-000042,-0.135162157309
ACH-000045,-0.13126451900900002
ACH-000047,-0.205851744133
ACH-000052,-0.146430535632
ACH-000053,-0.36913085671499996
ACH-000054,-0.23383322391199998
ACH-000055,-0.11980524288200001
ACH-000060,-0.338136035867
ACH-000067,-0.42402677919299997
ACH-000070,-0.31934433097
ACH-000075,-0.10196633855000001
ACH-000078,-0.27543429922699997
ACH-000082,-0.232852976618
ACH-000085,-0.139747547644
ACH-000086,-0.12491844844599999
ACH-000087,-0.124718160775
ACH-000092,-0.04864547722019999
ACH-000095,-0.226453466813
ACH-000097,-0.391219884327
ACH-000098,-0.13899308439400002
ACH-000099,-0.0737117453568
ACH-000108,-0.242277638897
ACH-000113,-0.32283307184
ACH-000115,-0.25671953328
ACH-000116,-0.126474823676
ACH-000118,-0.20513633340100002
ACH-000120,-0.212347117148
ACH-000123,-0.497587104621
ACH-000127,-0.0453122176516
ACH-000128,-0.210228915377
ACH-000132,-0.133767228087
ACH-000133,-0.217682210268
ACH-000137,-0.328552692204
ACH-000138,-0.129350740229
ACH-000142,-0.3918224078
ACH-000143,-0.30421127588799995
ACH-000146,-0.352866643912
ACH-000148,-0.312285256484
ACH-000150,-0.11546001861300001
ACH-000152,-0.371941724326
ACH-000153,-0.234182336259
ACH-000159,-0.167876265148
ACH-000160,-0.206610643088
ACH-000163,-0.482116572502
ACH-000167,0.0127118144142
ACH-000168,-0.42513157778300004
ACH-000169,-0.19123200978
ACH-000178,0.030704539838799998
ACH-000182,-0.257437381903
ACH-000183,-0.279897809984
