,RTKN (6242)
ACH-000004,-0.46177588594499996
ACH-000007,-0.555702825952
ACH-000009,-0.162559642477
ACH-000011,-0.193345840843
ACH-000012,-0.399034973309
ACH-000013,-0.255431913126
ACH-000014,-0.213185452665
ACH-000015,-0.152414005505
ACH-000017,-0.10267808884299999
ACH-000018,-0.388914456262
ACH-000019,-0.102697224504
ACH-000021,-0.32510968879999996
ACH-000022,-0.24224419311999998
ACH-000025,-0.441461866259
ACH-000028,-0.35680295083999997
ACH-000030,-0.293714547212
ACH-000035,-0.333576135277
ACH-000036,-0.358591099221
ACH-000037,-0.336561441949
ACH-000039,-0.434365692135
ACH-000040,-0.2778482405
ACH-000041,-0.07967614576939999
ACH-000042,-0.175626073115
ACH-000045,-0.0522143439534
ACH-000047,-0.291846627572
ACH-000052,-0.44077826466200004
ACH-000053,-0.270849749982
ACH-000054,-0.43813922834200003
ACH-000055,-0.54569065901
ACH-000060,-0.301024546327
ACH-000067,-0.514942115564
ACH-000070,-0.284609557283
ACH-000075,0.0862340854301
ACH-000078,-0.150740715764
ACH-000082,-0.42499807933899997
ACH-000085,-0.365654046185
ACH-000086,-0.306690418574
ACH-000087,-0.5057492872739999
ACH-000092,-0.49308748428099997
ACH-000095,-0.473386054111
ACH-000097,-0.247154909838
ACH-000098,-0.416800467693
ACH-000099,-0.111243753848
ACH-000108,-0.327412070966
ACH-000113,-0.0131197139958
ACH-000115,-0.0396427746382
ACH-000116,-0.254021022907
ACH-000118,-0.287531418526
ACH-000120,-0.274833812429
ACH-000123,-0.285921881221
ACH-000127,-0.0778593101412
ACH-000128,-0.42416129960999993
ACH-000132,-0.0893048221087
ACH-000133,-0.377397304853
ACH-000137,-0.311766409996
ACH-000138,-0.429972083002
ACH-000142,-0.301942191528
ACH-000143,-0.230177040059
ACH-000146,-0.175745254683
ACH-000148,-0.178048647483
ACH-000150,-0.297089373946
ACH-000152,-0.581680773411
ACH-000153,-0.65233286016
ACH-000159,-0.123347080902
ACH-000160,-0.244197701876
ACH-000163,-0.45936753208400005
ACH-000167,0.104419936985
ACH-000168,0.05469325713480001
ACH-000169,-0.283964673947
ACH-000178,-0.31215313429
ACH-000182,-0.139334898928
ACH-000183,-0.253051267362
ACH-000188,-0.355939240487
ACH-000189,-0.213051791013
ACH-000190,-0.380810647357
ACH-000198,-0.234351376954
ACH-000204,-0.47193558256800006
ACH-000206,-0.264474022721
ACH-000207,-0.18697346835499998
ACH-000211,-0.20415369674699999
ACH-000215,-0.330875027074
ACH-000221,-0.583244133459
ACH-000222,-0.419178289631
ACH-000223,-0.047880788106
ACH-000226,-0.407998215954
ACH-000227,-0.264612957506
ACH-000228,-0.452699243084
ACH-000231,-0.293968450321
ACH-000232,-0.210910156829
ACH-000233,-0.0233171405145
ACH-000234,-0.0533202010426
ACH-000235,-0.258976559576
ACH-000237,-0.331803108385
ACH-000238,-0.310837756904
ACH-000243,-0.64071964249
ACH-000244,-0.223344123306
ACH-000246,-0.22453104770500001
ACH-000248,-0.243828395478
