,FEM1C (56929)
ACH-000004,-0.130543371831
ACH-000007,0.17585631134399998
ACH-000009,-0.047614634440400004
ACH-000011,-0.226851379362
ACH-000012,-0.302281195066
ACH-000013,-0.07671622167060001
ACH-000014,-0.43460856789499996
ACH-000015,-0.210320723431
ACH-000017,-0.052339527947399996
ACH-000018,0.23061974085099998
ACH-000019,-0.103928969944
ACH-000021,-0.241157864289
ACH-000022,-0.21708715298300002
ACH-000025,-0.583652173769
ACH-000028,0.0010982030958800002
ACH-000030,-0.260501521595
ACH-000035,-0.28476428384
ACH-000036,-0.21596948696600002
ACH-000037,-0.230763829595
ACH-000039,-0.315648934546
ACH-000040,-0.282636173675
ACH-000041,0.06478519129930001
ACH-000042,-0.23890201817099999
ACH-000045,-0.21778890603599999
ACH-000047,-0.181778609515
ACH-000052,-0.135266576669
ACH-000053,-0.153375004632
ACH-000054,-0.187439985171
ACH-000055,-0.0273255388285
ACH-000060,-0.103746782062
ACH-000067,-0.355141770177
ACH-000070,-0.202053421001
ACH-000075,-0.202692267953
ACH-000078,-0.147800058324
ACH-000082,-0.266689268184
ACH-000085,-0.30019195555399997
ACH-000086,-0.228006922991
ACH-000087,-0.205595386956
ACH-000092,-0.15545286137199998
ACH-000095,-0.301335046155
ACH-000097,-0.11038457007500001
ACH-000098,-0.193260057679
ACH-000099,-0.119647643864
ACH-000108,-0.187569714387
ACH-000113,-0.215825818768
ACH-000115,-0.179808466532
ACH-000116,-0.242854283919
ACH-000118,-0.235341365127
ACH-000120,-0.09898971142789999
ACH-000123,-0.201983616674
ACH-000127,-0.136313988615
ACH-000128,-0.121195801375
ACH-000132,-0.17339500733600002
ACH-000133,-0.13141717808
ACH-000137,-0.283550781278
ACH-000138,-0.404183156245
ACH-000142,0.0668875974625
ACH-000143,0.0780809786901
ACH-000146,-0.214906949907
ACH-000148,-0.18680731353900001
ACH-000150,-0.284409050864
ACH-000152,-0.24523796097199999
ACH-000153,-0.246762475484
ACH-000159,-0.133794184408
ACH-000160,-0.296631663401
ACH-000163,-0.00728015517001
ACH-000167,-0.31358091426
ACH-000168,0.131446953484
ACH-000169,-0.354814495689
ACH-000178,-0.487396767521
ACH-000182,0.036445425984199996
ACH-000183,-0.451996485053
ACH-000188,-0.0270643185134
ACH-000189,-0.467677830653
ACH-000190,-0.384006505591
ACH-000198,-0.306958576549
ACH-000204,-0.0388930472515
ACH-000206,-0.198568739778
ACH-000207,-0.0983434650046
ACH-000211,-0.047362140438199994
ACH-000215,-0.016214691870799998
ACH-000221,0.022550003322999997
ACH-000222,-0.0831285837475
ACH-000223,-0.17414086039
ACH-000226,-0.23184944788400003
ACH-000227,-0.253828009998
ACH-000228,-0.08774500293
ACH-000231,-0.140941904948
ACH-000232,-0.16164048407099998
ACH-000233,-0.115869435409
ACH-000234,-0.0689945937655
ACH-000235,-0.275077534554
ACH-000237,-0.131621132199
ACH-000238,-0.36416195251
ACH-000243,-0.207502539589
ACH-000244,-0.619195372496
ACH-000246,-0.156225696498
ACH-000248,-0.115463088851
ACH-000250,-0.16793255366700002
ACH-000251,-0.37823390615099994
ACH-000253,0.0306211300687
ACH-000255,-0.15265473111
ACH-000256,-0.042351356270300004
ACH-000257,-0.181949234045
ACH-000258,-0.319578744693
ACH-000259,-0.219727718093
ACH-000260,-0.102987319366
ACH-000261,-0.198270410589
ACH-000262,-0.517109569573
ACH-000263,-0.00413660319066
ACH-000264,-0.0592482380205
ACH-000265,-0.143642796746
ACH-000266,-0.22757291940299998
ACH-000272,-0.138664561971
ACH-000273,-0.19573210979400002
ACH-000274,-0.16731375730999998
ACH-000277,-0.27379751523
ACH-000278,-0.17671237560400002
ACH-000279,-0.332507184443
