,S100A6 (6277)
ACH-000004,-0.312124493283
ACH-000007,0.146432110346
ACH-000009,-0.317002377139
ACH-000011,-0.117463280442
ACH-000012,-0.16080523413699999
ACH-000013,-0.18227727859600001
ACH-000014,-0.20032445925099998
ACH-000015,-0.118978834957
ACH-000017,-0.0702586387285
ACH-000018,-0.08634458737579999
ACH-000019,-0.08736762386800001
ACH-000021,-0.23577431416900002
ACH-000022,-0.178779813761
ACH-000025,0.00950253592717
ACH-000028,-0.0884335818411
ACH-000030,-0.11700673585799999
ACH-000035,-0.25261734733
ACH-000036,-0.0016994600925100002
ACH-000037,0.0178390827271
ACH-000039,0.0357638620546
ACH-000040,-0.0676149414198
ACH-000041,-0.174239984848
ACH-000042,-0.144252255152
ACH-000045,0.0352274263184
ACH-000047,-0.0534443478954
ACH-000052,-0.11525758844
ACH-000053,-0.128180235121
ACH-000054,-0.162733619277
ACH-000055,-0.067456992755
ACH-000060,-0.0869819253886
ACH-000067,0.0813179007363
ACH-000070,-0.211402681902
ACH-000075,-0.271991238974
ACH-000078,-0.200637818381
ACH-000082,-0.0086365353398
ACH-000085,-0.14632409861
ACH-000086,-0.167703929624
ACH-000087,0.157167103796
ACH-000092,-0.192778338898
ACH-000095,-0.154881259312
ACH-000097,-0.144519124283
ACH-000098,-0.100446688858
ACH-000099,-0.045008862815500005
ACH-000108,0.12547123646
ACH-000113,-0.0706161024418
ACH-000115,-0.19973522298500002
ACH-000116,-0.0429517366471
ACH-000118,-0.03535134673
ACH-000120,-0.194015860561
ACH-000123,0.06515123353569999
ACH-000127,-0.0699724255277
ACH-000128,-0.111886061973
ACH-000132,-0.179961363692
ACH-000133,-0.0326172244941
ACH-000137,-0.0522633613688
ACH-000138,-0.156213868893
ACH-000142,-0.0511055786857
ACH-000143,0.021379736472299998
ACH-000146,-0.0771707403056
ACH-000148,-0.15662757287
ACH-000150,0.0727915519495
ACH-000152,1.40437806492e-05
ACH-000153,-0.553954475529
ACH-000159,-0.11831883139900001
ACH-000160,-0.13067519176
ACH-000163,0.113616621228
ACH-000167,0.0028531460203400005
ACH-000168,-0.10897171837099999
ACH-000169,0.13579135958799998
ACH-000178,0.11198413718900001
ACH-000182,-0.18237189267700002
ACH-000183,-0.38512387902500006
ACH-000188,0.0827445213032
ACH-000189,-0.09140870434180001
ACH-000190,-0.04601243580580001
ACH-000198,-0.161300084744
ACH-000204,-0.40148210058399997
ACH-000206,0.00293528245725
ACH-000207,0.154166035917
ACH-000211,-0.0494041758385
ACH-000215,-0.15220904199899998
ACH-000221,-0.127238354603
ACH-000222,-0.163024977398
ACH-000223,-0.056745619107300006
ACH-000226,0.09701718375980001
ACH-000227,0.010500934736799998
ACH-000228,-0.18912972787300003
ACH-000231,-0.115953936998
ACH-000232,-0.122492177179
ACH-000233,0.18098906671599999
ACH-000234,-0.00905016345707
ACH-000235,-0.154052493435
ACH-000237,0.0563300303823
ACH-000238,0.0202018149432
ACH-000243,-0.0597700802819
ACH-000244,-0.19179300255999998
ACH-000246,-0.18691600865
ACH-000248,-0.246152384389
ACH-000250,-0.169078113404
ACH-000251,-0.177359707565
ACH-000253,-0.111915547487
ACH-000255,-0.0763054411712
ACH-000256,-0.160028261043
ACH-000257,-0.201474819718
ACH-000258,-0.039673411758
ACH-000259,-0.19324065860800002
ACH-000260,-0.184815299931
ACH-000261,-0.0507384505039
ACH-000262,0.038526352480000005
ACH-000263,-0.191009984461
ACH-000264,-0.119790202843
ACH-000265,-0.069822730735
ACH-000266,-0.138559844225
ACH-000272,-0.229410475386
ACH-000273,-0.04540470730380001
ACH-000274,-0.0581508903426
ACH-000277,-0.14554517449
ACH-000278,0.0630208547459
ACH-000279,-0.14201254477800002
ACH-000280,-0.0797220908812
ACH-000281,0.0480001624253
ACH-000288,-0.126770052537
ACH-000291,0.000704702398256
ACH-000293,0.000813467390079
ACH-000294,-0.0642124551558
ACH-000295,-0.400584749431
ACH-000296,-0.172211354488
ACH-000302,-0.161163181773
ACH-000304,-0.339064017068
ACH-000307,-0.166263388083
ACH-000308,-0.173816702866
ACH-000310,-0.0755824777356
ACH-000311,-0.400883013151
ACH-000312,-0.176360844362
ACH-000315,0.07962622474989998
ACH-000316,0.0910727060537
ACH-000317,-0.0624528177427
ACH-000318,-0.423803677862
ACH-000319,-0.07651098517739999
ACH-000320,0.019791281822
ACH-000322,-0.066251702867
ACH-000323,0.06537866337539999
ACH-000324,-0.0803414386504
ACH-000329,-0.0437442739382
ACH-000330,-0.0119846576018
ACH-000331,-0.0864946904195
ACH-000332,-0.16277123087200002
ACH-000334,-0.131797558202
ACH-000335,-0.11812312100099999
ACH-000336,-0.00567803315479
ACH-000337,-0.198465311734
ACH-000339,-0.0726947562124
ACH-000341,-0.318941072571
ACH-000348,-0.270731403743
ACH-000350,-0.161388267702
ACH-000352,-0.103446595358
ACH-000356,-0.136399830567
ACH-000361,0.119866512195
ACH-000362,-0.109766949049
ACH-000363,-0.21386185306699998
ACH-000364,-0.156687883878
ACH-000365,-0.020014112124299998
ACH-000366,-0.0747872837175
ACH-000368,-0.243980170719
ACH-000374,-0.203697509884
ACH-000375,-0.00428624570448
ACH-000376,0.026022148155900003
ACH-000381,-0.196047114816
ACH-000383,-0.16040681029
ACH-000387,-0.242735167932
ACH-000389,0.0330926921635
ACH-000390,-0.326583304831
ACH-000393,-0.0543888929923
ACH-000395,-0.0895152976736
ACH-000397,-0.154912296517
ACH-000401,-0.00558358440287
ACH-000402,-0.055286345131199996
ACH-000403,0.0706286295742
ACH-000404,-0.108070968873
ACH-000406,-0.0880909269497
ACH-000407,-0.158721132175
ACH-000408,0.0808243740253
ACH-000410,-0.15617311989
ACH-000411,-0.096271816169
ACH-000414,0.00293387232365
