,HPSE2 (60495)
ACH-000004,-0.377726597503
ACH-000007,-0.0388541559555
ACH-000009,-0.289984958227
ACH-000011,-0.138337006979
ACH-000012,0.0107324877725
ACH-000013,-0.152718360826
ACH-000014,-0.285782611781
ACH-000015,-0.24679674572299998
ACH-000017,-0.14670112758099998
ACH-000018,-0.0304280295843
ACH-000019,0.127637895047
ACH-000021,-0.171442101407
ACH-000022,-0.057467264923800006
ACH-000025,-0.32369082954399997
ACH-000028,-0.021530881458400004
ACH-000030,-0.0907321147214
ACH-000035,-0.23561446325999996
ACH-000036,-0.00671016601182
ACH-000037,-0.146710903606
ACH-000039,0.301385592843
ACH-000040,-0.362130747603
ACH-000041,-0.335263252388
ACH-000042,-0.156445254933
ACH-000045,-0.19905916746599997
ACH-000047,-0.0462049123976
ACH-000052,-0.0513034562887
ACH-000053,-0.0729780949106
ACH-000054,-0.143004645111
ACH-000055,-0.14963076204000003
ACH-000060,-0.29899829563999997
ACH-000067,-0.369594925673
ACH-000070,-0.186738397235
ACH-000075,-0.258758254382
ACH-000078,-0.165236047127
ACH-000082,-0.144502035234
ACH-000085,-0.1540105021
ACH-000086,-0.21543746233000002
ACH-000087,-0.520282735763
ACH-000092,-0.19813561273
ACH-000095,-0.286636930171
ACH-000097,-0.08610851042410002
ACH-000098,-0.13276451818399998
ACH-000099,0.0620973628044
ACH-000108,-0.0422884855888
ACH-000113,-0.0965327106511
ACH-000115,-0.0596053523071
ACH-000116,-0.16244874901599998
ACH-000118,-0.18052250504999998
ACH-000120,0.09469240901960001
ACH-000123,-0.260898429703
ACH-000127,-0.067705802619
ACH-000128,-0.190552586624
ACH-000132,-0.374335634418
ACH-000133,-0.096750427669
ACH-000137,0.073474930565
ACH-000138,-0.0226840101505
ACH-000142,-0.111885650538
ACH-000143,0.011692642256700001
ACH-000146,-0.107164146822
ACH-000148,-0.232645003569
ACH-000150,-0.156181468191
ACH-000152,-0.341286482417
ACH-000153,-0.342169845899
ACH-000159,-0.293384304892
ACH-000160,-0.188737673638
ACH-000163,-0.0417477113179
ACH-000167,-0.586534927805
ACH-000168,-0.184518485893
ACH-000169,-0.232270703384
ACH-000178,-0.136951298793
ACH-000182,-0.16160739811
ACH-000183,-0.179177574066
ACH-000188,-0.137462742627
ACH-000189,0.226505920831
ACH-000190,-0.440176748177
ACH-000198,-0.0359223071696
ACH-000204,-0.24047470858000003
ACH-000206,-0.288591828255
ACH-000207,-0.166282344796
ACH-000211,-0.295686530242
ACH-000215,-0.105653810756
ACH-000221,-0.283034658471
ACH-000222,-0.180200348771
ACH-000223,-0.186914845187
ACH-000226,-0.0460169430514
ACH-000227,-0.1951374977
ACH-000228,-0.216079318332
ACH-000231,-0.129963266647
ACH-000232,-0.138142291296
ACH-000233,-0.288416967055
ACH-000234,-0.21933640239799998
ACH-000235,-0.181329867601
ACH-000237,-0.269382397533
ACH-000238,-0.12065195624700001
ACH-000243,-0.138954151611
ACH-000244,-0.320217636598
ACH-000246,-0.212784876778
ACH-000248,0.0770753016052
ACH-000250,-0.0903917611757
ACH-000251,-0.181459731684
ACH-000253,-0.23118286461399998
ACH-000255,-0.214810586985
ACH-000256,-0.242332093245
ACH-000257,-0.045647347739800004
ACH-000258,-0.476376407878
ACH-000259,-0.11226844980100001
ACH-000260,0.015383707229
ACH-000261,-0.15994939099400002
ACH-000262,-0.36275355738700005
ACH-000263,-0.131005244667
ACH-000264,-0.21422248727
ACH-000265,-0.18188328284000002
ACH-000266,-0.035410988187
ACH-000272,-0.12427847331700001
ACH-000273,-0.18619956357700002
ACH-000274,-0.12224571008099999
ACH-000277,-0.08322673680489999
ACH-000278,-0.20659217351
ACH-000279,-0.0819313047683
ACH-000280,-0.0554156965293
ACH-000281,-0.22148312509799997
ACH-000288,-0.0705988677797
ACH-000291,-0.152774162026
ACH-000293,-0.18155701382199999
ACH-000294,-0.19302890884799997
ACH-000295,-0.5083634828270001
ACH-000296,-0.318736132336
ACH-000302,-0.28121024396600003
ACH-000304,-0.0243470852965
ACH-000307,-0.140690980334
ACH-000308,-0.137441608825
ACH-000310,-0.0399541607941
ACH-000311,-0.09502996248739999
ACH-000312,-0.0625401769471
ACH-000315,0.195623205478
ACH-000316,-0.23509478646200002
ACH-000317,-0.05914612403030001
ACH-000318,-0.23110870362100003
ACH-000319,-0.10858857998299999
ACH-000320,-0.0422287701183
ACH-000322,0.032795506423400005
ACH-000323,-0.110141321989
ACH-000324,0.00730676926583
ACH-000329,-0.0442895752584
ACH-000330,-0.121212570768
ACH-000331,-0.343032590763
ACH-000332,-0.147929785019
ACH-000334,-0.286477291748
ACH-000335,-0.0213185897269
ACH-000336,0.131941629089
ACH-000337,-0.061166018853
ACH-000339,-0.187556042126
ACH-000341,-0.0698972328275
ACH-000348,-0.038058577966699994
ACH-000350,-0.158452144912
ACH-000352,-0.286380921146
ACH-000356,-0.310029977367
ACH-000361,0.132983632428
ACH-000362,-0.106897229599
ACH-000363,-0.19222639729899998
ACH-000364,-0.19267864156599998
ACH-000365,-0.12141683730599999
ACH-000366,-0.203188793282
ACH-000368,-0.0331670356664
ACH-000374,-0.053470047294600004
ACH-000375,-0.027560265311599996
ACH-000376,-0.140403594274
ACH-000381,-0.185717619645
ACH-000383,-0.17450263682599998
ACH-000387,-0.246372986556
ACH-000389,-0.26528736883000004
ACH-000390,-0.069108963361
ACH-000393,-0.121228545836
ACH-000395,-0.30570942247
ACH-000397,-0.17816965948600003
ACH-000401,-0.263305419243
ACH-000402,-0.174756588677
ACH-000403,-0.138299361614
ACH-000404,-0.0008513590305039999
ACH-000406,-0.18498645816
ACH-000407,-0.217019229171
ACH-000408,-0.297990157828
ACH-000410,-0.12131512053200001
ACH-000411,-0.09135605769819999
ACH-000414,-0.0128347451181
ACH-000415,-0.25422780824700003
ACH-000416,-0.132780084846
ACH-000420,-0.14958487661699998
ACH-000421,-0.203808563139
ACH-000424,-0.386576251634
ACH-000425,-0.220709538923
ACH-000426,-0.12495533250600001
ACH-000427,-0.289507680656
ACH-000433,0.00606017270308
ACH-000436,-0.22802612656399998
ACH-000444,-0.233849464707
ACH-000445,-0.41910917645
ACH-000448,-0.185218560743
ACH-000450,-0.0796881390846
ACH-000452,-0.217298917846
ACH-000454,-0.164968611082
ACH-000458,-0.17520158412099998
ACH-000459,-0.0408587019496
ACH-000460,-0.09953111216330002
ACH-000461,-0.101203338412
ACH-000463,0.0322368459477
ACH-000464,-0.0596891964094
ACH-000466,0.0349676841181
ACH-000467,-0.11903255759199999
ACH-000468,-0.06090653969
ACH-000469,-0.258506105735
ACH-000470,-0.132399313969
ACH-000471,-0.0930372099377
ACH-000472,-0.06064339462119999
ACH-000473,0.0368175549009
ACH-000475,-0.202519874659
ACH-000476,-0.0748697432046
ACH-000477,-0.24851078887400002
ACH-000480,-0.16982305323
ACH-000481,-0.10836463419600001
ACH-000483,0.0352433921276
ACH-000484,-0.023080233804099997
ACH-000485,-0.0747738453911
ACH-000486,-0.207214923486
ACH-000487,-0.099575290052
ACH-000488,-0.0362751707919
ACH-000490,-0.0806261796199
ACH-000491,-0.206691496882
ACH-000495,-0.21566204053399998
ACH-000496,-0.19708693571
ACH-000499,-0.0958228757223
ACH-000500,0.0800953035068
ACH-000502,0.0811208440422
ACH-000503,0.302742830794
ACH-000505,-0.132538153946
ACH-000507,-0.333902093109
ACH-000510,-0.280942193707
ACH-000511,-0.09884354644349999
ACH-000512,-0.196049423241
ACH-000516,-0.0417949507774
ACH-000517,-0.11939519605999999
ACH-000518,-0.0774390738332
ACH-000520,-0.18555181489300002
ACH-000521,-0.00964183294175
ACH-000522,-0.0466838112316
ACH-000524,-0.320519771948
ACH-000527,-0.0754704612127
ACH-000528,-0.114752333061
ACH-000537,-0.136989395313
ACH-000541,-0.0841886725899
ACH-000542,-0.281608347142
ACH-000544,-0.163179133545
ACH-000545,-0.315679258711
ACH-000547,-0.19637248438299998
ACH-000548,-0.181070373963
ACH-000549,-0.149872010819
ACH-000550,-0.114607934296
ACH-000552,-0.157502907358
ACH-000556,-0.14662878505000002
ACH-000557,-0.120547261786
ACH-000570,-0.047018390176
ACH-000571,-0.23479401797
ACH-000573,-0.0785709338206
ACH-000576,-0.0947065480394
ACH-000580,-0.147541874337
ACH-000584,-0.20485457223900003
ACH-000585,-0.152823058964
