,TRMT61B (55006)
ACH-000004,-0.19093343758099998
ACH-000007,-0.333141428791
ACH-000009,-0.289438644738
ACH-000011,-0.563763071619
ACH-000012,-0.07793100409510001
ACH-000013,-0.399610972369
ACH-000014,-0.358228771422
ACH-000015,-0.07924839140380001
ACH-000017,-0.497811270317
ACH-000018,-0.401585550818
ACH-000019,-0.6121737640739999
ACH-000021,-0.0748982760349
ACH-000022,-0.0723748520274
ACH-000025,-0.149056107042
ACH-000028,-0.11803926506
ACH-000030,-0.171557208436
ACH-000035,-0.268514995641
ACH-000036,-0.459636003723
ACH-000037,-0.296414607278
ACH-000039,-0.283750920347
ACH-000040,-0.315045364963
ACH-000041,-0.111068594041
ACH-000042,-0.375540400973
ACH-000045,-0.0179219607897
ACH-000047,-0.24230182208599998
ACH-000052,-0.215919984051
ACH-000053,-0.195311191328
ACH-000054,-0.41651536545
ACH-000055,-0.178837024384
ACH-000060,-0.252841175552
ACH-000067,-0.327785152198
ACH-000070,-0.180096658062
ACH-000075,-0.13485267154799999
ACH-000078,-0.365069776311
ACH-000082,-0.346228586168
ACH-000085,-0.15950130878799998
ACH-000086,-0.264471988023
ACH-000087,-0.399466590906
ACH-000092,-0.348740214166
ACH-000095,-0.33222062726999996
ACH-000097,-0.160840905699
ACH-000098,-0.269322680823
ACH-000099,-0.285209996096
ACH-000108,-0.29643748358399996
ACH-000113,-0.283542826117
ACH-000115,-0.17772112360300002
ACH-000116,-0.20818801098099998
ACH-000118,-0.330881751648
ACH-000120,-0.247290152858
ACH-000123,-0.0855397980081
ACH-000127,-0.15625531899800002
ACH-000128,-0.519430166299
ACH-000132,-0.249479722066
ACH-000133,-0.253302057775
ACH-000137,-0.444712956942
ACH-000138,-0.012784735557899999
ACH-000142,-0.359025947591
ACH-000143,-0.10604581443700001
ACH-000146,-0.24766539566999998
ACH-000148,-0.139171142056
ACH-000150,0.11522502104
ACH-000152,-0.265245948961
ACH-000153,-0.16465854277699998
ACH-000159,-0.196170340912
ACH-000160,-0.211473165353
ACH-000163,-0.351378817158
ACH-000167,-0.0620611910621
ACH-000168,-0.291049256916
ACH-000169,-0.461412768714
ACH-000178,-0.298802947642
ACH-000182,-0.19302522182700002
ACH-000183,-0.251900072288
ACH-000188,-0.22343944417199998
ACH-000189,0.30518941542399997
ACH-000190,-0.57080505464
ACH-000198,-0.362901169886
ACH-000204,-0.392668414586
ACH-000206,-0.321716104623
ACH-000207,-0.8233958491050001
ACH-000211,-0.217352995281
ACH-000215,-0.36258512709299995
ACH-000221,0.008850193058059999
ACH-000222,-0.162312082918
ACH-000223,-0.21326464382399998
ACH-000226,-0.271218059058
ACH-000227,-0.399795156498
ACH-000228,-0.046124267529699996
ACH-000231,-0.262845038907
ACH-000232,-0.39691809350900004
ACH-000233,-0.275922494487
ACH-000234,-0.442048894458
ACH-000235,-0.159043660498
ACH-000237,-0.177607935385
ACH-000238,-0.41600222561800004
ACH-000243,-0.181212398615
ACH-000244,-0.814902726915
ACH-000246,-0.148539481319
ACH-000248,-0.160610487663
ACH-000250,-0.244179585101
ACH-000251,-0.0802223592437
ACH-000253,-0.22304476343199997
ACH-000255,-0.231308211263
ACH-000256,-0.291375618844
ACH-000257,-0.38978962097
ACH-000258,0.00205297661906
ACH-000259,-0.269729498096
ACH-000260,-0.23200561637800002
ACH-000261,-0.32748619241300003
ACH-000262,-0.37553773638099996
ACH-000263,-0.184226326897
ACH-000264,-0.267534868208
ACH-000265,0.0149652636586
ACH-000266,-0.31066022457
ACH-000272,-0.260030143142
ACH-000273,-0.0910023122352
ACH-000274,-0.21529951487100002
ACH-000277,-0.491415967959
ACH-000278,-0.503046947129
ACH-000279,-0.41956095033600005
ACH-000280,0.0136044016698
ACH-000281,-0.03222896003
ACH-000288,-0.306864417615
ACH-000291,-0.281511573508
ACH-000293,-0.617763679582
ACH-000294,0.0154891312026
ACH-000295,-0.253822504066
ACH-000296,0.0201848249502
ACH-000302,-0.321599668288
ACH-000304,0.0702236017451
ACH-000307,-0.23399214621800002
ACH-000308,-0.352215965715
ACH-000310,-0.0199229629935
ACH-000311,0.06357052324580001
ACH-000312,-0.343234259455
ACH-000315,-0.0640497941747
ACH-000316,-0.15129571196900002
ACH-000317,0.14959506568
ACH-000318,-0.368362960191
ACH-000319,-0.131872472942
ACH-000320,0.0530060946378
ACH-000322,-0.251858988682
ACH-000323,-0.312615172277
ACH-000324,-0.190393528737
ACH-000329,-0.294613265987
ACH-000330,0.059371205194800006
ACH-000331,-0.456556242244
ACH-000332,-0.243051179285
ACH-000334,-0.06264786309930001
ACH-000335,-0.425066337701
ACH-000336,-0.252408677544
ACH-000337,-0.517720091142
ACH-000339,-0.13362302964
ACH-000341,-0.191748333226
ACH-000348,-0.419651077505
ACH-000350,-0.308691594174
ACH-000352,-0.317211173575
ACH-000356,-0.19967480499
ACH-000361,-0.227822722658
ACH-000362,-0.115876925984
ACH-000363,-0.460595049036
ACH-000364,-0.44989612484200003
ACH-000365,-0.282866517695
ACH-000366,-0.17463039936500002
ACH-000368,-0.11660751504000001
ACH-000374,-0.155928109579
ACH-000375,-0.348981562367
ACH-000376,-0.34773144691299995
ACH-000381,-0.250863000865
ACH-000383,-0.152272638285
ACH-000387,-0.20573040995900002
ACH-000389,-0.35633911049999994
ACH-000390,-0.269241092244
ACH-000393,-0.394206839234
ACH-000395,-0.345671477765
ACH-000397,-0.211893834192
ACH-000401,-0.06928452887619999
ACH-000402,-0.275178114932
ACH-000403,-0.310649375715
ACH-000404,0.055129371560199994
ACH-000406,-0.14460730677
ACH-000407,-0.24940842649599998
ACH-000408,-0.15810010640799999
ACH-000410,-0.297872387503
ACH-000411,-0.249730093155
ACH-000414,0.048432187936199994
ACH-000415,0.023598815938400002
ACH-000416,-0.28939169705
ACH-000420,-0.190425810841
