,HLCS (3141)
ACH-000004,-0.338431548321
ACH-000007,-0.291171699201
ACH-000009,-0.00727594454134
ACH-000011,-0.152905845233
ACH-000012,-0.0458734621081
ACH-000013,-0.17756723503400001
ACH-000014,0.00884876894677
ACH-000015,-0.226255198531
ACH-000017,-0.0708459356562
ACH-000018,-0.147865625582
ACH-000019,-0.256512187266
ACH-000021,0.11088886167000002
ACH-000022,-0.10088060956700001
ACH-000025,-0.31281389403099996
ACH-000028,-0.133708549982
ACH-000030,-0.0512734368512
ACH-000035,-0.269677671088
ACH-000036,-0.24782998961999997
ACH-000037,-0.175679438015
ACH-000039,-0.110442659081
ACH-000040,0.031679038490299995
ACH-000041,-0.00651468090629
ACH-000042,-0.0137764436981
ACH-000045,0.48189243068000004
ACH-000047,-0.065189720223
ACH-000052,-0.09061668120239999
ACH-000053,-0.05488694575019999
ACH-000054,-0.00415928495017
ACH-000055,-0.0019311852832499998
ACH-000060,-0.241459428963
ACH-000067,-0.200753635904
ACH-000070,-0.25972975762
ACH-000075,-0.0416999339589
ACH-000078,-0.0675931414058
ACH-000082,-0.0712457196557
ACH-000085,0.24399521069400001
ACH-000086,-0.244760222144
ACH-000087,-0.157592366698
ACH-000092,-0.11588264215800001
ACH-000095,-0.163696450123
ACH-000097,-0.0290554938169
ACH-000098,-0.203392980144
ACH-000099,0.045710589157600005
ACH-000108,-0.32484019238699996
ACH-000113,0.0169672615737
ACH-000115,0.0618266751678
ACH-000116,-0.24735216407299998
ACH-000118,0.11542556021
ACH-000120,-0.317805741859
ACH-000123,-0.20692055872499998
ACH-000127,-0.103764583892
ACH-000128,-0.24983615578600002
ACH-000132,-0.0445307154144
ACH-000133,-0.0743090865281
ACH-000137,-0.0456725028856
ACH-000138,-0.114455718194
ACH-000142,-0.22927860971099998
ACH-000143,-0.107072330558
ACH-000146,0.202533572748
ACH-000148,0.07941871667860001
ACH-000150,-0.188580363198
ACH-000152,0.0254991329103
ACH-000153,0.163796590341
ACH-000159,0.0287704573961
ACH-000160,0.300287201393
ACH-000163,0.10745528404799999
ACH-000167,0.332894574577
ACH-000168,0.0891236212951
ACH-000169,-0.201051027068
ACH-000178,-0.12243101650900001
ACH-000182,-0.044924476084400006
ACH-000183,-0.058508053633599996
ACH-000188,-0.264489487265
ACH-000189,0.312253167171
ACH-000190,0.425050647846
ACH-000198,0.0573988140305
ACH-000204,0.141410433143
ACH-000206,-0.0205390844479
ACH-000207,-0.217785803131
ACH-000211,0.08146031489080001
ACH-000215,-0.302521689391
ACH-000221,-0.423183114058
ACH-000222,-0.0650546019421
ACH-000223,-0.0577691993515
ACH-000226,-0.22342191387899998
ACH-000227,-0.331643264556
ACH-000228,-0.0683438069457
ACH-000231,-0.255598631514
ACH-000232,-0.264860288596
ACH-000233,-0.13166776916
ACH-000234,-0.047626740122899996
ACH-000235,-0.019816421247
ACH-000237,0.0704278526515
ACH-000238,-0.287046507003
ACH-000243,-0.0670507796738
ACH-000244,-0.107252442711
ACH-000246,0.09920839647949999
ACH-000248,0.115489209793
ACH-000250,-0.175455215914
ACH-000251,0.168571985467
ACH-000253,-0.126575697691
ACH-000255,-0.24717687062
ACH-000256,0.11268888888699999
ACH-000257,0.16249914831499998
ACH-000258,-0.768271387555
ACH-000259,0.0230930926039
ACH-000260,-0.0267079272574
ACH-000261,-0.21672684424000002
ACH-000262,-0.34447930658500003
ACH-000263,-0.49586639305
ACH-000264,-0.13487410721100002
ACH-000265,-0.036841476684699996
ACH-000266,0.139079773211
ACH-000272,-0.161750245296
ACH-000273,-0.216094214685
ACH-000274,-0.039353464621699995
ACH-000277,0.0219050401533
ACH-000278,-0.15139935381
ACH-000279,-0.0573276571086
ACH-000280,-0.18357211346400001
ACH-000281,-0.030315412201
ACH-000288,-0.31124265198199996
