,PAF1 (54623)
ACH-000004,-0.758334655987
ACH-000007,-1.04684986455
ACH-000009,-0.819985761391
ACH-000011,-1.0127138465999999
ACH-000012,-0.8859265219399999
ACH-000013,-1.17034467448
ACH-000014,-0.8293351139149999
ACH-000015,-1.12233517243
ACH-000017,-0.844161124907
ACH-000018,-0.8865988776620001
ACH-000019,-1.07841293323
ACH-000021,-1.0067888608600002
ACH-000022,-0.5372892100159999
ACH-000025,-0.818662950364
ACH-000028,-1.0491976415100002
ACH-000030,-0.887324863344
ACH-000035,-0.8671639490009999
ACH-000036,-0.9026282042749999
ACH-000037,-1.12574443823
ACH-000039,-1.1293643014899999
ACH-000040,-0.8961143334080001
ACH-000041,-0.9668193438249999
ACH-000042,-0.864612713345
ACH-000045,-0.76481861639
ACH-000047,-0.828410796926
ACH-000052,-0.8941722716320001
ACH-000053,-0.888033461768
ACH-000054,-0.774928578024
ACH-000055,-1.0131783235
ACH-000060,-1.1423047207500001
ACH-000067,-1.09800642788
ACH-000070,-0.788365964002
ACH-000075,-1.0359782027700002
ACH-000078,-0.989086898414
ACH-000082,-1.0833862136599999
ACH-000085,-0.7868834397550001
ACH-000086,-1.0093339380500002
ACH-000087,-1.30165669932
ACH-000092,-1.08878468648
ACH-000095,-0.9652163345479999
ACH-000097,-0.990141596917
ACH-000098,-0.96732916078
ACH-000099,-0.997026754774
ACH-000108,-0.954031704847
ACH-000113,-1.0182934230299998
ACH-000115,-0.9552835767899999
ACH-000116,-1.04095326725
ACH-000118,-1.1512657395700001
ACH-000120,-0.973864621312
ACH-000123,-1.0639519781
ACH-000127,-0.809467550152
ACH-000128,-0.8709543782979999
ACH-000132,-1.12196128586
ACH-000133,-1.07224930493
ACH-000137,-1.05304884493
ACH-000138,-0.804728509274
ACH-000142,-0.904562592955
ACH-000143,-0.918488037349
ACH-000146,-1.0535277364700002
ACH-000148,-0.7957506970029999
ACH-000150,-0.9394277991399999
ACH-000152,-0.9416713144580001
ACH-000153,-1.14710184707
ACH-000159,-0.989335746802
ACH-000160,-0.437013482409
ACH-000163,-0.6897256084469999
ACH-000167,-0.6617945747249999
ACH-000168,-0.736509112988
ACH-000169,-0.7617370482699999
ACH-000178,-0.9941627505089999
ACH-000182,-1.03252804472
ACH-000183,-1.0656283528100001
ACH-000188,-0.930843392527
ACH-000189,-0.863063621981
ACH-000190,-0.535810033289
ACH-000198,-0.88207860285
ACH-000204,-0.860415053159
ACH-000206,-1.01092805382
ACH-000207,-1.2405932556100001
ACH-000211,-0.8577377577580001
ACH-000215,-0.9353191736750001
ACH-000221,-0.9691452033869999
ACH-000222,-0.8217545785220001
ACH-000223,-0.706988651815
ACH-000226,-1.0255174729
ACH-000227,-1.03393573127
ACH-000228,-1.0126561131
ACH-000231,-0.812325009955
ACH-000232,-0.855053364904
ACH-000233,-1.08012336841
ACH-000234,-0.789165453651
ACH-000235,-1.12421408774
ACH-000237,-0.905936460338
ACH-000238,-0.7100820056730001
ACH-000243,-0.868539543178
ACH-000244,-0.9301510673700001
ACH-000246,-1.12921979673
ACH-000248,-0.905596881344
ACH-000250,-0.912945002213
ACH-000251,-0.928041299956
ACH-000253,-0.9578278219769999
ACH-000255,-0.932439910234
ACH-000256,-0.786084656761
ACH-000257,-0.804273246873
ACH-000258,-1.09723053705
ACH-000259,-1.1248532877200002
ACH-000260,-0.963574582296
ACH-000261,-1.00573839913
ACH-000262,-0.900771361014
ACH-000263,-0.5892372137290001
ACH-000264,-0.6021223760600001
ACH-000265,-0.879114748628
ACH-000266,-1.07105196076
ACH-000272,-0.878833536212
ACH-000273,-0.774392777692
ACH-000274,-0.911146378522
ACH-000277,-1.27399165172
