,COPS8 (10920)
ACH-000004,-1.0299398138299998
ACH-000007,-1.35559326569
ACH-000009,-1.39760353146
ACH-000011,-0.8589977115459999
ACH-000012,-0.991108661248
ACH-000013,-0.921349990782
ACH-000014,-1.14844637174
ACH-000015,-1.0911697871200001
ACH-000017,-1.40531770804
ACH-000018,-1.17881070021
ACH-000019,-1.25268034581
ACH-000021,-1.00807355947
ACH-000022,-1.0586804105
ACH-000025,-1.13579252436
ACH-000028,-1.28894198235
ACH-000030,-0.666407948482
ACH-000035,-0.909045566048
ACH-000036,-0.911344342896
ACH-000037,-1.13965060685
ACH-000039,-1.2182616627399998
ACH-000040,-1.00073125654
ACH-000041,-0.747235478251
ACH-000042,-0.942871487071
ACH-000045,-0.862285506035
ACH-000047,-0.880933567687
ACH-000052,-1.12571193572
ACH-000053,-0.8324762698929999
ACH-000054,-0.9883046916859999
ACH-000055,-0.7377037037369999
ACH-000060,-0.9337445873870001
ACH-000067,-1.1937278441799999
ACH-000070,-0.889797398966
ACH-000075,-0.878810496694
ACH-000078,-1.11875374285
ACH-000082,-1.0245607718799998
ACH-000085,-1.1333418901799999
ACH-000086,-0.952504587606
ACH-000087,-0.9307904659139999
ACH-000092,-1.35035846924
ACH-000095,-0.8753347984440001
ACH-000097,-1.09238356322
ACH-000098,-0.860297288618
ACH-000099,-0.951344050622
ACH-000108,-1.03633774486
ACH-000113,-0.997284584507
ACH-000115,-0.983819311135
ACH-000116,-1.07351686767
ACH-000118,-1.14055794169
ACH-000120,-0.7781400085410001
ACH-000123,-0.951641073653
ACH-000127,-0.8587734418619999
ACH-000128,-1.31002124919
ACH-000132,-1.32989287354
ACH-000133,-1.478199579
ACH-000137,-1.14505882193
ACH-000138,-0.989752115783
ACH-000142,-0.934997671901
ACH-000143,-0.75299310397
ACH-000146,-1.11773472713
ACH-000148,-1.06075162639
ACH-000150,-1.14674099749
ACH-000152,-1.24831105691
ACH-000153,-1.18005982171
ACH-000159,-1.4702361934900001
ACH-000160,-1.01546571391
ACH-000163,-1.03879431399
ACH-000167,-1.16720957327
ACH-000168,-0.680062690842
ACH-000169,-0.722642852031
ACH-000178,-0.981266893295
ACH-000182,-1.10116397739
ACH-000183,-0.902154514319
ACH-000188,-1.13637441016
ACH-000189,-1.1136407339299998
ACH-000190,-1.30670070461
ACH-000198,-1.1217898236
ACH-000204,-1.07643798111
ACH-000206,-0.9194154717
ACH-000207,-0.644452350477
ACH-000211,-1.20685774131
ACH-000215,-0.9421504345939999
ACH-000221,-1.09869728187
ACH-000222,-1.03498456669
ACH-000223,-1.37171424556
ACH-000226,-1.02231830855
ACH-000227,-0.872392403867
ACH-000228,-0.9102333779359999
ACH-000231,-1.14869989199
ACH-000232,-0.903134801806
ACH-000233,-0.8655484922
ACH-000234,-1.02378772736
ACH-000235,-0.833964857492
ACH-000237,-1.04374074249
ACH-000238,-0.661849544181
ACH-000243,-1.03520850029
ACH-000244,-1.2292616570700001
ACH-000246,-1.2097068430700002
ACH-000248,-1.16759087081
ACH-000250,-1.1775186014399999
ACH-000251,-1.17597609786
ACH-000253,-0.9420186775280001
ACH-000255,-1.34826001955
ACH-000256,-0.824492555612
ACH-000257,-0.43199202049400004
ACH-000258,-1.6232529425400002
ACH-000259,-0.853239558618
ACH-000260,-1.14098099525
ACH-000261,-1.27501356996
ACH-000262,-1.00350817655
ACH-000263,-1.22612409485
ACH-000264,-1.10754126994
ACH-000265,-0.9774967641150001
ACH-000266,-1.0469437475499999
ACH-000272,-0.9323923554369999
ACH-000273,-1.0000349761299998
ACH-000274,-1.47357496189
ACH-000277,-1.08090063497
ACH-000278,-1.1763141633399998
ACH-000279,-0.884162974363
ACH-000280,-0.9982817473799999
ACH-000281,-0.9786686565639999
ACH-000288,-0.9202696060760001
ACH-000291,-1.2729952349
ACH-000293,-0.91208522654
ACH-000294,-0.8190264059990001
ACH-000295,-1.03413690301
ACH-000296,-1.1933748396100001
ACH-000302,-0.922727864922
ACH-000304,-1.02876943705
ACH-000307,-1.0028934280600001
ACH-000308,-1.8334283857299998
ACH-000310,-1.1830880990000001
ACH-000311,-1.10117509674
ACH-000312,-1.09738380706
ACH-000315,-0.399077884066
ACH-000316,-0.8887440043770001
ACH-000317,-1.1495330284899998
ACH-000318,-0.963613740622
ACH-000319,-1.04731941535
ACH-000320,-1.35744484648
ACH-000322,-1.16236104598
ACH-000323,-0.899924674825
ACH-000324,-1.04465751635
ACH-000329,-0.9098819335889999
ACH-000330,-1.03610107577
ACH-000331,-0.979971925425
ACH-000332,-1.0061592952299998
ACH-000334,-0.742027380502
ACH-000335,-1.04444623604
ACH-000336,-1.1884794369399998
ACH-000337,-1.3137784050499999
ACH-000339,-1.21082129817
ACH-000341,-1.2542899637
ACH-000348,-0.9293954625380001
ACH-000350,-1.28821402731
ACH-000352,-0.9002328838789999
ACH-000356,-0.938611752324
ACH-000361,-0.872833546671
ACH-000362,-0.9805373934739999
ACH-000363,-0.710944827187
ACH-000364,-0.963899656083
ACH-000365,-0.874625746241
ACH-000366,-1.06320621165
ACH-000368,-1.1242197428299998
ACH-000374,-1.12008093446
ACH-000375,-0.9639584674439999
ACH-000376,-0.963245584716
ACH-000381,-1.10686406416
ACH-000383,-1.09859491406
ACH-000387,-1.1240612527200002
ACH-000389,-1.03936875609
ACH-000390,-1.4605901007100002
ACH-000393,-1.2362589342
ACH-000395,-1.2540371325
ACH-000397,-1.09802277811
ACH-000401,-0.6722196950660001
ACH-000402,-1.2945014402700001
